Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Alabama Agricultural and Mechanical University,"Quick Facts
Total undergraduates : 5,038
In-State Tuition : $10,622.00
Out-of-State Tuition : $18,371.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Campus near the Redstone Arsenal: Defense Research/Space Research Center.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,622.00 | $10,622.00 | $10,622.00 
Out-of-state tuition and fees:    | $18,371.00 | $18,371.00 | $18,371.00 
Room and board:                   | $7,522.00  | $7,012.00  | $3,530.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,290.00  | $1,290.00  | $1,290.00  
Transportation expenses:          | $1,800.00  | $1,800.00  | $1,800.00  
Estimated Total In-state:         | $22,834.00 | $22,324.00 | $18,842.00 
Estimated Total Out-of-state:     | $30,583.00 | $30,073.00 | $26,591.00 ","Main Address
4900 Meridian St NW
Normal, AL 35762-7500
www.aamu.edu"
Alabama State University,"Quick Facts
Percentage of students graduating within 6 years : 33.0%
Total undergraduates : 3,750
First-time degree-seeking freshmen : 1,019
Percentage of financial need met (average) : 68.0%
Average financial aid package : $17,083.00
In-State Tuition : $11,068.00
Out-of-State Tuition : $19,396.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,706,787.00
Number of enrolled international undergraduates received aid:  65",862 - 1049,15 - 20,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   6,479
Admitted :   6,283
Enrolled :   1,018
Less selective 97.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,068.00 | $11,068.00 | $11,068.00 
Out-of-state tuition and fees:    | $19,396.00 | $19,396.00 | $19,396.00 
Room and board:                   | $6,050.00  | $5,422.00  | $2,076.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,840.00  | $1,380.00  | $1,380.00  
Transportation expenses:          | $1,552.00  | $1,164.00  | $1,164.00  
Estimated Total In-state:         | $22,110.00 | $20,634.00 | $17,288.00 
Estimated Total Out-of-state:     | $30,438.00 | $28,962.00 | $25,616.00 ","Main Address
915 S Jackson St
Montgomery, AL 36104-5732
www.alasu.edu"
Athens State University,"Quick Facts
Total undergraduates : 2,778
In-State Tuition : $6,951.00
Out-of-State Tuition : $13,131.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,951.00  | $6,951.00  | $6,951.00  
Out-of-state tuition and fees:    | $13,131.00 | $13,131.00 | $13,131.00 
Room only:                        |     --     |     --     |     --     
Books and supplies:               | $2,520.00  | $2,520.00  | $2,520.00  
Estimated personal expenses:      |     --     | $1,107.00  |     --     
Transportation expenses:          |     --     |     --     | $3,240.00  
Estimated Total In-state:         | $9,471.00  | $10,578.00 | $12,711.00 
Estimated Total Out-of-state:     | $15,651.00 | $16,758.00 | $18,891.00 ","Main Address
300 N Beaty St
Athens, AL 35611-1902
www.athens.edu"
Auburn University,"Quick Facts
Regular Application Deadline : February 3
Percentage of students graduating within 6 years : 79.0%
Total undergraduates : 24,594
First-time degree-seeking freshmen : 4,808
Percentage of financial need met (average) : 51.0%
Average financial aid package : $11,161.00
In-State Tuition : $11,796.00
Out-of-State Tuition : $31,956.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,1150 - 1320,25 - 31,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   20,205
Admitted :   16,300
Enrolled :   4,808
Less selective 81.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 3
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,796.00 | $11,796.00 | $11,796.00 
Out-of-state tuition and fees:    | $31,956.00 | $31,956.00 | $31,956.00 
Room and board:                   | $13,778.00 | $13,600.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,884.00  | $2,884.00  | $2,884.00  
Transportation expenses:          | $3,020.00  | $3,020.00  | $3,020.00  
Estimated Total In-state:         | $32,678.00 | $32,500.00 | $18,900.00 
Estimated Total Out-of-state:     | $52,838.00 | $52,660.00 | $39,060.00 ","Main Address
Quad Center
Auburn University, AL 36849-0001
www.auburn.edu"
Auburn University at Montgomery,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 34.0%
Total undergraduates : 4,523
First-time degree-seeking freshmen : 626
Percentage of financial need met (average) : 54.0%
Average financial aid package : $9,175.00
In-State Tuition : $8,860.00
Out-of-State Tuition : $18,820.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,007,043.00
Number of enrolled international undergraduates received aid:  222",960 - 1110,19 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   4,109
Admitted :   3,716
Enrolled :   626
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,860.00  | $8,860.00  | $8,860.00  
Out-of-state tuition and fees:    | $18,820.00 | $18,820.00 | $18,820.00 
Room and board:                   | $7,268.00  | $10,296.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,530.00  | $1,530.00  | $1,530.00  
Transportation expenses:          | $2,320.00  | $2,320.00  | $2,320.00  
Estimated Total In-state:         | $21,178.00 | $24,206.00 | $13,910.00 
Estimated Total Out-of-state:     | $31,138.00 | $34,166.00 | $23,870.00 ","Main Address
7430 East Dr
Montgomery, AL 36117-7088
www.aum.edu"
Birmingham-Southern College,"Quick Facts
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 1,209
First-time degree-seeking freshmen : 332
Percentage of financial need met (average) : 58.0%
Average financial aid package : $15,153.00
In-State Tuition : $18,900.00
Out-of-State Tuition : $18,900.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $217,906.00
Number of enrolled international undergraduates received aid:  18
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1110 - 1310,22 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,384
Admitted :   1,821
Enrolled :   332
Somewhat selective 54.0% of applicants admitted
Applied early admission :   15
Admitted early admission :   15
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   No Regular Application Deadline
Priority application due :   Apr 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,900.00 | $18,900.00 | $18,900.00 
Out-of-state tuition and fees:    | $18,900.00 | $18,900.00 | $18,900.00 
Room and board:                   | $12,900.00 |     --     |     --     
Books and supplies:               | $1,260.00  | $1,260.00  | $1,260.00  
Estimated personal expenses:      | $1,270.00  | $1,270.00  |     --     
Transportation expenses:          | $1,500.00  | $1,400.00  |     --     
Estimated Total In-state:         | $35,830.00 | $22,830.00 | $20,160.00 
Estimated Total Out-of-state:     | $35,830.00 | $22,830.00 | $20,160.00 ","Main Address
900 Arkadelphia Rd
Birmingham, AL 35254-0002
www.bsc.edu"
Faulkner University,"Quick Facts
Total undergraduates : 2,428
Percentage of financial need met (average) : 62.0%
Average financial aid package : $15,996.00
In-State Tuition : $22,990.00
Out-of-State Tuition : $22,990.00","Setting
Large City (250-500k)
Suburban
Commuter campus
Other Characteristics
Additional extended campuses (non-residential) in Birmingham, Huntsville and Mobile.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,990.00 | $22,990.00 | $22,990.00 
Out-of-state tuition and fees:    | $22,990.00 | $22,990.00 | $22,990.00 
Room and board:                   | $7,700.00  | $7,550.00  | $3,950.00  
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      | $1,600.00  | $1,600.00  | $1,600.00  
Transportation expenses:          | $2,600.00  | $2,600.00  | $2,600.00  
Estimated Total In-state:         | $36,690.00 | $36,540.00 | $32,940.00 
Estimated Total Out-of-state:     | $36,690.00 | $36,540.00 | $32,940.00 ","Main Address
5345 Atlanta Hwy
Montgomery, AL 36109-3323
www.faulkner.edu"
Huntingdon College,"Quick Facts
Total undergraduates : 1,102
Percentage of financial need met (average) : 67.0%
Average financial aid package : $19,451.00
In-State Tuition : $27,900.00
Out-of-State Tuition : $27,900.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Evening studies program offered in Montgomery, Bay Minette, Birmingham, Brewton, Center Point, Enterprise, Fairhope, Shelby, Opelika, Rainsville, and Sumiton.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,900.00 | $27,900.00 | $27,900.00 
Out-of-state tuition and fees:    | $27,900.00 | $27,900.00 | $27,900.00 
Room and board:                   | $10,150.00 | $7,950.00  | $5,950.00  
Books and supplies:               |  $300.00   |  $300.00   |  $300.00   
Estimated personal expenses:      | $1,035.00  | $1,035.00  | $1,035.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $40,385.00 | $38,185.00 | $36,185.00 
Estimated Total Out-of-state:     | $40,385.00 | $38,185.00 | $36,185.00 ","Main Address
1500 E Fairview Ave
Montgomery, AL 36106-2114
www.huntingdon.edu"
Jacksonville State University,"Quick Facts
Percentage of students graduating within 6 years : 36.0%
Total undergraduates : 7,491
In-State Tuition : $10,620.00
Out-of-State Tuition : $20,340.00","Setting
Small Town (2,500-10k)
Rural
Commuter campus","Financial Aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,620.00 | $10,620.00 | $10,620.00 
Out-of-state tuition and fees:    | $20,340.00 | $20,340.00 | $20,340.00 
Room and board:                   | $7,210.00  |     --     |     --     
Books and supplies:               | $1,596.00  | $1,596.00  | $1,596.00  
Estimated personal expenses:      | $2,400.00  | $2,400.00  | $2,400.00  
Transportation expenses:          | $2,508.00  | $5,016.00  | $5,016.00  
Estimated Total In-state:         | $24,334.00 | $19,632.00 | $19,632.00 
Estimated Total Out-of-state:     | $34,054.00 | $29,352.00 | $29,352.00 ","Main Address
700 Pelham Rd N
Jacksonville, AL 36265-1602
www.jsu.edu"
Judson College,"Quick Facts
Total undergraduates : 250
First-time degree-seeking freshmen : 55
In-State Tuition : $18,790.00
Out-of-State Tuition : $18,790.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Men are eligible for acceptance into the distance learning program.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,17 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   478
Admitted :   178
Enrolled :   47
Very selective 37.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,790.00 | $18,790.00 | $18,790.00 
Out-of-state tuition and fees:    | $18,790.00 | $18,790.00 | $18,790.00 
Room and board:                   | $11,390.00 | $8,800.00  | $3,100.00  
Books and supplies:               | $1,340.00  | $1,340.00  | $1,340.00  
Estimated personal expenses:      | $1,700.00  | $1,700.00  | $1,700.00  
Transportation expenses:          | $1,280.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $34,500.00 | $32,630.00 | $26,930.00 
Estimated Total Out-of-state:     | $34,500.00 | $32,630.00 | $26,930.00 ","Main Address
302 Bibb St
Marion, AL 36756-2504
www.judson.edu"
