Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Arkansas Baptist College,"Quick Facts
Total undergraduates : 593
In-State Tuition : $8,760.00
Out-of-State Tuition : $8,760.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,760.00  | $8,760.00  | $8,760.00  
Out-of-state tuition and fees:    | $8,760.00  | $8,760.00  | $8,760.00  
Room and board:                   | $8,826.00  |     --     |     --     
Books and supplies:               | $1,325.00  | $1,325.00  | $1,325.00  
Estimated personal expenses:      | $2,600.00  | $2,600.00  | $2,600.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $22,511.00 | $13,685.00 | $13,685.00 
Estimated Total Out-of-state:     | $22,511.00 | $13,685.00 | $13,685.00 ","Main Address
1621 Dr Martin Luther King Dr
Little Rock, AR 72202-6068
www.arkansasbaptist.edu"
Arkansas State University,"Quick Facts
Total undergraduates : 9,604
In-State Tuition : $8,850.00
Out-of-State Tuition : $15,810.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $15.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,850.00  | $8,850.00  | $8,850.00  
Out-of-state tuition and fees:    | $15,810.00 | $15,810.00 | $15,810.00 
Room and board:                   | $8,720.00  |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $4,913.00  | $4,913.00  | $4,913.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $23,483.00 | $14,763.00 | $14,763.00 
Estimated Total Out-of-state:     | $30,443.00 | $21,723.00 | $21,723.00 ","Main Address
PO Box 600
State University, AR 72467-0600
www.astate.edu"
Arkansas Tech University,"Quick Facts
Percentage of students graduating within 6 years : 41.0%
Total undergraduates : 11,015
First-time degree-seeking freshmen : 2,091
Average financial aid package : $10,570.00
Percentage of financial need met (average) : 62.0%
In-State Tuition : $9,585.00
Out-of-State Tuition : $16,545.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $524,228.00
Number of enrolled international undergraduates received aid:  57",980 - 1180,18 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   7,228
Admitted :   6,848
Enrolled :   2,091
Less selective 95.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,585.00  | $9,585.00  | $9,585.00  
Out-of-state tuition and fees:    | $16,545.00 | $16,545.00 | $16,545.00 
Room and board:                   | $8,472.00  | $12,711.00 | $4,879.00  
Books and supplies:               | $1,240.00  | $1,240.00  | $1,240.00  
Estimated personal expenses:      | $1,428.00  | $1,428.00  | $1,428.00  
Transportation expenses:          | $1,448.00  | $2,896.00  | $2,896.00  
Estimated Total In-state:         | $22,173.00 | $27,860.00 | $20,028.00 
Estimated Total Out-of-state:     | $29,133.00 | $34,820.00 | $26,988.00 ","Main Address
215 W O St
Russellville, AR 72801-2222
www.atu.edu"
Central Baptist College,"Quick Facts
Total undergraduates : 736
In-State Tuition : $17,100.00
Out-of-State Tuition : $17,100.00","Setting
Small City (50-250k)
Urban
Commuter campus
Other Characteristics
A Bible college with numerous degrees other than ministry available.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,100.00 | $17,100.00 | $17,100.00 
Out-of-state tuition and fees:    | $17,100.00 | $17,100.00 | $17,100.00 
Room and board:                   | $7,500.00  |     --     |     --     
Books and supplies:               |  $600.00   |  $600.00   |  $600.00   
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $25,200.00 | $17,700.00 | $17,700.00 
Estimated Total Out-of-state:     | $25,200.00 | $17,700.00 | $17,700.00 ","Main Address
1501 College Ave
Conway, AR 72034-6404
www.cbc.edu"
,,,,,,,,,,
Ecclesia College,"Quick Facts
Percentage of students graduating within 6 years : 27.0%
Total undergraduates : 211
First-time degree-seeking freshmen : 68
In-State Tuition : $16,100.00
Out-of-State Tuition : $16,100.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   No
Total applicants :   108
Admitted :   68
Enrolled :   44
Somewhat selective 63.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Jun 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $16,100.00 | $16,100.00 | $16,100.00 
Out-of-state tuition and fees:    | $16,100.00 | $16,100.00 | $16,100.00 
Room and board:                   | $5,310.00  | $8,250.00  | $3,600.00  
Books and supplies:               | $1,080.00  | $1,080.00  | $1,080.00  
Estimated personal expenses:      | $3,610.00  | $3,840.00  | $3,050.00  
Transportation expenses:          | $2,330.00  | $3,330.00  | $3,330.00  
Estimated Total In-state:         | $28,430.00 | $32,600.00 | $27,160.00 
Estimated Total Out-of-state:     | $28,430.00 | $32,600.00 | $27,160.00 ","Main Address
9653 Nations Dr
Springdale, AR 72762-8159
www.ecollege.edu"
Harding University,"Quick Facts
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 3,779
First-time degree-seeking freshmen : 808
Percentage of financial need met (average) : 81.0%
Average financial aid package : $15,599.00
In-State Tuition : $21,540.00
Out-of-State Tuition : $21,540.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1060 - 1270,21 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,836
Admitted :   1,125
Enrolled :   804
Somewhat selective 61.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   --
College will notify student of early decision by :   --
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $21,540.00 | $21,540.00 | $21,540.00 
Out-of-state tuition and fees:    | $21,540.00 | $21,540.00 | $21,540.00 
Room and board:                   | $7,438.00  | $7,438.00  | $3,888.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,406.00  | $1,406.00  | $1,406.00  
Transportation expenses:          | $1,400.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $32,984.00 | $32,984.00 | $29,434.00 
Estimated Total Out-of-state:     | $32,984.00 | $32,984.00 | $29,434.00 ","Main Address
915 E Market Ave
Searcy, AR 72149-5615
www.harding.edu"
Henderson State University,"Quick Facts
Total undergraduates : 3,000
Percentage of financial need met (average) : 45.0%
Average financial aid package : $9,279.00
In-State Tuition : $9,241.00
Out-of-State Tuition : $11,641.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,241.00  | $9,241.00  | $9,241.00  
Out-of-state tuition and fees:    | $11,641.00 | $11,641.00 | $11,641.00 
Room and board:                   | $8,558.00  | $8,000.00  | $2,700.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $2,400.00  | $2,400.00  | $2,000.00  
Transportation expenses:          | $1,300.00  | $2,500.00  | $2,500.00  
Estimated Total In-state:         | $23,099.00 | $23,741.00 | $18,041.00 
Estimated Total Out-of-state:     | $25,499.00 | $26,141.00 | $20,441.00 ","Main Address
1100 Henderson St
Arkadelphia, AR 71999-0001
www.hsu.edu"
Hendrix College,"Quick Facts
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 1,108
First-time degree-seeking freshmen : 281
Percentage of financial need met (average) : 93.0%
Average financial aid package : $43,933.00
In-State Tuition : $49,490.00
Out-of-State Tuition : $49,490.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1150 - 1370,25 - 31,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,628
Admitted :   1,139
Enrolled :   284
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $49,490.00 | $49,490.00 | $49,490.00 
Out-of-state tuition and fees:    | $49,490.00 | $49,490.00 | $49,490.00 
Room and board:                   | $12,820.00 | $9,774.00  | $2,050.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $1,800.00  | $1,800.00  | $1,800.00  
Transportation expenses:          | $1,100.00  | $1,100.00  | $1,100.00  
Estimated Total In-state:         | $66,310.00 | $63,264.00 | $55,540.00 
Estimated Total Out-of-state:     | $66,310.00 | $63,264.00 | $55,540.00 ","Main Address
1600 Washington Ave
Conway, AR 72032-4115
www.hendrix.edu"
John Brown University,"Quick Facts
Total undergraduates : 1,608
First-time degree-seeking freshmen : 319
Percentage of financial need met (average) : 80.0%
Average financial aid package : $22,238.00
In-State Tuition : $29,498.00
Out-of-State Tuition : $29,498.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,787,942.00
Number of enrolled international undergraduates received aid:  95
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1060 - 1260,23 - 29,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,176
Admitted :   891
Enrolled :   319
Less selective 76.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,498.00 | $29,498.00 | $29,498.00 
Out-of-state tuition and fees:    | $29,498.00 | $29,498.00 | $29,498.00 
Room and board:                   | $9,554.00  | $2,500.00  |     --     
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,350.00  | $1,350.00  | $1,350.00  
Transportation expenses:          | $1,500.00  | $1,500.00  | $1,500.00  
Estimated Total In-state:         | $42,702.00 | $35,648.00 | $33,148.00 
Estimated Total Out-of-state:     | $42,702.00 | $35,648.00 | $33,148.00 ","Main Address
2000 W University St
Siloam Springs, AR 72761-2112
www.jbu.edu"
