Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
American Jewish University,"Quick Facts
Total undergraduates : 49
In-State Tuition : $33,010.00
Out-of-State Tuition : $33,010.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
small class sizes, with student to faculty ratio of 7:1, core curriculum focused on social justice and ethical leadership","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,010.00 | $33,010.00 | $33,010.00 
Out-of-state tuition and fees:    | $33,010.00 | $33,010.00 | $33,010.00 
Room and board:                   | $16,336.00 | $15,084.00 |     --     
Books and supplies:               | $1,080.00  | $1,080.00  | $1,080.00  
Estimated personal expenses:      | $2,853.00  |     --     | $3,564.00  
Transportation expenses:          |  $874.00   |     --     | $1,134.00  
Estimated Total In-state:         | $54,153.00 | $49,174.00 | $38,788.00 
Estimated Total Out-of-state:     | $54,153.00 | $49,174.00 | $38,788.00 ","Main Address
15600 Mulholland Dr
Los Angeles, CA 90077-1519
www.aju.edu/undergrad"
Antioch University Los Angeles,"Quick Facts
Total undergraduates : 255
In-State Tuition : $20,670.00
Out-of-State Tuition : $20,670.00","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
Bachelor of Arts Degree Completion program offered on-campus with various attendance options available.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $20,670.00 | $20,670.00 | $20,670.00 
Out-of-state tuition and fees:    | $20,670.00 | $20,670.00 | $20,670.00 
Room only:                        |     --     |     --     |     --     
Books and supplies:               | $1,746.00  | $1,746.00  | $1,746.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $22,416.00 | $22,416.00 | $22,416.00 
Estimated Total Out-of-state:     | $22,416.00 | $22,416.00 | $22,416.00 ","Main Address
400 Corporate Pointe
Culver City, CA 90230-7615
www.antiochla.edu"
Antioch University Santa Barbara,"Quick Facts
Total undergraduates : 103
In-State Tuition : $22,575.00
Out-of-State Tuition : $22,575.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,575.00 | $22,575.00 | $22,575.00 
Out-of-state tuition and fees:    | $22,575.00 | $22,575.00 | $22,575.00 
Room only:                        |     --     | $3,209.00  |  $931.00   
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     | $2,406.00  | $2,406.00  
Transportation expenses:          |     --     | $1,070.00  | $1,070.00  
Estimated Total In-state:         | $22,575.00 | $29,260.00 | $26,982.00 
Estimated Total Out-of-state:     | $22,575.00 | $29,260.00 | $26,982.00 ","Main Address
602 Anacapa St
Santa Barbara, CA 93101-1615
www.antiochsb.edu"
Art Center College of Design,"Quick Facts
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 2,062
First-time degree-seeking freshmen : 267
In-State Tuition : $46,486.00
Out-of-State Tuition : $46,486.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jan 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $46,486.00 | $46,486.00 | $46,486.00 
Out-of-state tuition and fees:    | $46,486.00 | $46,486.00 | $46,486.00 
Room only:                        |     --     | $13,530.00 |     --     
Books and supplies:               | $4,000.00  | $4,000.00  | $4,000.00  
Estimated personal expenses:      |     --     | $3,698.00  | $3,698.00  
Transportation expenses:          |     --     | $2,794.00  | $2,794.00  
Estimated Total In-state:         | $50,486.00 | $70,508.00 | $56,978.00 
Estimated Total Out-of-state:     | $50,486.00 | $70,508.00 | $56,978.00 ","Main Address
1700 Lida St
Pasadena, CA 91103-1924
www.artcenter.edu"
Azusa Pacific University,"Quick Facts
Regular Application Deadline : June 1
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 5,086
First-time degree-seeking freshmen : 692
Average financial aid package : $6,614.00
In-State Tuition : $41,410.00
Out-of-State Tuition : $41,410.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1030 - 1260,20 - 26,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,475
Admitted :   6,099
Enrolled :   902
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Jun 1
Priority application due :   Feb 15
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $41,410.00 | $41,410.00 | $41,410.00 
Out-of-state tuition and fees:    | $41,410.00 | $41,410.00 | $41,410.00 
Room and board:                   | $9,302.00  | $15,086.00 | $6,786.00  
Books and supplies:               | $1,972.00  | $1,972.00  | $1,972.00  
Estimated personal expenses:      | $2,854.00  | $3,996.00  | $3,564.00  
Transportation expenses:          |  $864.00   | $1,278.00  | $1,134.00  
Estimated Total In-state:         | $56,402.00 | $63,742.00 | $54,866.00 
Estimated Total Out-of-state:     | $56,402.00 | $63,742.00 | $54,866.00 ","Main Address
901 E Alosta Ave
Azusa, CA 91702-2701
www.apu.edu"
Bethesda University,"Quick Facts
Total undergraduates : 244
First-time degree-seeking freshmen : 91
Average financial aid package : $7,621.00
In-State Tuition : $8,150.00
Out-of-State Tuition : $8,150.00","Setting
Large City (250-500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   321
Admitted :   138
Enrolled :   126
Very selective 43.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,150.00  | $8,150.00  | $8,150.00  
Out-of-state tuition and fees:    | $8,150.00  | $8,150.00  | $8,150.00  
Room only:                        |     --     | $6,000.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     |  $500.00   |  $500.00   
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $9,150.00  | $15,650.00 | $9,650.00  
Estimated Total Out-of-state:     | $9,150.00  | $15,650.00 | $9,650.00  ","Main Address
730 N Euclid St
Anaheim, CA 92801-4115
www.buc.edu"
Biola University,"Quick Facts
Percentage of students graduating within 6 years : 74.0%
Total undergraduates : 4,043
First-time degree-seeking freshmen : 841
Percentage of financial need met (average) : 61.0%
Average financial aid package : $26,680.00
In-State Tuition : $53,490.00
Out-of-State Tuition : $53,490.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Biblically centered Christian institution. Every undergraduate student graduates with Bible minor.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,684,716.00
Number of enrolled international undergraduates received aid:  197
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1080 - 1310,21 - 28,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   4,149
Admitted :   2,927
Enrolled :   907
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 15
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Jan 15
College will notify student of early action admission by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $53,490.00 | $53,490.00 | $53,490.00 
Out-of-state tuition and fees:    | $53,490.00 | $53,490.00 | $53,490.00 
Room and board:                   | $11,514.00 |     --     |     --     
Books and supplies:               | $1,970.00  | $1,970.00  | $1,970.00  
Estimated personal expenses:      | $2,852.00  | $2,852.00  | $2,852.00  
Transportation expenses:          |  $864.00   |  $864.00   |  $864.00   
Estimated Total In-state:         | $70,690.00 | $59,176.00 | $59,176.00 
Estimated Total Out-of-state:     | $70,690.00 | $59,176.00 | $59,176.00 ","Main Address
13800 Biola Ave
La Mirada, CA 90639-0002
www.biola.edu"
Brandman University,"Quick Facts
Total undergraduates : 5,056
In-State Tuition : $15,480.00
Out-of-State Tuition : $15,480.00","Setting
Large City (250-500k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,Test Subjects,"Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $15,480.00 | $15,480.00 | $15,480.00 
Out-of-state tuition and fees:    | $15,480.00 | $15,480.00 | $15,480.00 
Room only:                        |     --     | $16,578.00 | $8,784.00  
Books and supplies:               | $1,080.00  | $1,080.00  | $1,080.00  
Estimated personal expenses:      |     --     | $3,780.00  | $3,222.00  
Transportation expenses:          |     --     | $5,418.00  |  $936.00   
Estimated Total In-state:         | $16,560.00 | $42,336.00 | $29,502.00 
Estimated Total Out-of-state:     | $16,560.00 | $42,336.00 | $29,502.00 ","Main Address
16355 Laguna Canyon Rd
Irvine, CA 92618-3801
www.brandman.edu"
California Baptist University,"Quick Facts
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 8,190
First-time degree-seeking freshmen : 1,523
Percentage of financial need met (average) : 36.0%
Average financial aid package : $23,305.00
In-State Tuition : $36,220.00
Out-of-State Tuition : $36,220.00","Setting
Large City (250-500k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,809,241.00
Number of enrolled international undergraduates received aid:  129
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",990 - 1210,18 - 24,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   8,241
Admitted :   6,451
Enrolled :   1,523
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,220.00 | $36,220.00 | $36,220.00 
Out-of-state tuition and fees:    | $36,220.00 | $36,220.00 | $36,220.00 
Room and board:                   | $12,600.00 | $15,082.00 | $6,786.00  
Books and supplies:               | $1,970.00  | $1,970.00  | $1,970.00  
Estimated personal expenses:      | $3,796.00  | $4,076.00  | $3,644.00  
Transportation expenses:          |  $846.00   | $1,278.00  | $1,134.00  
Estimated Total In-state:         | $55,432.00 | $58,626.00 | $49,754.00 
Estimated Total Out-of-state:     | $55,432.00 | $58,626.00 | $49,754.00 ","Main Address
8432 Magnolia Ave # 2349
Riverside, CA 92504-3206
www.calbaptist.edu"
California College of the Arts,"Quick Facts
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 1,466
First-time degree-seeking freshmen : 248
Percentage of financial need met (average) : 75.0%
Average financial aid package : $41,872.00
In-State Tuition : $53,328.00
Out-of-State Tuition : $53,328.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
2 campuses located in San Francisco and Oakland.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,446,750.00
Number of enrolled international undergraduates received aid:  300
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $70.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,213
Admitted :   2,193
Enrolled :   252
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $53,328.00 | $53,328.00 | $53,328.00 
Out-of-state tuition and fees:    | $53,328.00 | $53,328.00 | $53,328.00 
Room and board:                   | $18,593.00 | $11,855.00 | $3,480.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $2,200.00  | $2,570.00  | $2,950.00  
Transportation expenses:          | $1,250.00  | $1,590.00  | $1,450.00  
Estimated Total In-state:         | $76,871.00 | $70,843.00 | $62,708.00 
Estimated Total Out-of-state:     | $76,871.00 | $70,843.00 | $62,708.00 ","Main Address
1111 8th St
San Francisco, CA 94107-2247
www.cca.edu"
