Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Adams State University,"Quick Facts
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 1,959
First-time degree-seeking freshmen : 398
Percentage of financial need met (average) : 64.0%
Average financial aid package : $14,751.00
In-State Tuition : $9,560.00
Out-of-State Tuition : $21,296.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Hispanic-serving institution.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",890 - 1090,17 - 22,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,765
Admitted :   1,749
Enrolled :   399
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,560.00  | $9,560.00  | $9,560.00  
Out-of-state tuition and fees:    | $21,296.00 | $21,296.00 | $21,296.00 
Room and board:                   | $8,850.00  | $11,439.00 | $2,484.00  
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      | $1,440.00  | $1,440.00  | $1,287.00  
Transportation expenses:          | $1,665.00  | $1,665.00  | $1,665.00  
Estimated Total In-state:         | $23,315.00 | $25,904.00 | $16,796.00 
Estimated Total Out-of-state:     | $35,051.00 | $37,640.00 | $28,532.00 ","Main Address
208 Edgemont Boulevard
Alamosa, CO 81101-2320
https://www.adams.edu/"
Colorado Christian University,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 1,413
First-time degree-seeking freshmen : 380
Percentage of financial need met (average) : 79.0%
Average financial aid package : $29,560.00
In-State Tuition : $34,750.00
Out-of-State Tuition : $34,750.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Annual events available to students:  (1) Western Conservative Summit and (2) Young Christian Conservative Leadership Conference.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,930
Admitted :   1,120
Enrolled :   380
Somewhat selective 58.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   1,636
Admitted early action :   920
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 21
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Dec 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,750.00 | $34,750.00 | $34,750.00 
Out-of-state tuition and fees:    | $34,750.00 | $34,750.00 | $34,750.00 
Room and board:                   | $11,694.00 | $11,188.00 | $6,300.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |  $810.00   |  $810.00   |  $810.00   
Estimated Total In-state:         | $48,254.00 | $47,748.00 | $42,860.00 
Estimated Total Out-of-state:     | $48,254.00 | $47,748.00 | $42,860.00 ","Main Address
8787 W Alameda Ave
Lakewood, CO 80226-2824
https://www.ccu.edu/"
Colorado College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 83.0%
Total undergraduates : 2,099
First-time degree-seeking freshmen : 535
Percentage of financial need met (average) : 100.0%
Average financial aid package : $57,862.00
In-State Tuition : $60,864.00
Out-of-State Tuition : $60,864.00","Setting
Large City (250-500k)
Urban
Residential campus
Other Characteristics
Baca campus in Southern Colorado available for intensive study.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $4,514,455.00
Number of enrolled international undergraduates received aid:  88
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1300 - 1480,29 - 33,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   9,456
Admitted :   1,277
Enrolled :   535
Most selective 14.0% of applicants admitted
Applied early admission :   1,163
Admitted early admission :   316
Applied early action :   4,015
Admitted early action :   761
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   1,052
Number accepting place :   275
Accepted from list :   23
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   Jan 15
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Feb 20
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $60,864.00 | $60,864.00 | $60,864.00 
Out-of-state tuition and fees:    | $60,864.00 | $60,864.00 | $60,864.00 
Room and board:                   | $13,392.00 | $13,392.00 | $5,400.00  
Books and supplies:               | $1,240.00  | $1,240.00  | $1,240.00  
Estimated personal expenses:      | $1,354.00  | $1,354.00  | $1,354.00  
Transportation expenses:          | $1,230.00  | $1,230.00  |     --     
Estimated Total In-state:         | $78,080.00 | $78,080.00 | $68,858.00 
Estimated Total Out-of-state:     | $78,080.00 | $78,080.00 | $68,858.00 ","Main Address
14 E Cache La Poudre St
Colorado Springs, CO 80903-3243
https://www.coloradocollege.edu/"
Colorado Mesa University,"Quick Facts
Total undergraduates : 9,239
First-time degree-seeking freshmen : 2,109
Percentage of financial need met (average) : 65.0%
Average financial aid package : $10,072.00
In-State Tuition : $9,306.00
Out-of-State Tuition : $23,163.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,012,794.00
Number of enrolled international undergraduates received aid:  86",930 - 1170,18 - 25,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   8,845
Admitted :   6,917
Enrolled :   2,091
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,306.00  | $9,306.00  | $9,306.00  
Out-of-state tuition and fees:    | $23,163.00 | $23,163.00 | $23,163.00 
Room and board:                   | $11,168.00 | $8,308.00  | $2,466.00  
Books and supplies:               | $1,560.00  | $1,560.00  | $1,560.00  
Estimated personal expenses:      | $1,404.00  | $1,404.00  | $1,250.00  
Transportation expenses:          | $1,670.00  | $1,670.00  | $1,670.00  
Estimated Total In-state:         | $25,108.00 | $22,248.00 | $16,252.00 
Estimated Total Out-of-state:     | $38,965.00 | $36,105.00 | $30,109.00 ","Main Address
1100 North Ave
Grand Junction, CO 81501-3122
https://www.coloradomesa.edu/"
Colorado School of Mines,"Quick Facts
Regular Application Deadline : May 1
Percentage of students graduating within 6 years : 83.0%
Total undergraduates : 5,154
First-time degree-seeking freshmen : 1,282
Percentage of financial need met (average) : 61.0%
Average financial aid package : $15,908.00
In-State Tuition : $19,100.00
Out-of-State Tuition : $39,800.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $325,165.00
Number of enrolled international undergraduates received aid:  27",1260 - 1460,27 - 33,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   11,756
Admitted :   6,240
Enrolled :   1,282
Somewhat selective 53.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   1,622
Number accepting place :   424
Accepted from list :   8
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   May 1
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,100.00 | $19,100.00 | $19,100.00 
Out-of-state tuition and fees:    | $39,800.00 | $39,800.00 | $39,800.00 
Room and board:                   | $14,720.00 | $14,211.00 | $2,457.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $1,229.00  | $1,679.00  | $1,205.00  
Transportation expenses:          |  $650.00   | $1,404.00  | $1,300.00  
Estimated Total In-state:         | $37,199.00 | $37,894.00 | $25,562.00 
Estimated Total Out-of-state:     | $57,899.00 | $58,594.00 | $46,262.00 ","Main Address
1500 Illinois St
Golden, CO 80401-1887
https://www.mines.edu/"
Colorado State University,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 26,559
First-time degree-seeking freshmen : 5,137
Percentage of financial need met (average) : 66.0%
Average financial aid package : $11,101.00
In-State Tuition : $11,939.00
Out-of-State Tuition : $30,659.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $8,413,229.00
Number of enrolled international undergraduates received aid:  756",1070 - 1290,23 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   28,319
Admitted :   23,038
Enrolled :   5,217
Less selective 81.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   19,868
Admitted early action :   17,108
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Jul 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,939.00 | $11,939.00 | $11,939.00 
Out-of-state tuition and fees:    | $30,659.00 | $30,659.00 | $30,659.00 
Room and board:                   | $12,552.00 | $11,439.00 | $2,484.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,790.00  | $1,790.00  | $1,790.00  
Transportation expenses:          | $1,126.00  | $1,126.00  | $1,126.00  
Estimated Total In-state:         | $28,607.00 | $27,494.00 | $18,539.00 
Estimated Total Out-of-state:     | $47,327.00 | $46,214.00 | $37,259.00 ","Main Address
200 W Lake St
Fort Collins, CO 80521-4593
https://www.colostate.edu/"
Colorado State University-Pueblo,"Quick Facts
Percentage of students graduating within 6 years : 771.0%
Total undergraduates : 4,621
In-State Tuition : $13,437.00
Out-of-State Tuition : $27,254.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,437.00 | $13,437.00 | $13,437.00 
Out-of-state tuition and fees:    | $27,254.00 | $27,254.00 | $27,254.00 
Room and board:                   | $10,930.00 | $8,901.00  | $2,391.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,260.00  | $2,260.00  | $2,116.00  
Transportation expenses:          | $1,296.00  | $1,296.00  | $1,296.00  
Estimated Total In-state:         | $29,123.00 | $27,094.00 | $20,440.00 
Estimated Total Out-of-state:     | $42,940.00 | $40,911.00 | $34,257.00 ","Main Address
2200 Bonforte Blvd
Pueblo, CO 81001-4901
www.csupueblo.edu"
Colorado Technical University,"Quick Facts
Total undergraduates : 22,306","Setting
Large City (250-500k)
Suburban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        |     --     |     --     |     --     
Out-of-state tuition and fees:    |     --     |     --     |     --     
Room only:                        |     --     |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         |   $0.00    |   $0.00    |   $0.00    
Estimated Total Out-of-state:     |   $0.00    |   $0.00    |   $0.00    ","Main Address
4435 N Chestnut St
Colorado Springs, CO 80907-3812
www.coloradotech.edu"
Denver School of Nursing,"Quick Facts
Total undergraduates : 796","Setting
Very Large City (>500k)
Urban",Financial Aid,No information,No information,Test Subjects,"Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        |     --     |     --     |     --     
Out-of-state tuition and fees:    |     --     |     --     |     --     
Room only:                        |     --     |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         |   $0.00    |   $0.00    |   $0.00    
Estimated Total Out-of-state:     |   $0.00    |   $0.00    |   $0.00    ","Main Address
1401 19th St
Denver, CO 80202-1213
www.denverschoolofnursing.edu"
Fort Lewis College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 41.0%
Total undergraduates : 3,229
First-time degree-seeking freshmen : 761
Percentage of financial need met (average) : 91.0%
Average financial aid package : $18,822.00
In-State Tuition : $8,933.00
Out-of-State Tuition : $19,589.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $248,446.00
Number of enrolled international undergraduates received aid:  15",980 - 1200,17 - 23,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,757
Admitted :   3,433
Enrolled :   761
Less selective 91.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Jan 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,933.00  | $8,933.00  | $8,933.00  
Out-of-state tuition and fees:    | $19,589.00 | $19,589.00 | $19,589.00 
Room and board:                   | $10,230.00 | $10,168.00 | $2,208.00  
Books and supplies:               | $1,240.00  | $1,240.00  | $1,240.00  
Estimated personal expenses:      | $1,368.00  | $1,368.00  | $1,232.00  
Transportation expenses:          | $2,284.00  | $2,284.00  | $1,480.00  
Estimated Total In-state:         | $24,055.00 | $23,993.00 | $15,093.00 
Estimated Total Out-of-state:     | $34,711.00 | $34,649.00 | $25,749.00 ","Main Address
1000 Rim Drive
Durango, CO 81301-3911
https://www.fortlewis.edu/"
