Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Albertus Magnus College,"Quick Facts
Regular Application Deadline : August 28
Percentage of students graduating within 6 years : 61.0%
Total undergraduates : 1,116
First-time degree-seeking freshmen : 246
Percentage of financial need met (average) : 57.0%
Average financial aid package : $26,534.00
In-State Tuition : $35,410.00
Out-of-State Tuition : $35,410.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
This is the 95th Anniversary of Albertus Magnus College.  This milestone speaks directly to the Albertus legacy which dates back to 1925 and the bold vision of the Dominican Sisters who answered a call of need, embraced that need, and brought forward New Englands first Catholic, residential liberal arts college for women  who might not otherwise have had access to an education of such quality and distinctiveness.  More than nine decades later, our Dominican mission continues to inspire the life-elevating education offered today to women and men, younger and older, diverse in the heritage and life experiences  all reaching out to us on campus and online.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $458,733.00
Number of enrolled international undergraduates received aid:  20",850 - 1080,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,425
Admitted :   1,174
Enrolled :   246
Less selective 82.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Aug 28
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,410.00 | $35,410.00 | $35,410.00 
Out-of-state tuition and fees:    | $35,410.00 | $35,410.00 | $35,410.00 
Room and board:                   | $14,464.00 | $14,464.00 | $9,560.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $4,106.00  | $4,106.00  | $4,106.00  
Transportation expenses:          | $2,754.00  | $3,332.00  | $3,332.00  
Estimated Total In-state:         | $57,734.00 | $58,312.00 | $53,408.00 
Estimated Total Out-of-state:     | $57,734.00 | $58,312.00 | $53,408.00 ","Main Address
700 Prospect St
New Haven, CT 06511-1224
https://www.albertus.edu/"
Central Connecticut State University,"Quick Facts
Regular Application Deadline : May 1
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 9,045
First-time degree-seeking freshmen : 1,377
Percentage of financial need met (average) : 49.0%
Average financial aid package : $9,968.00
In-State Tuition : $11,502.00
Out-of-State Tuition : $23,776.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,970 - 1160,17 - 23,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,807
Admitted :   5,124
Enrolled :   1,377
Somewhat selective 66.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   215
Number accepting place :   210
Accepted from list :   180
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   May 1
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,502.00 | $11,502.00 | $11,502.00 
Out-of-state tuition and fees:    | $23,776.00 | $23,776.00 | $23,776.00 
Room and board:                   | $12,716.00 | $12,716.00 |     --     
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,536.00  | $1,536.00  | $1,536.00  
Transportation expenses:          |  $720.00   |  $720.00   | $1,440.00  
Estimated Total In-state:         | $28,074.00 | $28,074.00 | $16,078.00 
Estimated Total Out-of-state:     | $40,348.00 | $40,348.00 | $28,352.00 ","Main Address
1615 Stanley St
New Britain, CT 06050-2439
www.ccsu.edu"
Connecticut College,"Quick Facts
Regular Application Deadline : January 1
Percentage of students graduating within 6 years : 84.0%
Total undergraduates : 1,861
First-time degree-seeking freshmen : 508
Percentage of financial need met (average) : 100.0%
Average financial aid package : $46,820.00
In-State Tuition : $59,025.00
Out-of-State Tuition : $59,025.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $7,935,660.00
Number of enrolled international undergraduates received aid:  146
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1310 - 1450,30 - 33,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   6,784
Admitted :   2,538
Enrolled :   508
Very selective 37.0% of applicants admitted
Applied early admission :   460
Admitted early admission :   268
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,482
Number accepting place :   637
Accepted from list :   8
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  Mar 30
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $59,025.00 | $59,025.00 | $59,025.00 
Out-of-state tuition and fees:    | $59,025.00 | $59,025.00 | $59,025.00 
Room and board:                   | $16,290.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $600.00   |     --     |     --     
Transportation expenses:          |  $400.00   |     --     |     --     
Estimated Total In-state:         | $77,315.00 | $60,025.00 | $60,025.00 
Estimated Total Out-of-state:     | $77,315.00 | $60,025.00 | $60,025.00 ","Main Address
270 Mohegan Ave
New London, CT 06320-4125
https://www.conncoll.edu/"
Eastern Connecticut State University,"Quick Facts
Total undergraduates : 5,073
In-State Tuition : $12,304.00
Out-of-State Tuition : $24,578.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,304.00 | $12,304.00 | $12,304.00 
Out-of-state tuition and fees:    | $24,578.00 | $24,578.00 | $24,578.00 
Room and board:                   | $14,434.00 | $9,456.00  | $3,106.00  
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,462.00  | $1,462.00  | $1,462.00  
Transportation expenses:          |  $789.00   | $1,035.00  | $1,528.00  
Estimated Total In-state:         | $29,789.00 | $25,057.00 | $19,200.00 
Estimated Total Out-of-state:     | $42,063.00 | $37,331.00 | $31,474.00 ","Main Address
83 Windham St
Willimantic, CT 06226-2211
www.easternct.edu"
Fairfield University,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 83.0%
Total undergraduates : 4,303
First-time degree-seeking freshmen : 1,176
Percentage of financial need met (average) : 89.0%
Average financial aid package : $32,358.00
In-State Tuition : $51,325.00
Out-of-State Tuition : $51,325.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $7,004,638.00
Number of enrolled international undergraduates received aid:  153
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1210 - 1350,26 - 30,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   12,315
Admitted :   7,035
Enrolled :   1,176
Somewhat selective 57.0% of applicants admitted
Applied early admission :   223
Admitted early admission :   173
Applied early action :   7,371
Admitted early action :   4,379
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   3,750
Number accepting place :   1,205
Accepted from list :   13
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 20
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $51,325.00 | $51,325.00 | $51,325.00 
Out-of-state tuition and fees:    | $51,325.00 | $51,325.00 | $51,325.00 
Room and board:                   | $15,610.00 | $15,610.00 | $8,600.00  
Books and supplies:               | $1,150.00  | $1,150.00  | $1,150.00  
Estimated personal expenses:      |  $930.00   |  $930.00   |  $930.00   
Transportation expenses:          |  $800.00   |  $800.00   | $1,350.00  
Estimated Total In-state:         | $69,815.00 | $69,815.00 | $63,355.00 
Estimated Total Out-of-state:     | $69,815.00 | $69,815.00 | $63,355.00 ","Main Address
1073 N Benson Rd
Fairfield, CT 06824-5171
https://www.fairfield.edu/"
Goodwin College,"Quick Facts
Total undergraduates : 3,351
In-State Tuition : $20,988.00
Out-of-State Tuition : $20,988.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $20,988.00 | $20,988.00 | $20,988.00 
Out-of-state tuition and fees:    | $20,988.00 | $20,988.00 | $20,988.00 
Room only:                        | $4,500.00  | $4,701.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     | $2,524.00  | $1,651.00  
Transportation expenses:          |     --     | $1,480.00  |  $991.00   
Estimated Total In-state:         | $26,488.00 | $30,693.00 | $24,630.00 
Estimated Total Out-of-state:     | $26,488.00 | $30,693.00 | $24,630.00 ","Main Address
1 Riverside Dr
East Hartford, CT 06118-1837
www.goodwin.edu"
Mitchell College,"Quick Facts
Regular Application Deadline : September 1
Total undergraduates : 642
First-time degree-seeking freshmen : 124
Percentage of financial need met (average) : 70.0%
Average financial aid package : $25,445.00
In-State Tuition : $35,072.00
Out-of-State Tuition : $35,072.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,121
Admitted :   875
Enrolled :   124
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Sep 1
Priority application due :   May 1
College will notify student of admission :  Sep 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,072.00 | $35,072.00 | $35,072.00 
Out-of-state tuition and fees:    | $35,072.00 | $35,072.00 | $35,072.00 
Room and board:                   | $13,906.00 | $9,690.00  |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,300.00  | $1,300.00  | $1,300.00  
Transportation expenses:          | $1,400.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $52,878.00 | $48,662.00 | $38,972.00 
Estimated Total Out-of-state:     | $52,878.00 | $48,662.00 | $38,972.00 ","Main Address
437 Pequot Ave
New London, CT 06320-4452
https://mitchell.edu/"
Post University,"Quick Facts
Total undergraduates : 9,744
First-time degree-seeking freshmen : 1,122
Percentage of financial need met (average) : 39.0%
Average financial aid package : $9,814.00
In-State Tuition : $17,810.00
Out-of-State Tuition : $17,810.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,893
Admitted :   2,793
Enrolled :   1,163
Less selective 97.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,810.00 | $17,810.00 | $17,810.00 
Out-of-state tuition and fees:    | $17,810.00 | $17,810.00 | $17,810.00 
Room and board:                   | $11,600.00 | $11,600.00 | $3,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $32,810.00 | $32,810.00 | $24,210.00 
Estimated Total Out-of-state:     | $32,810.00 | $32,810.00 | $24,210.00 ","Main Address
800 Country Club Rd
Waterbury, CT 06708-3240
www.post.edu"
Quinnipiac University,"Quick Facts
Total undergraduates : 7,425
Percentage of financial need met (average) : 67.0%
Average financial aid package : $28,873.00
In-State Tuition : $50,760.00
Out-of-State Tuition : $50,760.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $50,760.00 | $50,760.00 | $50,760.00 
Out-of-state tuition and fees:    | $50,760.00 | $50,760.00 | $50,760.00 
Room and board:                   | $15,440.00 | $15,100.00 | $2,200.00  
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          |  $800.00   | $1,300.00  | $1,300.00  
Estimated Total In-state:         | $69,000.00 | $69,160.00 | $56,260.00 
Estimated Total Out-of-state:     | $69,000.00 | $69,160.00 | $56,260.00 ","Main Address
275 Mount Carmel Ave
Hamden, CT 06518-1905
www.qu.edu"
Sacred Heart University,"Quick Facts
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 6,158
First-time degree-seeking freshmen : 1,601
Percentage of financial need met (average) : 59.0%
Average financial aid package : $22,433.00
In-State Tuition : $44,350.00
Out-of-State Tuition : $44,350.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Learn more about Sacred Heart's plans for the fall on the institution's website.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,615,172.00
Number of enrolled international undergraduates received aid:  64
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1120 - 1260,23 - 28,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   11,748
Admitted :   7,515
Enrolled :   1,601
Somewhat selective 64.0% of applicants admitted
Applied early admission :   252
Admitted early admission :   214
Applied early action :   7,964
Admitted early action :   2,104
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 15
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 15
College will notify student of early action admission by :   Jan 31
Early decision application due :   Dec 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $44,350.00 | $44,350.00 | $44,350.00 
Out-of-state tuition and fees:    | $44,350.00 | $44,350.00 | $44,350.00 
Room and board:                   | $16,492.00 | $10,462.00 | $2,790.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,650.00  | $1,650.00  | $1,650.00  
Transportation expenses:          | $1,000.00  | $1,500.00  | $1,500.00  
Estimated Total In-state:         | $64,692.00 | $59,162.00 | $51,490.00 
Estimated Total Out-of-state:     | $64,692.00 | $59,162.00 | $51,490.00 ","Main Address
5151 Park Avenue
Fairfield, CT 06825-1090
https://www.sacredheart.edu/"
