Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
AdventHealth University,"Quick Facts
Regular Application Deadline : July 1
Total undergraduates : 1,234
First-time degree-seeking freshmen : 64
Percentage of financial need met (average) : 28.0%
Average financial aid package : $8,535.00
In-State Tuition : $16,350.00
Out-of-State Tuition : $16,350.00","Setting
Large City (250-500k)
Urban
Commuter campus
Other Characteristics
Affiliated with AdventHealth","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $27,264.00
Number of enrolled international undergraduates received aid:  7",1020 - 1160,18 - 21,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   283
Admitted :   143
Enrolled :   64
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   239
Admitted early action :   127
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 31","Early Decision And Action
Early action application due :   May 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $16,350.00 | $16,350.00 | $16,350.00 
Out-of-state tuition and fees:    | $16,350.00 | $16,350.00 | $16,350.00 
Room and board:                   | $4,200.00  | $15,696.00 | $3,807.00  
Books and supplies:               | $2,310.00  | $2,310.00  | $2,310.00  
Estimated personal expenses:      | $1,512.00  | $1,512.00  | $1,512.00  
Transportation expenses:          | $4,950.00  | $4,950.00  | $4,950.00  
Estimated Total In-state:         | $29,322.00 | $40,818.00 | $28,929.00 
Estimated Total Out-of-state:     | $29,322.00 | $40,818.00 | $28,929.00 ","Main Address
671 Winyah Dr
Orlando, FL 32803-1226
https://www.ahu.edu/"
Ave Maria University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 1,129
First-time degree-seeking freshmen : 310
Percentage of financial need met (average) : 83.0%
Average financial aid package : $21,984.00
In-State Tuition : $23,188.00
Out-of-State Tuition : $23,188.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",1040 - 1230,21 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   1,446
Admitted :   1,227
Enrolled :   321
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $23,188.00 | $23,188.00 | $23,188.00 
Out-of-state tuition and fees:    | $23,188.00 | $23,188.00 | $23,188.00 
Room and board:                   | $12,580.00 | $12,580.00 | $5,340.00  
Books and supplies:               | $1,260.00  | $1,260.00  | $1,260.00  
Estimated personal expenses:      | $1,050.00  | $1,050.00  | $1,050.00  
Transportation expenses:          | $1,855.00  | $1,855.00  | $1,855.00  
Estimated Total In-state:         | $39,933.00 | $39,933.00 | $32,693.00 
Estimated Total Out-of-state:     | $39,933.00 | $39,933.00 | $32,693.00 ","Main Address
5050 Ave Maria Blvd
Ave Maria, FL 34142-9505
https://www.avemaria.edu/"
Barry University,"Quick Facts
Percentage of students graduating within 6 years : 35.0%
Total undergraduates : 3,747
First-time degree-seeking freshmen : 717
Percentage of financial need met (average) : 65.0%
Average financial aid package : $27,725.00
In-State Tuition : $30,940.00
Out-of-State Tuition : $30,940.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
Off-campus sites for adult and continuing education and other graduate degrees.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1080,17 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   10,577
Admitted :   5,415
Enrolled :   717
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,940.00 | $30,940.00 | $30,940.00 
Out-of-state tuition and fees:    | $30,940.00 | $30,940.00 | $30,940.00 
Room and board:                   | $11,506.00 | $11,400.00 | $1,500.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $3,566.00  | $3,616.00  | $1,216.00  
Transportation expenses:          |  $960.00   | $2,934.00  | $1,834.00  
Estimated Total In-state:         | $48,472.00 | $50,390.00 | $36,990.00 
Estimated Total Out-of-state:     | $48,472.00 | $50,390.00 | $36,990.00 ","Main Address
11300 NE 2nd Ave
Miami, FL 33161-6628
https://www.barry.edu/"
Beacon College,"Quick Facts
Total undergraduates : 416
First-time degree-seeking freshmen : 98
In-State Tuition : $42,900.00
Out-of-State Tuition : $42,900.00","Setting
Large Town (10-50k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   No
Total applicants :   286
Admitted :   145
Enrolled :   98
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $42,900.00 | $42,900.00 | $42,900.00 
Out-of-state tuition and fees:    | $42,900.00 | $42,900.00 | $42,900.00 
Room and board:                   | $12,816.00 | $11,946.00 | $2,000.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,967.00  | $2,967.00  | $1,800.00  
Transportation expenses:          | $3,113.00  | $2,137.00  | $2,137.00  
Estimated Total In-state:         | $62,796.00 | $60,950.00 | $49,837.00 
Estimated Total Out-of-state:     | $62,796.00 | $60,950.00 | $49,837.00 ","Main Address
105 E Main St
Leesburg, FL 34748-5224
https://www.beaconcollege.edu"
Bethune-Cookman University,"Quick Facts
Percentage of students graduating within 6 years : 33.0%
Total undergraduates : 2,779
First-time degree-seeking freshmen : 560
In-State Tuition : $14,814.00
Out-of-State Tuition : $14,814.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",840 - 1010,15 - 18,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   7,081
Admitted :   5,952
Enrolled :   560
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,814.00 | $14,814.00 | $14,814.00 
Out-of-state tuition and fees:    | $14,814.00 | $14,814.00 | $14,814.00 
Room and board:                   | $9,462.00  | $9,400.00  |     --     
Books and supplies:               | $1,450.00  | $1,450.00  | $1,450.00  
Estimated personal expenses:      | $3,330.00  | $4,200.00  | $4,200.00  
Transportation expenses:          | $1,110.00  | $1,600.00  |     --     
Estimated Total In-state:         | $30,166.00 | $31,464.00 | $20,464.00 
Estimated Total Out-of-state:     | $30,166.00 | $31,464.00 | $20,464.00 ","Main Address
640 Dr Mary McLeod Bethune Blvd
Daytona Beach, FL 32114-3012
https://www.cookman.edu/"
Broward College,"Quick Facts
Total undergraduates : 38,978
First-time degree-seeking freshmen : 5,241
In-State Tuition : $3,540.00
Out-of-State Tuition : $11,190.00","Setting
Small City (50-250k)
Urban
Commuter campus
Other Characteristics
3 main campuses and 9 centers as well as overseas centers.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   5,241
Admitted :   5,241
Enrolled :   5,241
Open admission 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $3,540.00  | $3,540.00  | $3,540.00  
Out-of-state tuition and fees:    | $11,190.00 | $11,190.00 | $11,190.00 
Room only:                        |     --     | $19,500.00 |     --     
Books and supplies:               | $3,004.00  | $3,004.00  | $3,004.00  
Estimated personal expenses:      |     --     | $5,000.00  | $2,950.00  
Transportation expenses:          |     --     | $10,000.00 | $5,200.00  
Estimated Total In-state:         | $6,544.00  | $41,044.00 | $14,694.00 
Estimated Total Out-of-state:     | $14,194.00 | $48,694.00 | $22,344.00 ","Main Address
111 E Las Olas Blvd
Fort Lauderdale, FL 33301-2206
www.broward.edu"
Chipola College,"Quick Facts
Total undergraduates : 2,092
In-State Tuition : $3,060.00
Out-of-State Tuition : $8,891.00","Setting
Small Town (2,500-10k)
Rural
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $3,060.00  | $3,060.00  | $3,060.00  
Out-of-state tuition and fees:    | $8,891.00  | $8,891.00  | $8,891.00  
Room only:                        |     --     | $5,388.00  |  $720.00   
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      |     --     | $1,500.00  | $1,500.00  
Transportation expenses:          |     --     | $2,848.00  | $2,848.00  
Estimated Total In-state:         | $3,860.00  | $13,596.00 | $8,928.00  
Estimated Total Out-of-state:     | $9,691.00  | $19,427.00 | $14,759.00 ","Main Address
3094 Indian Cir
Marianna, FL 32446-1701
www.chipola.edu"
College of Central Florida,"Quick Facts
Total undergraduates : 6,604
First-time degree-seeking freshmen : 1,297
Percentage of financial need met (average) : 50.0%
Average financial aid package : $1,980.00
In-State Tuition : $3,388.00
Out-of-State Tuition : $13,146.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   4,367
Admitted :   2,009
Enrolled :   1,556
Very selective 46.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $3,388.00  | $3,388.00  | $3,388.00  
Out-of-state tuition and fees:    | $13,146.00 | $13,146.00 | $13,146.00 
Room only:                        |     --     | $7,462.00  |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      |     --     | $1,800.00  | $1,800.00  
Transportation expenses:          |     --     | $1,922.00  | $1,922.00  
Estimated Total In-state:         | $4,788.00  | $15,972.00 | $8,510.00  
Estimated Total Out-of-state:     | $14,546.00 | $25,730.00 | $18,268.00 ","Main Address
3001 SW College Road
Ocala, FL 34474-4415
https://www.cf.edu/"
Daytona State College,"Quick Facts
Total undergraduates : 13,430
First-time degree-seeking freshmen : 1,941
In-State Tuition : $3,106.00
Out-of-State Tuition : $11,994.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Enrolled :   1,941
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $3,106.00  | $3,106.00  | $3,106.00  
Out-of-state tuition and fees:    | $11,994.00 | $11,994.00 | $11,994.00 
Room only:                        |     --     | $7,600.00  | $3,000.00  
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      |     --     | $1,624.00  | $1,624.00  
Transportation expenses:          |     --     | $1,500.00  |  $700.00   
Estimated Total In-state:         | $4,906.00  | $15,630.00 | $10,230.00 
Estimated Total Out-of-state:     | $13,794.00 | $24,518.00 | $19,118.00 ","Main Address
1200 W International Speedway Blvd
Daytona Beach, FL 32114-2817
www.daytonastate.edu"
Eckerd College,"Quick Facts
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,007
First-time degree-seeking freshmen : 539
Percentage of financial need met (average) : 84.0%
Average financial aid package : $38,871.00
In-State Tuition : $47,704.00
Out-of-State Tuition : $47,704.00","Setting
Large City (250-500k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,045,163.00
Number of enrolled international undergraduates received aid:  61",1090 - 1280,23 - 29,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   4,644
Admitted :   3,132
Enrolled :   539
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   186
Number accepting place :   61
Accepted from list :   18
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $47,704.00 | $47,704.00 | $47,704.00 
Out-of-state tuition and fees:    | $47,704.00 | $47,704.00 | $47,704.00 
Room and board:                   | $13,482.00 | $13,482.00 | $1,626.00  
Books and supplies:               | $1,350.00  | $1,350.00  | $1,350.00  
Estimated personal expenses:      | $1,600.00  | $1,600.00  | $1,280.00  
Transportation expenses:          | $1,500.00  | $1,500.00  | $1,226.00  
Estimated Total In-state:         | $65,636.00 | $65,636.00 | $53,186.00 
Estimated Total Out-of-state:     | $65,636.00 | $65,636.00 | $53,186.00 ","Main Address
4200 54th Ave S
Saint Petersburg, FL 33711-4744
https://www.eckerd.edu/"
