Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Abraham Baldwin Agricultural College,"Quick Facts
Total undergraduates : 4,289
In-State Tuition : $4,206.00
Out-of-State Tuition : $12,838.00","Setting
Large Town (10-50k)
Rural
Residential campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $4,206.00  | $4,206.00  | $4,206.00  
Out-of-state tuition and fees:    | $12,838.00 | $12,838.00 | $12,838.00 
Room and board:                   | $9,564.00  |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |  $900.00   
Estimated Total In-state:         | $14,970.00 | $5,406.00  | $6,306.00  
Estimated Total Out-of-state:     | $23,602.00 | $14,038.00 | $14,938.00 ","Main Address
2802 Moore Hwy
Tifton, GA 31793-5679
www.abac.edu"
Agnes Scott College,"Quick Facts
Regular Application Deadline : May 1
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 1,005
First-time degree-seeking freshmen : 299
Percentage of financial need met (average) : 86.0%
Average financial aid package : $38,877.00
In-State Tuition : $44,250.00
Out-of-State Tuition : $44,250.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $16,550,655.00
Number of enrolled international undergraduates received aid:  55
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1130 - 1340,24 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,751
Admitted :   1,135
Enrolled :   299
Somewhat selective 65.0% of applicants admitted
Applied early admission :   20
Admitted early admission :   16
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 15
Regular application due:   May 1
Priority application due :   Jan 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $44,250.00 | $44,250.00 | $44,250.00 
Out-of-state tuition and fees:    | $44,250.00 | $44,250.00 | $44,250.00 
Room and board:                   | $13,050.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     | $1,145.00  |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $58,300.00 | $46,395.00 | $45,250.00 
Estimated Total Out-of-state:     | $58,300.00 | $46,395.00 | $45,250.00 ","Main Address
141 E College Ave
Decatur, GA 30030-3770
www.agnesscott.edu"
Albany State University,"Quick Facts
Regular Application Deadline : July 1
Total undergraduates : 6,001
Percentage of financial need met (average) : 66.0%
Average financial aid package : $8,649.00
In-State Tuition : $6,950.00
Out-of-State Tuition : $20,352.00","Setting
Small City (50-250k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   Apr 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,950.00  | $6,950.00  | $6,950.00  
Out-of-state tuition and fees:    | $20,352.00 | $20,352.00 | $20,352.00 
Room and board:                   | $9,360.00  |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $16,310.00 | $6,950.00  | $6,950.00  
Estimated Total Out-of-state:     | $29,712.00 | $20,352.00 | $20,352.00 ","Main Address
504 College Dr
Albany, GA 31705-2717
www.asurams.edu"
Atlanta Metropolitan State College,"Quick Facts
Total undergraduates : 2,501
In-State Tuition : $4,112.00
Out-of-State Tuition : $12,394.00","Setting
Very Large City (>500k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $4,112.00  | $4,112.00  | $4,112.00  
Out-of-state tuition and fees:    | $12,394.00 | $12,394.00 | $12,394.00 
Room only:                        |     --     | $12,012.00 | $2,265.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     | $1,404.00  | $1,404.00  
Estimated Total In-state:         | $5,412.00  | $18,828.00 | $9,081.00  
Estimated Total Out-of-state:     | $13,694.00 | $27,110.00 | $17,363.00 ","Main Address
1630 Metropolitan Pkwy SW
Atlanta, GA 30310-4448
www.atlm.edu"
Augusta University,"Quick Facts
Total undergraduates : 5,463
In-State Tuition : $10,994.00
Out-of-State Tuition : $30,508.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,994.00 | $10,994.00 | $10,994.00 
Out-of-state tuition and fees:    | $30,508.00 | $30,508.00 | $30,508.00 
Room and board:                   | $9,566.00  |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $20,560.00 | $10,994.00 | $10,994.00 
Estimated Total Out-of-state:     | $40,074.00 | $30,508.00 | $30,508.00 ","Main Address
1120 15th St
Augusta, GA 30912-0004
www.augusta.edu"
Berry College,"Quick Facts
Regular Application Deadline : July 24
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 1,943
First-time degree-seeking freshmen : 577
Percentage of financial need met (average) : 86.0%
Average financial aid package : $32,015.00
In-State Tuition : $37,946.00
Out-of-State Tuition : $37,946.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $478,559.00
Number of enrolled international undergraduates received aid:  20
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1090 - 1320,24 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,328
Admitted :   3,055
Enrolled :   577
Somewhat selective 71.0% of applicants admitted
Applied early admission :   80
Admitted early admission :   27
Applied early action :   1,763
Admitted early action :   1,508
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   Jul 24
Priority application due :   Jan 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,946.00 | $37,946.00 | $37,946.00 
Out-of-state tuition and fees:    | $37,946.00 | $37,946.00 | $37,946.00 
Room and board:                   | $13,370.00 | $10,582.00 | $3,794.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,224.00  | $2,104.00  | $1,652.00  
Transportation expenses:          | $1,000.00  | $1,980.00  | $1,980.00  
Estimated Total In-state:         | $54,540.00 | $53,612.00 | $46,372.00 
Estimated Total Out-of-state:     | $54,540.00 | $53,612.00 | $46,372.00 ","Main Address
2277 Martha Berry Hwy NW
Mount Berry, GA 30149-9707
www.berry.edu"
Beulah Heights University,"Quick Facts
Total undergraduates : 237
First-time degree-seeking freshmen : 35
Percentage of financial need met (average) : 35.0%
Average financial aid package : $12,832.00
In-State Tuition : $10,330.00
Out-of-State Tuition : $10,330.00","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
Students, faculty and administration attend Chapel together each Thursday during the semester as part of their spiritual formation.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   44
Admitted :   44
Enrolled :   44
Open admission 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,330.00 | $10,330.00 | $10,330.00 
Out-of-state tuition and fees:    | $10,330.00 | $10,330.00 | $10,330.00 
Room only:                        | $6,750.00  | $8,500.00  | $2,500.00  
Books and supplies:               |  $400.00   |  $400.00   |  $400.00   
Estimated personal expenses:      |  $600.00   |  $600.00   |  $600.00   
Transportation expenses:          |  $500.00   | $2,400.00  | $2,400.00  
Estimated Total In-state:         | $18,580.00 | $22,230.00 | $16,230.00 
Estimated Total Out-of-state:     | $18,580.00 | $22,230.00 | $16,230.00 ","Main Address
892 Berne St SE
Atlanta, GA 30316-1873
www.beulah.edu"
Brenau University,"Quick Facts
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 1,756
First-time degree-seeking freshmen : 156
Percentage of financial need met (average) : 67.0%
Average financial aid package : $24,831.00
In-State Tuition : $31,720.00
Out-of-State Tuition : $31,720.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,314,915.00
Number of enrolled international undergraduates received aid:  108
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",900 - 1110,16 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,912
Admitted :   1,219
Enrolled :   156
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,720.00 | $31,720.00 | $31,720.00 
Out-of-state tuition and fees:    | $31,720.00 | $31,720.00 | $31,720.00 
Room and board:                   | $12,500.00 | $10,608.00 | $3,340.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,800.00  | $2,400.00  | $2,400.00  
Transportation expenses:          | $1,080.00  | $1,840.00  | $1,840.00  
Estimated Total In-state:         | $48,400.00 | $47,868.00 | $40,600.00 
Estimated Total Out-of-state:     | $48,400.00 | $47,868.00 | $40,600.00 ","Main Address
500 Washington St SE
Gainesville, GA 30501-3628
www.brenau.edu"
Brewton-Parker College,"Quick Facts
Total undergraduates : 888
First-time degree-seeking freshmen : 195
Average financial aid package : $14,955.00
In-State Tuition : $18,900.00
Out-of-State Tuition : $18,900.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",880 - 1050,16 - 20,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   452
Admitted :   435
Enrolled :   192
Less selective 96.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,900.00 | $18,900.00 | $18,900.00 
Out-of-state tuition and fees:    | $18,900.00 | $18,900.00 | $18,900.00 
Room and board:                   | $9,000.00  | $11,655.00 | $4,220.00  
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      |  $104.00   |  $104.00   |  $104.00   
Transportation expenses:          | $2,059.00  | $2,059.00  | $1,830.00  
Estimated Total In-state:         | $32,063.00 | $34,718.00 | $27,054.00 
Estimated Total Out-of-state:     | $32,063.00 | $34,718.00 | $27,054.00 ","Main Address
201 David Eliza Fountain Cir
Mount Vernon, GA 30445-2905
www.bpc.edu"
Clark Atlanta University,"Quick Facts
Regular Application Deadline : June 1
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 3,318
First-time degree-seeking freshmen : 814
Percentage of financial need met (average) : 46.0%
Average financial aid package : $7,257.00
In-State Tuition : $24,907.00
Out-of-State Tuition : $24,907.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
Member of Atlanta University Center, a consortium of black private education institutions.",Financial Aid,940 - 1080,17 - 20,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   16,483
Admitted :   9,036
Enrolled :   814
Somewhat selective 55.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jan 1
Regular application due:   Jun 1
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $24,907.00 | $24,907.00 | $24,907.00 
Out-of-state tuition and fees:    | $24,907.00 | $24,907.00 | $24,907.00 
Room and board:                   | $10,098.00 | $11,506.00 |     --     
Books and supplies:               | $1,900.00  | $1,900.00  | $1,900.00  
Estimated personal expenses:      | $1,850.00  | $1,850.00  | $1,850.00  
Transportation expenses:          | $1,462.00  | $1,462.00  | $1,462.00  
Estimated Total In-state:         | $40,217.00 | $41,625.00 | $30,119.00 
Estimated Total Out-of-state:     | $40,217.00 | $41,625.00 | $30,119.00 ","Main Address
223 James P Brawley Dr SW
Atlanta, GA 30314-4358
www.cau.edu"
