Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Augustana College 3141,"Quick Facts
Percentage of students graduating within 6 years : 71.0%
Total undergraduates : 2,546
First-time degree-seeking freshmen : 678
Percentage of financial need met (average) : 85.0%
Average financial aid package : $33,523.00
In-State Tuition : $45,136.00
Out-of-State Tuition : $45,136.00","Setting
Large City (250-500k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $6,188,916.00
Number of enrolled international undergraduates received aid:  212
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1090 - 1320,23 - 29,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   6,757
Admitted :   3,826
Enrolled :   678
Somewhat selective 57.0% of applicants admitted
Applied early admission :   81
Admitted early admission :   73
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 20
Early decision application due :   Nov 1
College will notify student of early decision by :   Nov 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,136.00 | $45,136.00 | $45,136.00 
Out-of-state tuition and fees:    | $45,136.00 | $45,136.00 | $45,136.00 
Room and board:                   | $11,216.00 | $10,024.00 | $5,378.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $800.00   |  $800.00   |  $800.00   
Transportation expenses:          |  $400.00   |  $400.00   |  $400.00   
Estimated Total In-state:         | $58,552.00 | $57,360.00 | $52,714.00 
Estimated Total Out-of-state:     | $58,552.00 | $57,360.00 | $52,714.00 ","Main Address
639 38th St
Rock Island, IL 61201-2210
www.augustana.edu"
Aurora University,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 4,104
First-time degree-seeking freshmen : 814
Percentage of financial need met (average) : 82.0%
Average financial aid package : $24,485.00
In-State Tuition : $25,600.00
Out-of-State Tuition : $25,600.00","Setting
Large City (250-500k)
Suburban
Commuter campus
Other Characteristics
George Williams College of Aurora University is branch campus in Williams Bay, Wisconsin, Online and in Woodstock, IL.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $272,232.00
Number of enrolled international undergraduates received aid:  19
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",965 - 1130,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,902
Admitted :   2,517
Enrolled :   814
Less selective 87.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,600.00 | $25,600.00 | $25,600.00 
Out-of-state tuition and fees:    | $25,600.00 | $25,600.00 | $25,600.00 
Room and board:                   | $12,020.00 | $3,960.00  | $1,476.00  
Books and supplies:               | $1,560.00  | $1,560.00  | $1,560.00  
Estimated personal expenses:      | $1,638.00  | $1,638.00  | $1,638.00  
Transportation expenses:          | $1,386.00  | $1,602.00  | $1,602.00  
Estimated Total In-state:         | $42,204.00 | $34,360.00 | $31,876.00 
Estimated Total Out-of-state:     | $42,204.00 | $34,360.00 | $31,876.00 ","Main Address
347 S Gladstone Ave
Aurora, IL 60506-4877
www.aurora.edu"
Benedictine University,"Quick Facts
Percentage of students graduating within 6 years : 46.0%
Total undergraduates : 2,493
First-time degree-seeking freshmen : 347
Average financial aid package : $25,093.00
In-State Tuition : $34,290.00
Out-of-State Tuition : $34,290.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $69,985.00
Number of enrolled international undergraduates received aid:  6",990 - 1163,19 - 25,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   4,850
Admitted :   2,023
Enrolled :   347
Very selective 42.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,290.00 | $34,290.00 | $34,290.00 
Out-of-state tuition and fees:    | $34,290.00 | $34,290.00 | $34,290.00 
Room and board:                   | $8,210.00  | $9,930.00  | $2,280.00  
Books and supplies:               | $1,510.00  | $1,510.00  | $1,510.00  
Estimated personal expenses:      | $2,650.00  | $2,650.00  | $2,650.00  
Transportation expenses:          |  $430.00   | $1,710.00  | $1,710.00  
Estimated Total In-state:         | $47,090.00 | $50,090.00 | $42,440.00 
Estimated Total Out-of-state:     | $47,090.00 | $50,090.00 | $42,440.00 ","Main Address
5700 College Rd
Lisle, IL 60532-2851
www.ben.edu"
Blackburn College,"Quick Facts
Percentage of students graduating within 6 years : 41.0%
Total undergraduates : 485
First-time degree-seeking freshmen : 112
In-State Tuition : $24,950.00
Out-of-State Tuition : $24,950.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",910 - 1110,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   630
Admitted :   360
Enrolled :   112
Somewhat selective 57.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $24,950.00 | $24,950.00 | $24,950.00 
Out-of-state tuition and fees:    | $24,950.00 | $24,950.00 | $24,950.00 
Room and board:                   | $8,600.00  | $4,500.00  | $1,500.00  
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      |  $800.00   | $2,250.00  |  $800.00   
Transportation expenses:          |  $250.00   |     --     |   $50.00   
Estimated Total In-state:         | $35,300.00 | $32,400.00 | $28,000.00 
Estimated Total Out-of-state:     | $35,300.00 | $32,400.00 | $28,000.00 ","Main Address
700 College Avenue
Carlinville, IL 62626-1401
www.blackburn.edu"
Blessing-Rieman College of Nursing and Health Sciences,"Quick Facts
Total undergraduates : 257
In-State Tuition : $26,400.00
Out-of-State Tuition : $26,400.00","Setting
Large Town (10-50k)
Urban
Commuter campus
Other Characteristics
Joint degree programs with Culver-Stockton College and Quincy University leading to BS in Nursing. General education classes held at partner campus, with nursing classes at BRCN campus and clinical experiences at Blessing Hospital, a regional medical facility and hospital. BRCN also offer an Associate of Science in Respiratory Care Degree program.  BRCN also offer an Associate of Science in Health Information Management.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $26,400.00 | $26,400.00 | $26,400.00 
Out-of-state tuition and fees:    | $26,400.00 | $26,400.00 | $26,400.00 
Room only:                        |     --     | $9,732.00  | $4,750.00  
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $3,300.00  | $3,300.00  | $1,650.00  
Estimated Total In-state:         | $33,700.00 | $43,432.00 | $36,800.00 
Estimated Total Out-of-state:     | $33,700.00 | $43,432.00 | $36,800.00 ","Main Address
3609 N Marx Dr
Quincy, IL 62305-9062
www.brcn.edu"
Bradley University,"Quick Facts
Percentage of students graduating within 6 years : 77.0%
Total undergraduates : 4,636
First-time degree-seeking freshmen : 1,048
Percentage of financial need met (average) : 73.0%
Average financial aid package : $25,327.00
In-State Tuition : $35,480.00
Out-of-State Tuition : $35,480.00","Setting
Large City (250-500k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1070 - 1270,22 - 28,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   10,708
Admitted :   7,518
Enrolled :   1,048
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   Oct 15
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,480.00 | $35,480.00 | $35,480.00 
Out-of-state tuition and fees:    | $35,480.00 | $35,480.00 | $35,480.00 
Room and board:                   | $11,280.00 |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,990.00  | $1,990.00  | $1,990.00  
Transportation expenses:          |  $250.00   |  $250.00   |  $700.00   
Estimated Total In-state:         | $50,200.00 | $38,920.00 | $39,370.00 
Estimated Total Out-of-state:     | $50,200.00 | $38,920.00 | $39,370.00 ","Main Address
1501 W Bradley Ave
Peoria, IL 61625-0001
www.bradley.edu"
Chicago State University,"Quick Facts
Total undergraduates : 2,027
In-State Tuition : $13,826.00
Out-of-State Tuition : $23,036.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,826.00 | $13,826.00 | $13,826.00 
Out-of-state tuition and fees:    | $23,036.00 | $23,036.00 | $23,036.00 
Room and board:                   | $8,774.00  | $8,724.00  | $6,543.00  
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      | $3,000.00  | $3,000.00  | $3,000.00  
Transportation expenses:          |  $900.00   |  $900.00   |  $900.00   
Estimated Total In-state:         | $28,300.00 | $28,250.00 | $26,069.00 
Estimated Total Out-of-state:     | $37,510.00 | $37,460.00 | $35,279.00 ","Main Address
9501 S King Dr
Chicago, IL 60628-1501
www.csu.edu"
Columbia College Chicago,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 6,708
First-time degree-seeking freshmen : 1,748
Percentage of financial need met (average) : 62.0%
Average financial aid package : $20,086.00
In-State Tuition : $28,318.00
Out-of-State Tuition : $28,318.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,139,039.00
Number of enrolled international undergraduates received aid:  112
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1200,20 - 28,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,430
Admitted :   6,703
Enrolled :   1,748
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   Aug 15
Priority application due :   Jan 31
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $28,318.00 | $28,318.00 | $28,318.00 
Out-of-state tuition and fees:    | $28,318.00 | $28,318.00 | $28,318.00 
Room and board:                   | $16,456.00 | $16,456.00 |     --     
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $2,006.00  | $2,006.00  | $2,006.00  
Transportation expenses:          |  $850.00   |  $850.00   |  $850.00   
Estimated Total In-state:         | $49,230.00 | $49,230.00 | $32,774.00 
Estimated Total Out-of-state:     | $49,230.00 | $49,230.00 | $32,774.00 ","Main Address
600 S. Michigan Ave.
Chicago, IL 60605-1996
https://www.colum.edu/"
Concordia University Chicago,"Quick Facts
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 1,515
First-time degree-seeking freshmen : 351
Percentage of financial need met (average) : 80.0%
Average financial aid package : $26,954.00
In-State Tuition : $33,636.00
Out-of-State Tuition : $33,636.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $761,926.00
Number of enrolled international undergraduates received aid:  59",1010 - 1180,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,498
Admitted :   3,361
Enrolled :   350
Somewhat selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Jun 1
College will notify student of admission :  Oct 1
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,636.00 | $33,636.00 | $33,636.00 
Out-of-state tuition and fees:    | $33,636.00 | $33,636.00 | $33,636.00 
Room and board:                   | $10,226.00 | $5,850.00  | $5,850.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |  $800.00   |  $800.00   |  $800.00   
Transportation expenses:          |  $600.00   |  $900.00   |  $900.00   
Estimated Total In-state:         | $46,462.00 | $42,386.00 | $42,386.00 
Estimated Total Out-of-state:     | $46,462.00 | $42,386.00 | $42,386.00 ","Main Address
7400 Augusta St
River Forest, IL 60305-1402
www.cuchicago.edu"
De Paul University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 74.0%
Total undergraduates : 14,214
First-time degree-seeking freshmen : 2,627
Percentage of financial need met (average) : 70.0%
Average financial aid package : $28,110.00
In-State Tuition : $41,202.00
Out-of-State Tuition : $41,202.00","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
Campuses in the heart of Chicago's Loop and Lincoln Park neighborhoods.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,617,000.00
Number of enrolled international undergraduates received aid:  209",1070 - 1290,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   26,895
Admitted :   18,348
Enrolled :   2,627
Somewhat selective 68.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   Nov 15
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $41,202.00 | $41,202.00 | $41,202.00 
Out-of-state tuition and fees:    | $41,202.00 | $41,202.00 | $41,202.00 
Room and board:                   | $15,093.00 | $15,093.00 | $2,085.00  
Books and supplies:               | $1,104.00  | $1,104.00  | $1,104.00  
Estimated personal expenses:      | $1,821.00  | $1,821.00  | $1,821.00  
Transportation expenses:          |  $573.00   |  $573.00   |  $762.00   
Estimated Total In-state:         | $59,793.00 | $59,793.00 | $46,974.00 
Estimated Total Out-of-state:     | $59,793.00 | $59,793.00 | $46,974.00 ","Main Address
1 E Jackson Blvd Ste 9000
Chicago, IL 60604-2201
www.depaul.edu"
