Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Anderson University 1840,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 1,311
First-time degree-seeking freshmen : 330
Percentage of financial need met (average) : 73.0%
Average financial aid package : $26,427.00
In-State Tuition : $32,100.00
Out-of-State Tuition : $32,100.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $718,264.00
Number of enrolled international undergraduates received aid:  27",1000 - 1160,20 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,951
Admitted :   2,479
Enrolled :   330
Somewhat selective 63.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,100.00 | $32,100.00 | $32,100.00 
Out-of-state tuition and fees:    | $32,100.00 | $32,100.00 | $32,100.00 
Room and board:                   | $10,840.00 | $6,000.00  | $2,480.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $1,800.00  | $1,800.00  | $1,800.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $47,140.00 | $42,300.00 | $38,780.00 
Estimated Total Out-of-state:     | $47,140.00 | $42,300.00 | $38,780.00 ","Main Address
1100 E 5th St
Anderson, IN 46012-3462
anderson.edu"
Ball State University,"Quick Facts
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 16,702
First-time degree-seeking freshmen : 4,060
Percentage of financial need met (average) : 73.0%
Average financial aid package : $14,375.00
In-State Tuition : $10,020.00
Out-of-State Tuition : $26,800.00","Setting
Small City (50-250k)
Suburban
Residential campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $55.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   24,064
Admitted :   18,633
Enrolled :   4,544
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 3
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   May 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,020.00 | $10,020.00 | $10,020.00 
Out-of-state tuition and fees:    | $26,800.00 | $26,800.00 | $26,800.00 
Room and board:                   | $10,870.00 | $10,534.00 | $1,624.00  
Books and supplies:               | $1,384.00  | $1,384.00  | $1,384.00  
Estimated personal expenses:      | $1,946.00  | $1,946.00  | $1,946.00  
Transportation expenses:          |  $742.00   |  $742.00   | $2,676.00  
Estimated Total In-state:         | $24,962.00 | $24,626.00 | $17,650.00 
Estimated Total Out-of-state:     | $41,742.00 | $41,406.00 | $34,430.00 ","Main Address
2000 W University Ave
Muncie, IN 47306-1022
www.bsu.edu"
,,,,,,,,,,
Butler University,"Quick Facts
Total undergraduates : 4,685
First-time degree-seeking freshmen : 1,116
Percentage of financial need met (average) : 64.0%
Average financial aid package : $26,933.00
In-State Tuition : $43,400.00
Out-of-State Tuition : $43,400.00","Setting
Very Large City (>500k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",1150 - 1330,24 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   14,891
Admitted :   10,896
Enrolled :   1,116
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          |  $950.00   |  $950.00   |  $950.00   
Estimated Total In-state:         | $4,050.00  | $4,050.00  | $4,050.00  
Estimated Total Out-of-state:     | $4,050.00  | $4,050.00  | $4,050.00  ","Main Address
4600 Sunset Ave
Indianapolis, IN 46208-3443
www.butler.edu"
De Pauw University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 84.0%
Total undergraduates : 1,972
First-time degree-seeking freshmen : 423
Percentage of financial need met (average) : 88.0%
Average financial aid package : $43,603.00
In-State Tuition : $52,630.00
Out-of-State Tuition : $52,630.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $7,422,787.00
Number of enrolled international undergraduates received aid:  259
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1130 - 1360,23 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,935
Admitted :   3,176
Enrolled :   423
Somewhat selective 64.0% of applicants admitted
Applied early admission :   79
Admitted early admission :   73
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   29
Number accepting place :   5
Accepted from list :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 1
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $52,630.00 | $52,630.00 | $52,630.00 
Out-of-state tuition and fees:    | $52,630.00 | $52,630.00 | $52,630.00 
Room and board:                   | $13,788.00 |     --     |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |  $650.00   |  $650.00   |  $650.00   
Transportation expenses:          |  $650.00   |  $650.00   |  $650.00   
Estimated Total In-state:         | $68,618.00 | $54,830.00 | $54,830.00 
Estimated Total Out-of-state:     | $68,618.00 | $54,830.00 | $54,830.00 ","Main Address
313 S Locust St
Greencastle, IN 46135-1736
www.depauw.edu"
Earlham College,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 957
First-time degree-seeking freshmen : 172
In-State Tuition : $48,091.00
Out-of-State Tuition : $48,091.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1100 - 1370,23 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,070
Admitted :   1,313
Enrolled :   172
Somewhat selective 63.0% of applicants admitted
Applied early admission :   43
Admitted early admission :   32
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   166
Number accepting place :   154
Accepted from list :   61
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Feb 1
Priority application due :   Dec 1
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Jan 1
College will notify student of early action admission by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $48,091.00 | $48,091.00 | $48,091.00 
Out-of-state tuition and fees:    | $48,091.00 | $48,091.00 | $48,091.00 
Room and board:                   | $11,347.00 | $6,328.00  | $1,645.00  
Books and supplies:               | $1,050.00  | $1,050.00  | $1,050.00  
Estimated personal expenses:      | $1,050.00  | $1,050.00  | $1,050.00  
Transportation expenses:          |  $950.00   |  $150.00   |  $150.00   
Estimated Total In-state:         | $62,488.00 | $56,669.00 | $51,986.00 
Estimated Total Out-of-state:     | $62,488.00 | $56,669.00 | $51,986.00 ","Main Address
801 National Rd W
Richmond, IN 47374-4021
www.earlham.edu"
Franklin College,"Quick Facts
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 922
First-time degree-seeking freshmen : 270
Percentage of financial need met (average) : 73.0%
Average financial aid package : $25,332.00
In-State Tuition : $33,954.00
Out-of-State Tuition : $33,954.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $46,624.00
Number of enrolled international undergraduates received aid:  2",970 - 1180,18 - 25,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   1,865
Admitted :   1,516
Enrolled :   270
Less selective 81.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,954.00 | $33,954.00 | $33,954.00 
Out-of-state tuition and fees:    | $33,954.00 | $33,954.00 | $33,954.00 
Room and board:                   | $10,546.00 | $9,200.00  | $2,700.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,800.00  | $1,800.00  | $1,800.00  
Transportation expenses:          | $1,200.00  | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $48,700.00 | $49,154.00 | $42,654.00 
Estimated Total Out-of-state:     | $48,700.00 | $49,154.00 | $42,654.00 ","Main Address
101 Branigin Blvd
Franklin, IN 46131-2598
www.franklincollege.edu"
Goshen College,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 826
First-time degree-seeking freshmen : 160
Percentage of financial need met (average) : 83.0%
Average financial aid package : $30,986.00
In-State Tuition : $35,230.00
Out-of-State Tuition : $35,230.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
1,150 acre environmental study facilities located 30 miles from campus.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,402,022.00
Number of enrolled international undergraduates received aid:  54",1010 - 1210,21 - 29,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,278
Admitted :   827
Enrolled :   160
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Jul 1
Priority application due :   Nov 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,230.00 | $35,230.00 | $35,230.00 
Out-of-state tuition and fees:    | $35,230.00 | $35,230.00 | $35,230.00 
Room and board:                   | $10,870.00 | $9,000.00  | $4,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,440.00  | $1,200.00  | $1,200.00  
Transportation expenses:          |  $930.00   |  $700.00   |  $700.00   
Estimated Total In-state:         | $49,670.00 | $47,330.00 | $42,330.00 
Estimated Total Out-of-state:     | $49,670.00 | $47,330.00 | $42,330.00 ","Main Address
1700 S Main St
Goshen, IN 46526-4724
www.goshen.edu"
Grace College,"Quick Facts
Total undergraduates : 1,761
In-State Tuition : $27,344.00
Out-of-State Tuition : $27,344.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus
Other Characteristics
Students may be able to graduate with a bachelor's degree in either three or four years, or may take advantage of a combined bachelor's and master's degree in four years.","Financial Aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,344.00 | $27,344.00 | $27,344.00 
Out-of-state tuition and fees:    | $27,344.00 | $27,344.00 | $27,344.00 
Room and board:                   | $9,828.00  | $8,000.00  | $2,400.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,000.00  | $1,400.00  | $1,000.00  
Transportation expenses:          | $1,000.00  | $1,800.00  | $1,800.00  
Estimated Total In-state:         | $40,472.00 | $39,844.00 | $33,844.00 
Estimated Total Out-of-state:     | $40,472.00 | $39,844.00 | $33,844.00 ","Main Address
200 Seminary Dr
Winona Lake, IN 46590-1224
www.grace.edu"
Hanover College,"Quick Facts
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 1,070
First-time degree-seeking freshmen : 290
Percentage of financial need met (average) : 82.0%
Average financial aid package : $32,647.00
In-State Tuition : $39,650.00
Out-of-State Tuition : $39,650.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $459,120.00
Number of enrolled international undergraduates received aid:  17
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1030 - 1240,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,127
Admitted :   2,027
Enrolled :   290
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   2,341
Admitted early action :   1,743
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $39,650.00 | $39,650.00 | $39,650.00 
Out-of-state tuition and fees:    | $39,650.00 | $39,650.00 | $39,650.00 
Room and board:                   | $12,300.00 |     --     | $6,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |  $900.00   |  $900.00   |  $900.00   
Transportation expenses:          |  $600.00   |  $600.00   |  $600.00   
Estimated Total In-state:         | $54,650.00 | $42,350.00 | $48,350.00 
Estimated Total Out-of-state:     | $54,650.00 | $42,350.00 | $48,350.00 ","Main Address
359 LaGrange Road
Hanover, IN 47243
www.hanover.edu"
