Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Allen College,"Quick Facts
Total undergraduates : 338
In-State Tuition : $20,650.00
Out-of-State Tuition : $20,650.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $20,650.00 | $20,650.00 | $20,650.00 
Out-of-state tuition and fees:    | $20,650.00 | $20,650.00 | $20,650.00 
Room and board:                   | $7,280.00  | $7,280.00  | $3,640.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,728.00  | $2,728.00  | $2,728.00  
Transportation expenses:          | $2,208.00  | $2,208.00  | $2,208.00  
Estimated Total In-state:         | $34,066.00 | $34,066.00 | $30,426.00 
Estimated Total Out-of-state:     | $34,066.00 | $34,066.00 | $30,426.00 ","Main Address
1950 Heath St
Waterloo, IA 50703-1258
www.allencollege.edu"
Briar Cliff University,"Quick Facts
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 872
In-State Tuition : $33,308.00
Out-of-State Tuition : $33,308.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,308.00 | $33,308.00 | $33,308.00 
Out-of-state tuition and fees:    | $33,308.00 | $33,308.00 | $33,308.00 
Room and board:                   | $9,522.00  | $8,840.00  |     --     
Books and supplies:               | $1,320.00  | $1,320.00  | $1,320.00  
Estimated personal expenses:      | $1,156.00  | $1,156.00  | $1,156.00  
Transportation expenses:          | $2,584.00  | $2,584.00  | $2,584.00  
Estimated Total In-state:         | $47,890.00 | $47,208.00 | $38,368.00 
Estimated Total Out-of-state:     | $47,890.00 | $47,208.00 | $38,368.00 ","Main Address
3303 Rebecca St
Sioux City, IA 51104-2324
www.briarcliff.edu"
Buena Vista University,"Quick Facts
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 732
First-time degree-seeking freshmen : 230
Percentage of financial need met (average) : 89.0%
Average financial aid package : $34,025.00
In-State Tuition : $36,426.00
Out-of-State Tuition : $36,426.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
15 branch sites throughout Iowa and online programs provide educational opportunities for nontraditional students.","Financial Aid
International students eligible for non-need based aid",930 - 1110,19 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,101
Admitted :   1,205
Enrolled :   230
Somewhat selective 57.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,426.00 | $36,426.00 | $36,426.00 
Out-of-state tuition and fees:    | $36,426.00 | $36,426.00 | $36,426.00 
Room and board:                   | $10,218.00 | $13,671.00 | $1,883.00  
Books and supplies:               | $1,190.00  | $1,190.00  | $1,190.00  
Estimated personal expenses:      |   $66.00   |   $66.00   | $1,723.00  
Transportation expenses:          | $2,354.00  |     --     |  $750.00   
Estimated Total In-state:         | $50,254.00 | $51,353.00 | $41,972.00 
Estimated Total Out-of-state:     | $50,254.00 | $51,353.00 | $41,972.00 ","Main Address
610 W 4th St
Storm Lake, IA 50588-1713
www.bvu.edu"
Central College,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 67.0%
Total undergraduates : 1,156
First-time degree-seeking freshmen : 337
Percentage of financial need met (average) : 88.0%
Average financial aid package : $35,905.00
In-State Tuition : $18,600.00
Out-of-State Tuition : $18,600.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
International study centers in England, Yucatan, Wales, Spain, and Austria.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",980 - 1240,19 - 25,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   2,688
Admitted :   1,749
Enrolled :   337
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   Aug 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,323.00  | $1,323.00  | $1,323.00  
Estimated personal expenses:      | $1,742.00  | $1,742.00  | $1,742.00  
Transportation expenses:          | $1,457.00  | $1,457.00  | $1,457.00  
Estimated Total In-state:         | $4,522.00  | $4,522.00  | $4,522.00  
Estimated Total Out-of-state:     | $4,522.00  | $4,522.00  | $4,522.00  ","Main Address
812 University St
Pella, IA 50219-1902
www.central.edu"
Clarke University,"Quick Facts
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 680
First-time degree-seeking freshmen : 134
Percentage of financial need met (average) : 85.0%
Average financial aid package : $33,091.00
In-State Tuition : $35,750.00
Out-of-State Tuition : $35,750.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",940 - 1120,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,074
Admitted :   1,008
Enrolled :   134
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,750.00 | $35,750.00 | $35,750.00 
Out-of-state tuition and fees:    | $35,750.00 | $35,750.00 | $35,750.00 
Room and board:                   | $10,200.00 | $10,200.00 | $4,900.00  
Books and supplies:               | $1,330.00  | $1,330.00  | $1,330.00  
Estimated personal expenses:      | $1,900.00  | $1,900.00  | $1,900.00  
Transportation expenses:          | $1,460.00  | $1,460.00  | $1,460.00  
Estimated Total In-state:         | $50,640.00 | $50,640.00 | $45,340.00 
Estimated Total Out-of-state:     | $50,640.00 | $50,640.00 | $45,340.00 ","Main Address
1550 Clarke Dr
Dubuque, IA 52001-3117
https://www.clarke.edu/"
Coe College,"Quick Facts
Regular Application Deadline : March 1
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 1,373
First-time degree-seeking freshmen : 379
Percentage of financial need met (average) : 88.0%
Average financial aid package : $41,316.00
In-State Tuition : $47,220.00
Out-of-State Tuition : $47,220.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1050 - 1260,21 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   7,431
Admitted :   4,706
Enrolled :   379
Somewhat selective 63.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   6,122
Admitted early action :   4,109
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Mar 1
Priority application due :   Dec 10
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 10
College will notify student of early action admission by :   Jan 20","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $47,220.00 | $47,220.00 | $47,220.00 
Out-of-state tuition and fees:    | $47,220.00 | $47,220.00 | $47,220.00 
Room and board:                   | $10,134.00 |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $58,554.00 | $48,420.00 | $48,420.00 
Estimated Total Out-of-state:     | $58,554.00 | $48,420.00 | $48,420.00 ","Main Address
1220 1st Ave NE
Cedar Rapids, IA 52402-5008
www.coe.edu"
Cornell College,"Quick Facts
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 1,020
First-time degree-seeking freshmen : 262
Percentage of financial need met (average) : 84.0%
Average financial aid package : $33,319.00
In-State Tuition : $45,914.00
Out-of-State Tuition : $45,914.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,568,833.00
Number of enrolled international undergraduates received aid:  69
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1100 - 1350,23 - 29,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,118
Admitted :   1,926
Enrolled :   270
Somewhat selective 62.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   997
Admitted early action :   723
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   2
Number accepting place :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,914.00 | $45,914.00 | $45,914.00 
Out-of-state tuition and fees:    | $45,914.00 | $45,914.00 | $45,914.00 
Room and board:                   | $10,150.00 | $10,150.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,536.00  | $1,536.00  | $1,536.00  
Transportation expenses:          | $1,648.00  | $1,648.00  | $1,248.00  
Estimated Total In-state:         | $60,448.00 | $60,448.00 | $49,898.00 
Estimated Total Out-of-state:     | $60,448.00 | $60,448.00 | $49,898.00 ","Main Address
600 1st St SW
Mount Vernon, IA 52314-1006
www.cornellcollege.edu"
Dordt University,"Quick Facts
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 1,426
In-State Tuition : $32,820.00
Out-of-State Tuition : $32,820.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 1 week(s) if notified after May 1st)
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,820.00 | $32,820.00 | $32,820.00 
Out-of-state tuition and fees:    | $32,820.00 | $32,820.00 | $32,820.00 
Room and board:                   | $10,470.00 | $11,080.00 | $5,080.00  
Books and supplies:               | $1,110.00  | $1,110.00  | $1,110.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          | $1,400.00  | $2,390.00  | $2,390.00  
Estimated Total In-state:         | $47,900.00 | $49,500.00 | $43,500.00 
Estimated Total Out-of-state:     | $47,900.00 | $49,500.00 | $43,500.00 ","Main Address
498 4th Ave NE
Sioux Center, IA 51250-1606
www.dordt.edu"
Drake University,"Quick Facts
Percentage of students graduating within 6 years : 82.0%
Total undergraduates : 2,954
First-time degree-seeking freshmen : 782
Percentage of financial need met (average) : 77.0%
Average financial aid package : $32,378.00
In-State Tuition : $44,366.00
Out-of-State Tuition : $44,366.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,697,836.00
Number of enrolled international undergraduates received aid:  90
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1100 - 1370,24 - 31,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   6,944
Admitted :   4,697
Enrolled :   782
Somewhat selective 68.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Oct 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $44,366.00 | $44,366.00 | $44,366.00 
Out-of-state tuition and fees:    | $44,366.00 | $44,366.00 | $44,366.00 
Room and board:                   | $11,152.00 | $10,846.00 |     --     
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $1,500.00  
Transportation expenses:          | $1,700.00  | $1,700.00  | $1,700.00  
Estimated Total In-state:         | $60,318.00 | $60,012.00 | $48,666.00 
Estimated Total Out-of-state:     | $60,318.00 | $60,012.00 | $48,666.00 ","Main Address
2507 University Ave
Des Moines, IA 50311-4516
www.drake.edu"
Emmaus Bible College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 48.0%
Total undergraduates : 215
First-time degree-seeking freshmen : 52
Percentage of financial need met (average) : 80.0%
Average financial aid package : $17,223.00
In-State Tuition : $19,250.00
Out-of-State Tuition : $19,250.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",890 - 1300,18 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   113
Admitted :   106
Enrolled :   52
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,250.00 | $19,250.00 | $19,250.00 
Out-of-state tuition and fees:    | $19,250.00 | $19,250.00 | $19,250.00 
Room and board:                   | $8,850.00  | $4,950.00  | $1,800.00  
Books and supplies:               |  $600.00   |  $600.00   |  $600.00   
Estimated personal expenses:      |  $900.00   |  $900.00   |  $900.00   
Transportation expenses:          |  $750.00   |  $480.00   |  $480.00   
Estimated Total In-state:         | $30,350.00 | $26,180.00 | $23,030.00 
Estimated Total Out-of-state:     | $30,350.00 | $26,180.00 | $23,030.00 ","Main Address
2570 Asbury Rd
Dubuque, IA 52001-3044
https://www.emmaus.edu"
