Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Baker University,"Quick Facts
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 1,135
First-time degree-seeking freshmen : 244
Percentage of financial need met (average) : 80.0%
Average financial aid package : $26,581.00
In-State Tuition : $30,670.00
Out-of-State Tuition : $30,670.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
College of Arts and Sciences in Baldwin City, KS. Also available (Overland Park, Topeka), School of Professional and Graduate Studies, School of Education and School of Nursing.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,20 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   839
Admitted :   738
Enrolled :   244
Less selective 88.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,670.00 | $30,670.00 | $30,670.00 
Out-of-state tuition and fees:    | $30,670.00 | $30,670.00 | $30,670.00 
Room and board:                   | $8,350.00  | $8,250.00  | $4,500.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,350.00  | $1,350.00  | $1,350.00  
Transportation expenses:          | $3,750.00  | $3,750.00  | $2,500.00  
Estimated Total In-state:         | $45,320.00 | $45,220.00 | $40,220.00 
Estimated Total Out-of-state:     | $45,320.00 | $45,220.00 | $40,220.00 ","Main Address
PO Box 65
Baldwin City, KS 66006-0065
www.bakeru.edu"
Barclay College,"Quick Facts
Percentage of students graduating within 6 years : 37.0%
Total undergraduates : 199
First-time degree-seeking freshmen : 32
In-State Tuition : $22,500.00
Out-of-State Tuition : $22,500.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,500.00 | $22,500.00 | $22,500.00 
Out-of-state tuition and fees:    | $22,500.00 | $22,500.00 | $22,500.00 
Room and board:                   | $9,990.00  | $9,000.00  | $5,280.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,200.00  | $1,300.00  | $1,200.00  
Transportation expenses:          | $1,200.00  |  $500.00   | $1,200.00  
Estimated Total In-state:         | $36,490.00 | $34,900.00 | $31,780.00 
Estimated Total Out-of-state:     | $36,490.00 | $34,900.00 | $31,780.00 ","Main Address
607 N Kingman St
Haviland, KS 67059-9558
www.barclaycollege.edu"
Benedictine College,"Quick Facts
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 2,084
First-time degree-seeking freshmen : 524
Average financial aid package : $23,125.00
In-State Tuition : $31,630.00
Out-of-State Tuition : $31,630.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $645,617.00
Number of enrolled international undergraduates received aid:  33",1080 - 1330,21 - 28,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (reduced fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   2,238
Admitted :   2,172
Enrolled :   524
Less selective 97.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Mar 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,630.00 | $31,630.00 | $31,630.00 
Out-of-state tuition and fees:    | $31,630.00 | $31,630.00 | $31,630.00 
Room and board:                   | $11,090.00 | $9,900.00  | $4,500.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $4,120.00  | $4,120.00  | $4,120.00  
Transportation expenses:          | $1,850.00  | $1,850.00  |     --     
Estimated Total In-state:         | $49,890.00 | $48,700.00 | $41,450.00 
Estimated Total Out-of-state:     | $49,890.00 | $48,700.00 | $41,450.00 ","Main Address
1020 N 2nd St
Atchison, KS 66002-1402
www.benedictine.edu"
Bethany College 570,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 815
First-time degree-seeking freshmen : 245
In-State Tuition : $30,420.00
Out-of-State Tuition : $30,420.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,17 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,015
Admitted :   1,770
Enrolled :   245
Less selective 88.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,420.00 | $30,420.00 | $30,420.00 
Out-of-state tuition and fees:    | $30,420.00 | $30,420.00 | $30,420.00 
Room and board:                   | $12,650.00 | $10,200.00 | $1,800.00  
Books and supplies:               |  $860.00   |  $860.00   |  $860.00   
Estimated personal expenses:      | $3,505.00  | $4,692.00  | $4,192.00  
Transportation expenses:          | $2,176.00  | $3,176.00  | $3,016.00  
Estimated Total In-state:         | $49,611.00 | $49,348.00 | $40,288.00 
Estimated Total Out-of-state:     | $49,611.00 | $49,348.00 | $40,288.00 ","Main Address
335 E Swensson Ave
Lindsborg, KS 67456-1817
https://www.bethanylb.edu/"
Bethel College 2635,"Quick Facts
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 456
First-time degree-seeking freshmen : 155
Percentage of financial need met (average) : 94.0%
Average financial aid package : $30,651.00
In-State Tuition : $30,264.00
Out-of-State Tuition : $30,264.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1130,18 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   943
Admitted :   542
Enrolled :   155
Somewhat selective 57.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,264.00 | $30,264.00 | $30,264.00 
Out-of-state tuition and fees:    | $30,264.00 | $30,264.00 | $30,264.00 
Room and board:                   | $9,120.00  | $10,218.00 |     --     
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      | $1,450.00  | $6,090.00  | $1,450.00  
Transportation expenses:          | $1,118.00  | $3,340.00  | $2,236.00  
Estimated Total In-state:         | $42,652.00 | $50,612.00 | $34,650.00 
Estimated Total Out-of-state:     | $42,652.00 | $50,612.00 | $34,650.00 ","Main Address
300 E 27th St
North Newton, KS 67117-8061
www.bethelks.edu"
Central Christian College of Kansas,"Quick Facts
Percentage of students graduating within 6 years : 43.0%
Total undergraduates : 678
First-time degree-seeking freshmen : 88
Percentage of financial need met (average) : 21.0%
Average financial aid package : $16,873.00
In-State Tuition : $29,050.00
Out-of-State Tuition : $29,050.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",850 - 1060,15 - 20,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   728
Admitted :   329
Enrolled :   88
Very selective 45.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jul 1
Regular application due:   No Regular Application Deadline
Priority application due :   Aug 1
College will notify student of admission :  Jun 30
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,050.00 | $29,050.00 | $29,050.00 
Out-of-state tuition and fees:    | $29,050.00 | $29,050.00 | $29,050.00 
Room and board:                   | $7,500.00  | $13,500.00 | $6,750.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,500.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $40,050.00 | $46,550.00 | $39,800.00 
Estimated Total Out-of-state:     | $40,050.00 | $46,550.00 | $39,800.00 ","Main Address
1200 S Main St
McPherson, KS 67460-5740
www.centralchristian.edu"
Donnelly College,"Quick Facts
Total undergraduates : 303
First-time degree-seeking freshmen : 59
In-State Tuition : $9,750.00
Out-of-State Tuition : $9,750.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,750.00  | $9,750.00  | $9,750.00  
Out-of-state tuition and fees:    | $9,750.00  | $9,750.00  | $9,750.00  
Room only:                        |     --     | $10,200.00 | $2,600.00  
Books and supplies:               |  $960.00   |  $960.00   |  $960.00   
Estimated personal expenses:      |     --     | $4,000.00  | $4,000.00  
Transportation expenses:          |     --     | $3,300.00  | $3,300.00  
Estimated Total In-state:         | $10,710.00 | $28,210.00 | $20,610.00 
Estimated Total Out-of-state:     | $10,710.00 | $28,210.00 | $20,610.00 ","Main Address
608 N 18th St
Kansas City, KS 66102-4210
www.donnelly.edu"
Emporia State University,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 3,405
First-time degree-seeking freshmen : 680
Percentage of financial need met (average) : 61.0%
Average financial aid package : $9,036.00
In-State Tuition : $6,971.00
Out-of-State Tuition : $21,281.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,104,326.00
Number of enrolled international undergraduates received aid:  196",950 - 1060,19 - 25,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,670
Admitted :   1,414
Enrolled :   680
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,971.00  | $6,971.00  | $6,971.00  
Out-of-state tuition and fees:    | $21,281.00 | $21,281.00 | $21,281.00 
Room and board:                   | $9,662.00  | $9,662.00  | $3,622.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,052.00  | $2,052.00  | $2,052.00  
Transportation expenses:          | $1,380.00  | $1,380.00  | $1,380.00  
Estimated Total In-state:         | $21,065.00 | $21,065.00 | $15,025.00 
Estimated Total Out-of-state:     | $35,375.00 | $35,375.00 | $29,335.00 ","Main Address
1 Kellogg Cir
Emporia, KS 66801-5415
www.emporia.edu"
Fort Hays State University,"Quick Facts
Total undergraduates : 13,128
First-time degree-seeking freshmen : 986
Percentage of financial need met (average) : 43.0%
Average financial aid package : $6,783.00
In-State Tuition : $5,449.00
Out-of-State Tuition : $15,896.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,17 - 29,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,056
Admitted :   1,874
Enrolled :   986
Less selective 91.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $5,449.00  | $5,449.00  | $5,449.00  
Out-of-state tuition and fees:    | $15,896.00 | $15,896.00 | $15,896.00 
Room and board:                   | $8,374.00  | $8,034.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,926.00  |     --     |     --     
Transportation expenses:          | $1,512.00  |     --     |     --     
Estimated Total In-state:         | $19,261.00 | $14,483.00 | $6,449.00  
Estimated Total Out-of-state:     | $29,708.00 | $24,930.00 | $16,896.00 ","Main Address
600 Park St
Hays, KS 67601-4009
www.fhsu.edu"
Friends University,"Quick Facts
Percentage of students graduating within 6 years : 48.0%
Total undergraduates : 1,291
First-time degree-seeking freshmen : 177
Percentage of financial need met (average) : 60.0%
Average financial aid package : $19,459.00
In-State Tuition : $30,120.00
Out-of-State Tuition : $30,120.00","Setting
Large City (250-500k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1150,19 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,266
Admitted :   580
Enrolled :   177
Very selective 46.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jul 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,120.00 | $30,120.00 | $30,120.00 
Out-of-state tuition and fees:    | $30,120.00 | $30,120.00 | $30,120.00 
Room and board:                   | $8,350.00  | $7,108.00  | $1,848.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $3,680.00  | $3,680.00  | $3,680.00  
Estimated Total In-state:         | $45,650.00 | $44,408.00 | $39,148.00 
Estimated Total Out-of-state:     | $45,650.00 | $44,408.00 | $39,148.00 ","Main Address
2100 W University Ave
Wichita, KS 67213-3379
www.friends.edu"
