Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Alice Lloyd College,"Quick Facts
Total undergraduates : 598
In-State Tuition : $2,230.00
Out-of-State Tuition : $2,230.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $2,230.00  | $2,230.00  | $2,230.00  
Out-of-state tuition and fees:    | $2,230.00  | $2,230.00  | $2,230.00  
Room and board:                   | $7,390.00  |     --     |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $2,600.00  | $3,090.00  | $2,200.00  
Transportation expenses:          | $2,400.00  | $2,800.00  | $2,800.00  
Estimated Total In-state:         | $16,020.00 | $9,520.00  | $8,630.00  
Estimated Total Out-of-state:     | $16,020.00 | $9,520.00  | $8,630.00  ","Main Address
100 Purpose Rd
Pippa Passes, KY 41844-9005
www.alc.edu"
Asbury College,"Quick Facts
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 1,714
First-time degree-seeking freshmen : 292
Percentage of financial need met (average) : 76.0%
Average financial aid package : $25,023.00
In-State Tuition : $32,028.00
Out-of-State Tuition : $32,028.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,476,432.00
Number of enrolled international undergraduates received aid:  81
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1050 - 1330,21 - 28,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   1,192
Admitted :   874
Enrolled :   292
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,365.00  | $1,365.00  | $1,365.00  
Estimated personal expenses:      | $1,540.00  | $1,800.00  | $1,285.00  
Transportation expenses:          | $1,520.00  | $1,800.00  | $1,215.00  
Estimated Total In-state:         | $4,425.00  | $4,965.00  | $3,865.00  
Estimated Total Out-of-state:     | $4,425.00  | $4,965.00  | $3,865.00  ","Main Address
1 Macklem Dr
Wilmore, KY 40390-1152
www.asbury.edu"
Bellarmine University,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,553
First-time degree-seeking freshmen : 617
Percentage of financial need met (average) : 82.0%
Average financial aid package : $35,461.00
In-State Tuition : $45,020.00
Out-of-State Tuition : $45,020.00","Setting
Very Large City (>500k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $594,432.00
Number of enrolled international undergraduates received aid:  24
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1060 - 1260,22 - 28,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,781
Admitted :   3,170
Enrolled :   617
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 15
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Nov 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,020.00 | $45,020.00 | $45,020.00 
Out-of-state tuition and fees:    | $45,020.00 | $45,020.00 | $45,020.00 
Room and board:                   | $9,030.00  |     --     |     --     
Books and supplies:               |  $752.00   |  $752.00   |  $752.00   
Estimated personal expenses:      | $4,080.00  | $4,080.00  | $4,080.00  
Transportation expenses:          | $2,238.00  | $2,238.00  | $2,238.00  
Estimated Total In-state:         | $61,120.00 | $52,090.00 | $52,090.00 
Estimated Total Out-of-state:     | $61,120.00 | $52,090.00 | $52,090.00 ","Main Address
2001 Newburg Rd
Louisville, KY 40205-1863
www.bellarmine.edu"
Berea College,"Quick Facts
Regular Application Deadline : March 31
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 1,688
First-time degree-seeking freshmen : 413
Percentage of financial need met (average) : 94.0%
Average financial aid package : $47,094.00
In-State Tuition : $45,092.00
Out-of-State Tuition : $45,092.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $5,893,820.00
Number of enrolled international undergraduates received aid:  122
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",1090 - 1298,23 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,965
Admitted :   595
Enrolled :   413
Very selective 30.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   Mar 31
Priority application due :   Oct 31
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,092.00 | $45,092.00 | $45,092.00 
Out-of-state tuition and fees:    | $45,092.00 | $45,092.00 | $45,092.00 
Room and board:                   | $7,264.00  |     --     |     --     
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      | $1,700.00  |     --     |     --     
Transportation expenses:          |  $900.00   |     --     |     --     
Estimated Total In-state:         | $55,656.00 | $45,792.00 | $45,792.00 
Estimated Total Out-of-state:     | $55,656.00 | $45,792.00 | $45,792.00 ","Main Address
101 Chestnut St
Berea, KY 40403-1516
www.berea.edu"
Brescia University,"Quick Facts
Percentage of students graduating within 6 years : 34.0%
Total undergraduates : 937
First-time degree-seeking freshmen : 151
In-State Tuition : $25,680.00
Out-of-State Tuition : $25,680.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 23",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,680.00 | $25,680.00 | $25,680.00 
Out-of-state tuition and fees:    | $25,680.00 | $25,680.00 | $25,680.00 
Room and board:                   | $10,260.00 | $11,500.00 | $3,000.00  
Books and supplies:               |  $300.00   |  $300.00   |  $300.00   
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,500.00  | $1,740.00  | $1,740.00  
Estimated Total In-state:         | $39,740.00 | $41,220.00 | $32,720.00 
Estimated Total Out-of-state:     | $39,740.00 | $41,220.00 | $32,720.00 ","Main Address
717 Frederica St
Owensboro, KY 42301-3019
www.brescia.edu"
Campbellsville University,"Quick Facts
Percentage of students graduating within 6 years : 37.0%
Total undergraduates : 6,083
First-time degree-seeking freshmen : 662
Percentage of financial need met (average) : 72.0%
Average financial aid package : $23,250.00
In-State Tuition : $25,400.00
Out-of-State Tuition : $25,400.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,083,757.00
Number of enrolled international undergraduates received aid:  49
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",900 - 1140,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,146
Admitted :   2,905
Enrolled :   663
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,400.00 | $25,400.00 | $25,400.00 
Out-of-state tuition and fees:    | $25,400.00 | $25,400.00 | $25,400.00 
Room and board:                   | $8,000.00  | $7,900.00  | $3,160.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $3,140.00  | $3,140.00  | $3,140.00  
Transportation expenses:          | $2,262.00  | $3,712.00  | $3,712.00  
Estimated Total In-state:         | $40,002.00 | $41,352.00 | $36,612.00 
Estimated Total Out-of-state:     | $40,002.00 | $41,352.00 | $36,612.00 ","Main Address
1 University Dr
Campbellsville, KY 42718-2190
www.campbellsville.edu"
Centre College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 84.0%
Total undergraduates : 1,411
First-time degree-seeking freshmen : 355
In-State Tuition : $44,300.00
Out-of-State Tuition : $44,300.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,368,824.00
Number of enrolled international undergraduates received aid:  89
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1130 - 1380,26 - 32,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,211
Admitted :   1,690
Enrolled :   355
Less selective 76.0% of applicants admitted
Applied early admission :   73
Admitted early admission :   64
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   115
Number accepting place :   17
Accepted from list :   17
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $44,300.00 | $44,300.00 | $44,300.00 
Out-of-state tuition and fees:    | $44,300.00 | $44,300.00 | $44,300.00 
Room and board:                   | $11,170.00 | $9,005.00  |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $1,090.00  | $1,090.00  |  $545.00   
Transportation expenses:          |  $750.00   |  $500.00   |  $500.00   
Estimated Total In-state:         | $58,710.00 | $56,295.00 | $46,745.00 
Estimated Total Out-of-state:     | $58,710.00 | $56,295.00 | $46,745.00 ","Main Address
625 West Walnut Street
Danville, KY 40422
www.centre.edu"
Clear Creek Baptist Bible College,"Quick Facts
Total undergraduates : 123
Percentage of financial need met (average) : 38.0%
Average financial aid package : $5,746.00
In-State Tuition : $9,770.00
Out-of-State Tuition : $9,770.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Bible college affiliated with Kentucky Baptist Convention that trains individuals for local church ministry, missions, or seminary preparation.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,770.00  | $9,770.00  | $9,770.00  
Out-of-state tuition and fees:    | $9,770.00  | $9,770.00  | $9,770.00  
Room and board:                   | $4,717.00  | $8,413.00  | $2,000.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $3,222.00  | $3,222.00  | $3,222.00  
Estimated Total In-state:         | $20,109.00 | $23,805.00 | $17,392.00 
Estimated Total Out-of-state:     | $20,109.00 | $23,805.00 | $17,392.00 ","Main Address
300 Clear Creek Rd
Pineville, KY 40977-9752
www.ccbbc.edu"
Eastern Kentucky University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 12,662
First-time degree-seeking freshmen : 2,345
Percentage of financial need met (average) : 77.0%
Average financial aid package : $13,414.00
In-State Tuition : $9,806.00
Out-of-State Tuition : $19,878.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Courses offered at additional sites in Corbin, Danville, Manchester, Lancaster, London, Somerset, and Barbourville.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $991,433.00
Number of enrolled international undergraduates received aid:  41",990 - 1170,20 - 26,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Mar 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,806.00  | $9,806.00  | $9,806.00  
Out-of-state tuition and fees:    | $19,878.00 | $19,878.00 | $19,878.00 
Room and board:                   | $9,744.00  | $5,850.00  | $1,100.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,500.00  | $2,200.00  | $1,500.00  
Transportation expenses:          | $1,200.00  | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $23,250.00 | $21,856.00 | $16,406.00 
Estimated Total Out-of-state:     | $33,322.00 | $31,928.00 | $26,478.00 ","Main Address
521 Lancaster Ave
Richmond, KY 40475-3100
www.eku.edu"
Georgetown College,"Quick Facts
Regular Application Deadline : August 20
Percentage of students graduating within 6 years : 45.0%
Total undergraduates : 983
First-time degree-seeking freshmen : 314
Percentage of financial need met (average) : 89.0%
Average financial aid package : $37,829.00
In-State Tuition : $40,800.00
Out-of-State Tuition : $40,800.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $796,130.00
Number of enrolled international undergraduates received aid:  19
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1042 - 1280,21 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,791
Admitted :   1,768
Enrolled :   316
Somewhat selective 63.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jul 1
Regular application due:   Aug 20
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $40,800.00 | $40,800.00 | $40,800.00 
Out-of-state tuition and fees:    | $40,800.00 | $40,800.00 | $40,800.00 
Room and board:                   | $10,670.00 | $7,813.00  | $2,565.00  
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      | $1,620.00  | $2,700.00  | $1,620.00  
Transportation expenses:          |  $662.00   | $1,512.00  | $1,512.00  
Estimated Total In-state:         | $55,002.00 | $54,075.00 | $47,747.00 
Estimated Total Out-of-state:     | $55,002.00 | $54,075.00 | $47,747.00 ","Main Address
400 East College Street
Georgetown, KY 40324
www.georgetowncollege.edu"
