Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Centenary College of Louisiana,"Quick Facts
Percentage of students graduating within 6 years : 59.0%
Total undergraduates : 549
First-time degree-seeking freshmen : 172
Percentage of financial need met (average) : 76.0%
Average financial aid package : $34,293.00
In-State Tuition : $38,060.00
Out-of-State Tuition : $38,060.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $74,001.00
Number of enrolled international undergraduates received aid:  3",1060 - 1250,22 - 28,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   920
Admitted :   550
Enrolled :   172
Somewhat selective 60.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,060.00 | $38,060.00 | $38,060.00 
Out-of-state tuition and fees:    | $38,060.00 | $38,060.00 | $38,060.00 
Room and board:                   | $13,940.00 | $9,650.00  | $3,450.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,920.00  | $1,920.00  | $1,920.00  
Transportation expenses:          | $1,300.00  | $2,200.00  | $2,200.00  
Estimated Total In-state:         | $56,520.00 | $53,130.00 | $46,930.00 
Estimated Total Out-of-state:     | $56,520.00 | $53,130.00 | $46,930.00 ","Main Address
2911 Centenary Blvd
Shreveport, LA 71104-3335
www.centenary.edu"
Dillard University,"Quick Facts
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 1,225
In-State Tuition : $19,611.00
Out-of-State Tuition : $19,611.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid",980 - 1120,18 - 24,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,283
Admitted :   3,505
Enrolled :   314
Very selective 38.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,611.00 | $19,611.00 | $19,611.00 
Out-of-state tuition and fees:    | $19,611.00 | $19,611.00 | $19,611.00 
Room and board:                   | $10,340.00 | $9,594.00  |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,970.00  | $1,970.00  | $1,970.00  
Transportation expenses:          | $1,810.00  | $1,810.00  | $1,810.00  
Estimated Total In-state:         | $34,931.00 | $34,185.00 | $24,591.00 
Estimated Total Out-of-state:     | $34,931.00 | $34,185.00 | $24,591.00 ","Main Address
2601 Gentilly Blvd
New Orleans, LA 70122-3043
www.dillard.edu"
Franciscan Missionaries of Our Lady University,"Quick Facts
Regular Application Deadline : July 1
Total undergraduates : 1,018
First-time degree-seeking freshmen : 78
In-State Tuition : $17,646.00
Out-of-State Tuition : $17,646.00","Setting
Large City (250-500k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,646.00 | $17,646.00 | $17,646.00 
Out-of-state tuition and fees:    | $17,646.00 | $17,646.00 | $17,646.00 
Room only:                        |     --     | $15,723.00 | $3,482.00  
Books and supplies:               |  $750.00   |  $750.00   |  $750.00   
Estimated personal expenses:      |     --     | $2,160.00  | $2,160.00  
Transportation expenses:          |     --     | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $18,396.00 | $39,279.00 | $27,038.00 
Estimated Total Out-of-state:     | $18,396.00 | $39,279.00 | $27,038.00 ","Main Address
5414 Brittany Dr
Baton Rouge, LA 70808-9139
www.franu.edu"
Grambling State University,"Quick Facts
Total undergraduates : 4,079
In-State Tuition : $7,635.00
Out-of-State Tuition : $16,658.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,635.00  | $7,635.00  | $7,635.00  
Out-of-state tuition and fees:    | $16,658.00 | $16,658.00 | $16,658.00 
Room and board:                   | $6,948.00  | $9,728.00  |     --     
Books and supplies:               | $1,749.00  | $1,749.00  | $1,749.00  
Estimated personal expenses:      | $4,428.00  | $4,428.00  | $4,299.00  
Transportation expenses:          | $1,977.00  | $2,572.00  | $2,449.00  
Estimated Total In-state:         | $22,737.00 | $26,112.00 | $16,132.00 
Estimated Total Out-of-state:     | $31,760.00 | $35,135.00 | $25,155.00 ","Main Address
100 Founder Street, LJ Hall - Room 110
Grambling, LA 71245
www.gram.edu"
Louisiana College,"Quick Facts
Percentage of students graduating within 6 years : 37.0%
Total undergraduates : 1,004
First-time degree-seeking freshmen : 257
Percentage of financial need met (average) : 71.0%
Average financial aid package : $15,637.00
In-State Tuition : $17,500.00
Out-of-State Tuition : $17,500.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",910 - 1060,18 - 23,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,018
Admitted :   706
Enrolled :   257
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,500.00 | $17,500.00 | $17,500.00 
Out-of-state tuition and fees:    | $17,500.00 | $17,500.00 | $17,500.00 
Room and board:                   | $5,646.00  | $9,072.00  | $1,414.00  
Books and supplies:               | $1,220.00  | $1,220.00  | $1,220.00  
Estimated personal expenses:      | $3,300.00  | $3,300.00  | $3,300.00  
Transportation expenses:          |  $958.00   |  $958.00   |  $958.00   
Estimated Total In-state:         | $28,624.00 | $32,050.00 | $24,392.00 
Estimated Total Out-of-state:     | $28,624.00 | $32,050.00 | $24,392.00 ","Main Address
1140 College Dr
Pineville, LA 71359-1000
www.lacollege.edu"
Louisiana State University and Agricultural and Mechanical College,"Quick Facts
Regular Application Deadline : April 15
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 25,826
First-time degree-seeking freshmen : 6,132
Percentage of financial need met (average) : 65.0%
Average financial aid package : $16,507.00
In-State Tuition : $11,962.00
Out-of-State Tuition : $28,639.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $629,059.00
Number of enrolled international undergraduates received aid:  46",1080 - 1310,23 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   24,501
Admitted :   18,272
Enrolled :   6,130
Somewhat selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Apr 15
Priority application due :   Dec 15
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,962.00 | $11,962.00 | $11,962.00 
Out-of-state tuition and fees:    | $28,639.00 | $28,639.00 | $28,639.00 
Room and board:                   | $12,276.00 | $14,676.00 | $1,698.00  
Books and supplies:               | $1,038.00  | $1,038.00  | $1,038.00  
Estimated personal expenses:      | $3,846.00  | $3,846.00  | $3,846.00  
Transportation expenses:          | $3,840.00  | $3,840.00  | $3,840.00  
Estimated Total In-state:         | $32,962.00 | $35,362.00 | $22,384.00 
Estimated Total Out-of-state:     | $49,639.00 | $52,039.00 | $39,061.00 ","Main Address
University Station
Baton Rouge, LA 70803-0001
www.lsu.edu"
Louisiana State University Health Sciences Center,"Quick Facts
Total undergraduates : 921","Setting
Large City (250-500k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $50.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        |     --     |     --     |     --     
Out-of-state tuition and fees:    |     --     |     --     |     --     
Room only:                        |     --     | $9,627.00  |     --     
Books and supplies:               | $2,500.00  | $2,500.00  | $2,500.00  
Estimated personal expenses:      |     --     | $5,170.00  |     --     
Transportation expenses:          |     --     | $3,031.00  |     --     
Estimated Total In-state:         | $2,500.00  | $20,328.00 | $2,500.00  
Estimated Total Out-of-state:     | $2,500.00  | $20,328.00 | $2,500.00  ","Main Address
433 Bolivar St Rm 154
New Orleans, LA 70112-7021
http://www.lsuhsc.edu/"
Louisiana State University in Shreveport,"Quick Facts
Percentage of students graduating within 6 years : 31.0%
Total undergraduates : 2,577
First-time degree-seeking freshmen : 338
In-State Tuition : $7,520.00
Out-of-State Tuition : $20,674.00","Setting
Large City (250-500k)
Urban
Commuter campus",Financial Aid,1000 - 1170,20 - 24,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,065
Admitted :   697
Enrolled :   338
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,520.00  | $7,520.00  | $7,520.00  
Out-of-state tuition and fees:    | $20,674.00 | $20,674.00 | $20,674.00 
Room only:                        |     --     | $9,777.00  | $3,482.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $2,160.00  | $2,160.00  | $2,160.00  
Transportation expenses:          | $3,000.00  | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $13,980.00 | $23,757.00 | $17,462.00 
Estimated Total Out-of-state:     | $27,134.00 | $36,911.00 | $30,616.00 ","Main Address
1 University Pl
Shreveport, LA 71115-2301
www.lsus.edu"
Louisiana State University at Alexandria,"Quick Facts
Percentage of students graduating within 6 years : 33.0%
Total undergraduates : 3,372
In-State Tuition : $6,928.00
Out-of-State Tuition : $14,194.00","Setting
Small City (50-250k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Online application fee may be waived for applicants with financial need
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,928.00  | $6,928.00  | $6,928.00  
Out-of-state tuition and fees:    | $14,194.00 | $14,194.00 | $14,194.00 
Room only:                        |     --     | $7,950.00  |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,726.00  | $1,726.00  | $1,726.00  
Transportation expenses:          |  $995.00   | $1,498.00  | $1,498.00  
Estimated Total In-state:         | $10,849.00 | $19,302.00 | $11,352.00 
Estimated Total Out-of-state:     | $18,115.00 | $26,568.00 | $18,618.00 ","Main Address
8100 Highway 71 S
Alexandria, LA 71302-9119
www.lsua.edu"
Louisiana Tech University,"Quick Facts
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 10,289
First-time degree-seeking freshmen : 2,050
Percentage of financial need met (average) : 74.0%
Average financial aid package : $11,830.00
In-State Tuition : $7,470.00
Out-of-State Tuition : $18,604.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid",1065 - 1260,22 - 28,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,552
Admitted :   4,840
Enrolled :   2,050
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 5
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,470.00  | $7,470.00  | $7,470.00  
Out-of-state tuition and fees:    | $18,604.00 | $18,604.00 | $18,604.00 
Room and board:                   | $7,290.00  | $9,186.00  |     --     
Books and supplies:               | $1,389.00  | $1,389.00  | $1,389.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          | $1,638.00  | $2,796.00  | $5,328.00  
Estimated Total In-state:         | $19,887.00 | $22,941.00 | $16,287.00 
Estimated Total Out-of-state:     | $31,021.00 | $34,075.00 | $27,421.00 ","Main Address
305 Wisteria
Ruston, LA 71272-0001
www.latech.edu"
