Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bates College,"Quick Facts
Regular Application Deadline : January 1
Percentage of students graduating within 6 years : 91.0%
Total undergraduates : 1,820
First-time degree-seeking freshmen : 499
Percentage of financial need met (average) : 100.0%
Average financial aid package : $50,844.00
In-State Tuition : $57,353.00
Out-of-State Tuition : $57,353.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $4,936,892.00
Number of enrolled international undergraduates received aid:  77
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",1270 - 1480,29 - 33,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   8,222
Admitted :   998
Enrolled :   499
Most selective 12.0% of applicants admitted
Applied early admission :   827
Admitted early admission :   351
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,605
Number accepting place :   643
Accepted from list :   42
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 5
College will notify student of early decision by :   Dec 20
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $57,353.00 | $57,353.00 | $57,353.00 
Out-of-state tuition and fees:    | $57,353.00 | $57,353.00 | $57,353.00 
Room and board:                   | $16,177.00 |     --     |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |  $950.00   |     --     |     --     
Transportation expenses:          |  $300.00   |     --     |     --     
Estimated Total In-state:         | $75,680.00 | $58,253.00 | $58,253.00 
Estimated Total Out-of-state:     | $75,680.00 | $58,253.00 | $58,253.00 ","Main Address
2 Andrews Rd
Lewiston, ME 04240-6020
www.bates.edu"
Bowdoin College,"Quick Facts
Regular Application Deadline : January 1
Percentage of students graduating within 6 years : 95.0%
Total undergraduates : 1,835
First-time degree-seeking freshmen : 498
Percentage of financial need met (average) : 100.0%
Average financial aid package : $53,004.00
In-State Tuition : $56,350.00
Out-of-State Tuition : $56,350.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $3,644,968.00
Number of enrolled international undergraduates received aid:  60
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Financial Aid Application",1330 - 1520,31 - 34,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,332
Admitted :   845
Enrolled :   499
Most selective 9.0% of applicants admitted
Applied early admission :   1,112
Admitted early admission :   251
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 1 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $56,350.00 | $56,350.00 | $56,350.00 
Out-of-state tuition and fees:    | $56,350.00 | $56,350.00 | $56,350.00 
Room and board:                   | $11,520.00 |     --     |     --     
Books and supplies:               |  $840.00   |  $840.00   |  $840.00   
Estimated personal expenses:      | $1,250.00  | $1,250.00  | $1,250.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $69,960.00 | $58,440.00 | $58,440.00 
Estimated Total Out-of-state:     | $69,960.00 | $58,440.00 | $58,440.00 ","Main Address
255 Maine St
Brunswick, ME 04011
www.bowdoin.edu"
Colby College,"Quick Facts
Regular Application Deadline : January 1
Percentage of students graduating within 6 years : 89.0%
Total undergraduates : 2,003
First-time degree-seeking freshmen : 522
Percentage of financial need met (average) : 100.0%
Average financial aid package : $55,762.00
In-State Tuition : $59,430.00
Out-of-State Tuition : $59,430.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $4,689,860.00
Number of enrolled international undergraduates received aid:  89
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",1380 - 1520,31 - 34,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   13,584
Admitted :   1,314
Enrolled :   522
Most selective 10.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   3,668
Number accepting place :   1,454
Accepted from list :   19
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $59,430.00 | $59,430.00 | $59,430.00 
Out-of-state tuition and fees:    | $59,430.00 | $59,430.00 | $59,430.00 
Room and board:                   | $15,295.00 |     --     |     --     
Books and supplies:               |  $850.00   |  $850.00   |  $850.00   
Estimated personal expenses:      |  $850.00   |  $850.00   |  $850.00   
Transportation expenses:          |  $500.00   |  $500.00   |  $500.00   
Estimated Total In-state:         | $76,925.00 | $61,630.00 | $61,630.00 
Estimated Total Out-of-state:     | $76,925.00 | $61,630.00 | $61,630.00 ","Main Address
4000 Mayflower Hl
Waterville, ME 04901-8840
www.colby.edu"
College of the Atlantic,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 52.0%
Total undergraduates : 355
First-time degree-seeking freshmen : 105
Percentage of financial need met (average) : 98.0%
Average financial aid package : $44,062.00
In-State Tuition : $43,542.00
Out-of-State Tuition : $43,542.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1170 - 1340,26 - 32,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   451
Admitted :   324
Enrolled :   105
Somewhat selective 72.0% of applicants admitted
Applied early admission :   52
Admitted early admission :   42
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   21
Number accepting place :   7
Accepted from list :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Dec 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Jan 30","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,542.00 | $43,542.00 | $43,542.00 
Out-of-state tuition and fees:    | $43,542.00 | $43,542.00 | $43,542.00 
Room and board:                   | $9,747.00  | $9,747.00  | $3,537.00  
Books and supplies:               |  $600.00   |  $600.00   |  $600.00   
Estimated personal expenses:      |  $555.00   |  $555.00   |  $555.00   
Transportation expenses:          |  $525.00   |  $525.00   |  $525.00   
Estimated Total In-state:         | $54,969.00 | $54,969.00 | $48,759.00 
Estimated Total Out-of-state:     | $54,969.00 | $54,969.00 | $48,759.00 ","Main Address
105 Eden St
Bar Harbor, ME 04609-1136
www.coa.edu"
Husson University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 2,864
First-time degree-seeking freshmen : 568
Percentage of financial need met (average) : 76.0%
Average financial aid package : $17,918.00
In-State Tuition : $19,772.00
Out-of-State Tuition : $19,772.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1140,19 - 23,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,529
Admitted :   2,139
Enrolled :   591
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,772.00 | $19,772.00 | $19,772.00 
Out-of-state tuition and fees:    | $19,772.00 | $19,772.00 | $19,772.00 
Room and board:                   | $10,632.00 | $9,900.00  | $2,000.00  
Books and supplies:               | $1,150.00  | $1,150.00  | $1,150.00  
Estimated personal expenses:      | $2,000.00  | $2,400.00  | $2,400.00  
Transportation expenses:          |  $550.00   | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $34,104.00 | $34,422.00 | $26,522.00 
Estimated Total Out-of-state:     | $34,104.00 | $34,422.00 | $26,522.00 ","Main Address
1 College Cir
Bangor, ME 04401-2929
www.husson.edu"
Maine College of Art,"Quick Facts
Total undergraduates : 459
In-State Tuition : $37,530.00
Out-of-State Tuition : $37,530.00","Setting
Small City (50-250k)
Urban
Commuter campus
Other Characteristics
Personal studio space for all juniors and seniors.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,530.00 | $37,530.00 | $37,530.00 
Out-of-state tuition and fees:    | $37,530.00 | $37,530.00 | $37,530.00 
Room and board:                   | $12,770.00 | $9,524.00  |     --     
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $53,550.00 | $50,304.00 | $40,780.00 
Estimated Total Out-of-state:     | $53,550.00 | $50,304.00 | $40,780.00 ","Main Address
522 Congress Street
Portland, ME 04101-3378
www.meca.edu"
Maine Maritime Academy,"Quick Facts
Regular Application Deadline : March 1
Total undergraduates : 992
First-time degree-seeking freshmen : 268
Percentage of financial need met (average) : 46.0%
Average financial aid package : $12,365.00
In-State Tuition : $14,058.00
Out-of-State Tuition : $28,438.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",1020 - 1240,22 - 26,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,441
Admitted :   653
Enrolled :   262
Very selective 45.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   1,001
Admitted early action :   312
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   Mar 1
Priority application due :   Nov 30
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Aug 15","Early Decision And Action
Early action application due :   Nov 30
College will notify student of early action admission by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,058.00 | $14,058.00 | $14,058.00 
Out-of-state tuition and fees:    | $28,438.00 | $28,438.00 | $28,438.00 
Room and board:                   | $10,720.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $800.00   |     --     |     --     
Transportation expenses:          |  $800.00   |     --     |     --     
Estimated Total In-state:         | $27,378.00 | $15,058.00 | $15,058.00 
Estimated Total Out-of-state:     | $41,758.00 | $29,438.00 | $29,438.00 ","Main Address
1 Pleasant St
Castine, ME 04421-3034
www.mainemaritime.edu"
Saint Josephs College of Maine,"Quick Facts
Total undergraduates : 1,533
In-State Tuition : $38,820.00
Out-of-State Tuition : $38,820.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
The campus is a short drive from the culture and entertainment city of Portland, Maine. Associate's, bachelor's, and master's degrees are also offered to nontraditional students through online education.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,820.00 | $38,820.00 | $38,820.00 
Out-of-state tuition and fees:    | $38,820.00 | $38,820.00 | $38,820.00 
Room and board:                   | $14,500.00 | $7,200.00  | $3,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          |  $500.00   | $1,500.00  | $1,500.00  
Estimated Total In-state:         | $56,220.00 | $49,920.00 | $45,720.00 
Estimated Total Out-of-state:     | $56,220.00 | $49,920.00 | $45,720.00 ","Main Address
278 Whites Bridge Road
Standish, ME 04084-5236
www.sjcme.edu"
University of Maine,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 9,430
First-time degree-seeking freshmen : 2,140
Percentage of financial need met (average) : 73.0%
Average financial aid package : $16,058.00
In-State Tuition : $11,744.00
Out-of-State Tuition : $32,534.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,552,039.00
Number of enrolled international undergraduates received aid:  152",1050 - 1260,21 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   13,118
Admitted :   11,838
Enrolled :   2,140
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   6,392
Admitted early action :   6,091
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 2
Regular application due:   Feb 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,744.00 | $11,744.00 | $11,744.00 
Out-of-state tuition and fees:    | $32,534.00 | $32,534.00 | $32,534.00 
Room and board:                   | $10,972.00 | $10,972.00 | $5,302.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          | $2,200.00  | $2,200.00  | $2,200.00  
Estimated Total In-state:         | $25,916.00 | $25,916.00 | $20,246.00 
Estimated Total Out-of-state:     | $46,706.00 | $46,706.00 | $41,036.00 ","Main Address
168 College Ave
Orono, ME 04473-1513
www.umaine.edu"
Thomas College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 1,758
First-time degree-seeking freshmen : 215
Percentage of financial need met (average) : 85.0%
Average financial aid package : $24,490.00
In-State Tuition : $28,430.00
Out-of-State Tuition : $28,430.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Guaranteed Job Program. If a student does not land a job in their field of study six months after graduation, the college will pay up to one year of their federally subsidized student loans or offer free graduate courses.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",960 - 1170,18 - 18,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,081
Admitted :   906
Enrolled :   207
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Aug 1
Priority application due :   Dec 15
College will notify student of admission :  Aug 15
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $28,430.00 | $28,430.00 | $28,430.00 
Out-of-state tuition and fees:    | $28,430.00 | $28,430.00 | $28,430.00 
Room and board:                   | $11,560.00 | $6,500.00  |  $900.00   
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          | $1,000.00  | $1,600.00  | $1,600.00  
Estimated Total In-state:         | $42,990.00 | $38,530.00 | $32,930.00 
Estimated Total Out-of-state:     | $42,990.00 | $38,530.00 | $32,930.00 ","Main Address
180 W River Rd
Waterville, ME 04901-5066
www.thomas.edu"
