Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
American International College,"Quick Facts
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 1,379
First-time degree-seeking freshmen : 379
Percentage of financial need met (average) : 74.0%
Average financial aid package : $33,023.00
In-State Tuition : $38,220.00
Out-of-State Tuition : $38,220.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",900 - 1120,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,174
Admitted :   1,404
Enrolled :   388
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,220.00 | $38,220.00 | $38,220.00 
Out-of-state tuition and fees:    | $38,220.00 | $38,220.00 | $38,220.00 
Room and board:                   | $14,660.00 | $4,730.00  | $2,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          |  $500.00   | $2,250.00  | $2,260.00  
Estimated Total In-state:         | $55,580.00 | $47,400.00 | $44,680.00 
Estimated Total Out-of-state:     | $55,580.00 | $47,400.00 | $44,680.00 ","Main Address
1000 State St
Springfield, MA 01109-3151
www.aic.edu"
Amherst College,"Quick Facts
Regular Application Deadline : January 4
Percentage of students graduating within 6 years : 95.0%
Total undergraduates : 1,839
First-time degree-seeking freshmen : 470
Percentage of financial need met (average) : 100.0%
Average financial aid package : $59,559.00
In-State Tuition : $60,890.00
Out-of-State Tuition : $60,890.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $9,165,282.00
Number of enrolled international undergraduates received aid:  133
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1410 - 1550,31 - 34,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   10,569
Admitted :   1,195
Enrolled :   470
Most selective 11.0% of applicants admitted
Applied early admission :   518
Admitted early admission :   186
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,447
Number accepting place :   762
Accepted from list :   48
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 4
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $60,890.00 | $60,890.00 | $60,890.00 
Out-of-state tuition and fees:    | $60,890.00 | $60,890.00 | $60,890.00 
Room and board:                   | $15,910.00 | $15,910.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,800.00  | $1,800.00  | $1,800.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $79,600.00 | $79,600.00 | $63,690.00 
Estimated Total Out-of-state:     | $79,600.00 | $79,600.00 | $63,690.00 ","Main Address
220 S Pleasant St
Amherst, MA 01002-2372
www.amherst.edu"
Anna Maria College,"Quick Facts
Percentage of students graduating within 6 years : 46.0%
Total undergraduates : 1,127
First-time degree-seeking freshmen : 269
In-State Tuition : $39,420.00
Out-of-State Tuition : $39,420.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,056
Admitted :   2,263
Enrolled :   273
Somewhat selective 74.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $39,420.00 | $39,420.00 | $39,420.00 
Out-of-state tuition and fees:    | $39,420.00 | $39,420.00 | $39,420.00 
Room and board:                   | $14,950.00 | $6,012.00  |     --     
Books and supplies:               | $1,125.00  | $1,125.00  | $1,125.00  
Estimated personal expenses:      | $1,500.00  | $2,000.00  | $2,000.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $56,995.00 | $48,557.00 | $42,545.00 
Estimated Total Out-of-state:     | $56,995.00 | $48,557.00 | $42,545.00 ","Main Address
50 Sunset Ln
Paxton, MA 01612-1106
www.annamaria.edu"
Assumption College,"Quick Facts
Regular Application Deadline : February 15
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 1,982
First-time degree-seeking freshmen : 563
Percentage of financial need met (average) : 79.0%
Average financial aid package : $32,020.00
In-State Tuition : $43,978.00
Out-of-State Tuition : $43,978.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $535,210.00
Number of enrolled international undergraduates received aid:  21
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1090 - 1240,23 - 28,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   4,465
Admitted :   3,620
Enrolled :   563
Less selective 81.0% of applicants admitted
Applied early admission :   31
Admitted early admission :   27
Applied early action :   2,429
Admitted early action :   2,263
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   143
Number accepting place :   25
Accepted from list :   4
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Mar 31
Regular application due:   Feb 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,978.00 | $43,978.00 | $43,978.00 
Out-of-state tuition and fees:    | $43,978.00 | $43,978.00 | $43,978.00 
Room and board:                   | $13,590.00 | $13,128.00 | $2,500.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $60,368.00 | $59,906.00 | $49,278.00 
Estimated Total Out-of-state:     | $60,368.00 | $59,906.00 | $49,278.00 ","Main Address
500 Salisbury St
Worcester, MA 01609-1265
www.assumption.edu"
Babson College,"Quick Facts
Regular Application Deadline : January 2
Percentage of students graduating within 6 years : 93.0%
Total undergraduates : 2,347
First-time degree-seeking freshmen : 600
Percentage of financial need met (average) : 100.0%
Average financial aid package : $46,384.00
In-State Tuition : $54,144.00
Out-of-State Tuition : $54,144.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1270 - 1450,27 - 32,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   6,362
Admitted :   1,680
Enrolled :   600
Very selective 26.0% of applicants admitted
Applied early admission :   584
Admitted early admission :   202
Applied early action :   2,473
Admitted early action :   614
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   1,676
Number accepting place :   660
Accepted from list :   121
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 2
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Jan 1
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 2
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $54,144.00 | $54,144.00 | $54,144.00 
Out-of-state tuition and fees:    | $54,144.00 | $54,144.00 | $54,144.00 
Room and board:                   | $17,666.00 | $17,668.00 | $5,826.00  
Books and supplies:               | $1,178.00  | $1,178.00  | $1,178.00  
Estimated personal expenses:      | $1,906.00  | $1,906.00  | $1,906.00  
Transportation expenses:          |  $800.00   | $2,052.00  | $2,052.00  
Estimated Total In-state:         | $75,694.00 | $76,948.00 | $65,106.00 
Estimated Total Out-of-state:     | $75,694.00 | $76,948.00 | $65,106.00 ","Main Address
231 Forest Street
Babson Park, MA 02457-0310
www.babson.edu"
Bay Path College,"Quick Facts
Regular Application Deadline : August 18
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 1,817
First-time degree-seeking freshmen : 125
Percentage of financial need met (average) : 77.0%
Average financial aid package : $33,942.00
In-State Tuition : $35,081.00
Out-of-State Tuition : $35,081.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus
Other Characteristics
Member of 8-college consortium. Women as Empowered Learners and Leaders Program (WELL) is the foundation of the Bay Path education. The program offers courses that hone in on academic and professional skills, including a senior capstone course that requires students to implement their learning into a community-based project.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $105,852.00
Number of enrolled international undergraduates received aid:  9
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",960 - 1170,19 - 25,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   1,123
Admitted :   806
Enrolled :   129
Somewhat selective 72.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 18
Priority application due :   Aug 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 15
College will notify student of early action admission by :   Dec 30","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,081.00 | $35,081.00 | $35,081.00 
Out-of-state tuition and fees:    | $35,081.00 | $35,081.00 | $35,081.00 
Room and board:                   | $12,799.00 | $3,500.00  | $2,800.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,100.00  | $1,100.00  | $1,100.00  
Transportation expenses:          |  $800.00   | $1,300.00  | $1,300.00  
Estimated Total In-state:         | $51,380.00 | $42,581.00 | $41,881.00 
Estimated Total Out-of-state:     | $51,380.00 | $42,581.00 | $41,881.00 ","Main Address
588 Longmeadow St
Longmeadow, MA 01106-2212
www.baypath.edu"
Becker College,"Quick Facts
Percentage of students graduating within 6 years : 45.0%
Total undergraduates : 1,672
First-time degree-seeking freshmen : 259
Percentage of financial need met (average) : 58.0%
Average financial aid package : $22,697.00
In-State Tuition : $40,150.00
Out-of-State Tuition : $40,150.00","Setting
Small City (50-250k)
Urban
Residential campus
Other Characteristics
Second suburban campus in Leicester. Member of the Higher Education Consortium of Central Massachusetts.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1170,17 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,902
Admitted :   2,036
Enrolled :   259
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   No Regular Application Deadline
Priority application due :   Nov 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $40,150.00 | $40,150.00 | $40,150.00 
Out-of-state tuition and fees:    | $40,150.00 | $40,150.00 | $40,150.00 
Room and board:                   | $13,800.00 | $5,842.00  |     --     
Books and supplies:               |  $960.00   |  $960.00   |  $960.00   
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,200.00  | $2,092.00  | $1,000.00  
Estimated Total In-state:         | $57,110.00 | $50,044.00 | $43,110.00 
Estimated Total Out-of-state:     | $57,110.00 | $50,044.00 | $43,110.00 ","Main Address
61 Sever St
Worcester, MA 01609-2165
www.becker.edu"
Benjamin Franklin Institute of Technology,"Quick Facts
Total undergraduates : 597
First-time degree-seeking freshmen : 208
In-State Tuition : $17,550.00
Out-of-State Tuition : $17,550.00","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
Prepares students for careers in automotive, computer, industrial, and engineering technologies.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   725
Admitted :   514
Enrolled :   208
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   No Regular Application Deadline
Priority application due :   Jun 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   Dec 14
College will notify student of early action admission by :   Dec 21","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,550.00 | $17,550.00 | $17,550.00 
Out-of-state tuition and fees:    | $17,550.00 | $17,550.00 | $17,550.00 
Room only:                        |     --     | $13,500.00 |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |     --     | $1,200.00  | $1,200.00  
Transportation expenses:          |     --     | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $18,450.00 | $34,350.00 | $20,850.00 
Estimated Total Out-of-state:     | $18,450.00 | $34,350.00 | $20,850.00 ","Main Address
41 Berkeley St
Boston, MA 02116-6307
www.bfit.edu"
Bentley University,"Quick Facts
Regular Application Deadline : January 7
Percentage of students graduating within 6 years : 90.0%
Total undergraduates : 4,228
First-time degree-seeking freshmen : 944
Percentage of financial need met (average) : 89.0%
Average financial aid package : $38,082.00
In-State Tuition : $53,790.00
Out-of-State Tuition : $53,790.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,844,175.00
Number of enrolled international undergraduates received aid:  169
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1230 - 1410,27 - 31,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,017
Admitted :   4,213
Enrolled :   944
Very selective 47.0% of applicants admitted
Applied early admission :   339
Admitted early admission :   227
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,460
Number accepting place :   401
Accepted from list :   92
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 7
Priority application due :   Nov 15
College will notify student of admission :  Mar 29
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 28
Other early decision deadline :   Jan 7
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $53,790.00 | $53,790.00 | $53,790.00 
Out-of-state tuition and fees:    | $53,790.00 | $53,790.00 | $53,790.00 
Room and board:                   | $17,620.00 | $2,660.00  | $2,660.00  
Books and supplies:               | $1,325.00  | $1,325.00  | $1,325.00  
Estimated personal expenses:      | $1,250.00  | $1,250.00  | $1,250.00  
Transportation expenses:          |     --     | $2,155.00  | $2,155.00  
Estimated Total In-state:         | $73,985.00 | $61,180.00 | $61,180.00 
Estimated Total Out-of-state:     | $73,985.00 | $61,180.00 | $61,180.00 ","Main Address
175 Forest St
Waltham, MA 02452-4713
www.bentley.edu"
Berklee College of Music,"Quick Facts
Regular Application Deadline : January 15
Total undergraduates : 6,439
First-time degree-seeking freshmen : 1,311
Percentage of financial need met (average) : 64.0%
Average financial aid package : $23,876.00
In-State Tuition : $47,230.00
Out-of-State Tuition : $47,230.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $18,884,238.00
Number of enrolled international undergraduates received aid:  887",No information,No information,"General Applying Information
Application Fee:   $150.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   6,724
Admitted :   3,440
Enrolled :   1,311
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   26
Number accepting place :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   Nov 1
College will notify student of admission :  Mar 31
Student must reply to acceptance by :   --
Housing deposit due :   May 5","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Jan 31","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $47,230.00 | $47,230.00 | $47,230.00 
Out-of-state tuition and fees:    | $47,230.00 | $47,230.00 | $47,230.00 
Room and board:                   | $18,830.00 | $15,108.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,250.00  | $1,250.00  | $1,250.00  
Transportation expenses:          |  $990.00   |  $990.00   |  $990.00   
Estimated Total In-state:         | $69,300.00 | $65,578.00 | $50,470.00 
Estimated Total Out-of-state:     | $69,300.00 | $65,578.00 | $50,470.00 ","Main Address
1140 Boylston St
Boston, MA 02215-3631
www.berklee.edu"
