Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Adrian College,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 1,779
First-time degree-seeking freshmen : 541
In-State Tuition : $38,730.00
Out-of-State Tuition : $38,730.00","Setting
Large Town (10-50k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1100,19 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,219
Admitted :   2,919
Enrolled :   555
Somewhat selective 56.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,730.00 | $38,730.00 | $38,730.00 
Out-of-state tuition and fees:    | $38,730.00 | $38,730.00 | $38,730.00 
Room and board:                   | $11,720.00 | $11,720.00 | $6,190.00  
Books and supplies:               | $1,900.00  | $1,900.00  | $1,900.00  
Estimated personal expenses:      | $1,400.00  |     --     | $1,400.00  
Transportation expenses:          | $2,000.00  |     --     | $2,000.00  
Estimated Total In-state:         | $55,750.00 | $52,350.00 | $50,220.00 
Estimated Total Out-of-state:     | $55,750.00 | $52,350.00 | $50,220.00 ","Main Address
110 S Madison St Ofc of
Adrian, MI 49221-2518
www.adrian.edu"
Albion College,"Quick Facts
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 1,475
First-time degree-seeking freshmen : 401
Percentage of financial need met (average) : 94.0%
Average financial aid package : $47,934.00
In-State Tuition : $50,775.00
Out-of-State Tuition : $50,775.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $850,710.00
Number of enrolled international undergraduates received aid:  22",990 - 1200,21 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,043
Admitted :   2,780
Enrolled :   415
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   1,904
Admitted early action :   1,568
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $50,775.00 | $50,775.00 | $50,775.00 
Out-of-state tuition and fees:    | $50,775.00 | $50,775.00 | $50,775.00 
Room and board:                   | $12,380.00 | $12,380.00 | $1,000.00  
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      |  $550.00   |  $550.00   |  $550.00   
Transportation expenses:          |  $250.00   |  $750.00   |  $750.00   
Estimated Total In-state:         | $64,655.00 | $65,155.00 | $53,775.00 
Estimated Total Out-of-state:     | $64,655.00 | $65,155.00 | $53,775.00 ","Main Address
611 E Porter St
Albion, MI 49224-1831
www.albion.edu"
Alma College,"Quick Facts
Percentage of students graduating within 6 years : 67.0%
Total undergraduates : 1,442
First-time degree-seeking freshmen : 387
Percentage of financial need met (average) : 76.0%
Average financial aid package : $32,161.00
In-State Tuition : $42,622.00
Out-of-State Tuition : $42,622.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $242,845.00
Number of enrolled international undergraduates received aid:  8",1030 - 1230,20 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,041
Admitted :   1,848
Enrolled :   385
Somewhat selective 61.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $42,622.00 | $42,622.00 | $42,622.00 
Out-of-state tuition and fees:    | $42,622.00 | $42,622.00 | $42,622.00 
Room and board:                   | $11,790.00 | $7,652.00  |     --     
Books and supplies:               |  $850.00   |  $850.00   |  $850.00   
Estimated personal expenses:      | $1,360.00  | $1,360.00  | $1,360.00  
Transportation expenses:          | $1,050.00  | $1,050.00  | $1,050.00  
Estimated Total In-state:         | $57,672.00 | $53,534.00 | $45,882.00 
Estimated Total Out-of-state:     | $57,672.00 | $53,534.00 | $45,882.00 ","Main Address
614 W Superior St
Alma, MI 48801-1504
www.alma.edu"
Andrews University,"Quick Facts
Percentage of students graduating within 6 years : 59.0%
Total undergraduates : 1,708
First-time degree-seeking freshmen : 283
Percentage of financial need met (average) : 86.0%
Average financial aid package : $31,022.00
In-State Tuition : $31,008.00
Out-of-State Tuition : $31,008.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1060 - 1360,21 - 29,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,438
Admitted :   964
Enrolled :   283
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,008.00 | $31,008.00 | $31,008.00 
Out-of-state tuition and fees:    | $31,008.00 | $31,008.00 | $31,008.00 
Room and board:                   | $9,540.00  | $11,050.00 | $1,850.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $1,100.00  | $3,500.00  | $1,100.00  
Transportation expenses:          | $1,500.00  | $2,400.00  | $1,500.00  
Estimated Total In-state:         | $44,248.00 | $49,058.00 | $36,558.00 
Estimated Total Out-of-state:     | $44,248.00 | $49,058.00 | $36,558.00 ","Main Address
100 M-139
Berrien Springs, MI 49104-0001
www.andrews.edu"
Aquinas College 1842,"Quick Facts
Percentage of students graduating within 6 years : 61.0%
Total undergraduates : 1,456
First-time degree-seeking freshmen : 262
Percentage of financial need met (average) : 81.0%
Average financial aid package : $27,329.00
In-State Tuition : $35,086.00
Out-of-State Tuition : $35,086.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $1,062,608.00
Number of enrolled international undergraduates received aid:  39",1000 - 1200,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,883
Admitted :   1,305
Enrolled :   262
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,086.00 | $35,086.00 | $35,086.00 
Out-of-state tuition and fees:    | $35,086.00 | $35,086.00 | $35,086.00 
Room and board:                   | $9,876.00  | $6,046.00  | $2,486.00  
Books and supplies:               |  $948.00   |  $948.00   |  $948.00   
Estimated personal expenses:      |  $918.00   |  $918.00   |  $918.00   
Transportation expenses:          |  $900.00   | $1,616.00  | $1,616.00  
Estimated Total In-state:         | $47,728.00 | $44,614.00 | $41,054.00 
Estimated Total Out-of-state:     | $47,728.00 | $44,614.00 | $41,054.00 ","Main Address
1700 Fulton St E
Grand Rapids, MI 49506-1801
www.aquinas.edu"
Calvin University,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 76.0%
Total undergraduates : 3,467
First-time degree-seeking freshmen : 779
Percentage of financial need met (average) : 80.0%
Average financial aid package : $27,581.00
In-State Tuition : $37,806.00
Out-of-State Tuition : $37,806.00","Setting
Large City (250-500k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $10,366,868.00
Number of enrolled international undergraduates received aid:  433
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1130 - 1350,24 - 30,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,401
Admitted :   2,616
Enrolled :   779
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   Aug 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,806.00 | $37,806.00 | $37,806.00 
Out-of-state tuition and fees:    | $37,806.00 | $37,806.00 | $37,806.00 
Room and board:                   | $10,800.00 | $10,800.00 |     --     
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          | $1,200.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $52,606.00 | $53,406.00 | $42,606.00 
Estimated Total Out-of-state:     | $52,606.00 | $53,406.00 | $42,606.00 ","Main Address
3201 Burton St SE
Grand Rapids, MI 49546-4301
www.calvin.edu"
Central Michigan University,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 61.0%
Total undergraduates : 14,672
First-time degree-seeking freshmen : 2,473
Percentage of financial need met (average) : 82.0%
Average financial aid package : $14,194.00
In-State Tuition : $12,960.00
Out-of-State Tuition : $12,960.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
37 off-campus locations in the United States and surrounding countries.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $967,567.00
Number of enrolled international undergraduates received aid:  91",990 - 1200,20 - 26,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   16,411
Admitted :   11,408
Enrolled :   2,473
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,960.00 | $12,960.00 | $12,960.00 
Out-of-state tuition and fees:    | $12,960.00 | $12,960.00 | $12,960.00 
Room and board:                   | $10,676.00 | $10,676.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $830.00   |  $830.00   |  $830.00   
Transportation expenses:          |  $500.00   |  $500.00   |  $500.00   
Estimated Total In-state:         | $25,966.00 | $25,966.00 | $15,290.00 
Estimated Total Out-of-state:     | $25,966.00 | $25,966.00 | $15,290.00 ","Main Address
Warriner Hall
Mount Pleasant, MI 48859-0001
www.cmich.edu"
Cleary University,"Quick Facts
Total undergraduates : 524
In-State Tuition : $22,580.00
Out-of-State Tuition : $22,580.00","Setting
Small City (50-250k)
Suburban
Commuter campus
Other Characteristics
Classroom facility in Washtenaw County; extension sites in Genesee and Montcalm Counties.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,Course Name,"Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,580.00 | $22,580.00 | $22,580.00 
Out-of-state tuition and fees:    | $22,580.00 | $22,580.00 | $22,580.00 
Room and board:                   | $11,400.00 | $4,614.00  |     --     
Books and supplies:               | $3,144.00  | $3,144.00  | $3,144.00  
Estimated personal expenses:      | $1,722.00  | $1,722.00  | $1,722.00  
Transportation expenses:          |  $840.00   | $1,506.00  | $1,506.00  
Estimated Total In-state:         | $39,686.00 | $33,566.00 | $28,952.00 
Estimated Total Out-of-state:     | $39,686.00 | $33,566.00 | $28,952.00 ","Main Address
3750 Cleary Drive
Howell, MI 48843-6631
www.cleary.edu"
College for Creative Studies,"Quick Facts
Total undergraduates : 1,391
In-State Tuition : $47,984.00
Out-of-State Tuition : $47,984.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $47,984.00 | $47,984.00 | $47,984.00 
Out-of-state tuition and fees:    | $47,984.00 | $47,984.00 | $47,984.00 
Room and board:                   | $8,350.00  | $7,750.00  | $1,200.00  
Books and supplies:               | $1,900.00  | $1,900.00  | $1,900.00  
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          | $1,500.00  | $1,500.00  | $1,500.00  
Estimated Total In-state:         | $60,934.00 | $60,334.00 | $53,784.00 
Estimated Total Out-of-state:     | $60,934.00 | $60,334.00 | $53,784.00 ","Main Address
201 East Kirby
Detroit, MI 48202-4048
www.collegeforcreativestudies.edu"
Concordia University 4452,"Quick Facts
Total undergraduates : 999
In-State Tuition : $31,277.00
Out-of-State Tuition : $31,277.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,277.00 | $31,277.00 | $31,277.00 
Out-of-state tuition and fees:    | $31,277.00 | $31,277.00 | $31,277.00 
Room and board:                   | $11,130.00 | $11,500.00 | $3,500.00  
Books and supplies:               | $1,750.00  | $1,750.00  | $1,750.00  
Estimated personal expenses:      | $2,800.00  | $2,800.00  | $2,800.00  
Transportation expenses:          |  $500.00   |  $500.00   | $3,500.00  
Estimated Total In-state:         | $47,457.00 | $47,827.00 | $42,827.00 
Estimated Total Out-of-state:     | $47,457.00 | $47,827.00 | $42,827.00 ","Main Address
4090 Geddes Rd
Ann Arbor, MI 48105-2750
www.cuaa.edu"
