Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Augsburg College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 2,512
First-time degree-seeking freshmen : 636
Percentage of financial need met (average) : 78.0%
Average financial aid package : $33,989.00
In-State Tuition : $41,086.00
Out-of-State Tuition : $41,086.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,422,462.00
Number of enrolled international undergraduates received aid:  111
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1060 - 1260,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,435
Admitted :   2,014
Enrolled :   636
Somewhat selective 59.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   Aug 1
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $41,086.00 | $41,086.00 | $41,086.00 
Out-of-state tuition and fees:    | $41,086.00 | $41,086.00 | $41,086.00 
Room and board:                   | $10,885.00 | $17,324.00 | $4,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,500.00  | $2,500.00  | $2,500.00  
Transportation expenses:          |  $250.00   |  $250.00   |  $250.00   
Estimated Total In-state:         | $55,921.00 | $62,360.00 | $49,036.00 
Estimated Total Out-of-state:     | $55,921.00 | $62,360.00 | $49,036.00 ","Main Address
2211 Riverside Ave
Minneapolis, MN 55454-1350
www.augsburg.edu"
Bemidji State University,"Quick Facts
Total undergraduates : 4,833
In-State Tuition : $8,941.00
Out-of-State Tuition : $8,941.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Arrowhead University Center located on Minnesota's Mesabi Iron Range offers several degree programs.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,941.00  | $8,941.00  | $8,941.00  
Out-of-state tuition and fees:    | $8,941.00  | $8,941.00  | $8,941.00  
Room and board:                   | $8,660.00  | $8,132.00  | $2,100.00  
Books and supplies:               |  $890.00   |  $890.00   |  $890.00   
Estimated personal expenses:      | $3,000.00  | $3,000.00  | $3,000.00  
Transportation expenses:          | $1,300.00  | $1,300.00  | $1,300.00  
Estimated Total In-state:         | $22,791.00 | $22,263.00 | $16,231.00 
Estimated Total Out-of-state:     | $22,791.00 | $22,263.00 | $16,231.00 ","Main Address
1500 Birchmont Dr NE
Bemidji, MN 56601-2600
www.bemidjistate.edu"
Bethany Lutheran College,"Quick Facts
Regular Application Deadline : July 31
Total undergraduates : 741
First-time degree-seeking freshmen : 179
Percentage of financial need met (average) : 87.0%
Average financial aid package : $23,925.00
In-State Tuition : $28,380.00
Out-of-State Tuition : $28,380.00","Setting
Small City (50-250k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,099,788.00
Number of enrolled international undergraduates received aid:  58
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1150,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   636
Admitted :   462
Enrolled :   178
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   Jul 31
Priority application due :   Jul 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $28,380.00 | $28,380.00 | $28,380.00 
Out-of-state tuition and fees:    | $28,380.00 | $28,380.00 | $28,380.00 
Room and board:                   | $8,150.00  | $8,150.00  | $4,280.00  
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,850.00  | $1,850.00  | $1,850.00  
Transportation expenses:          |  $200.00   |  $200.00   |  $200.00   
Estimated Total In-state:         | $39,380.00 | $39,380.00 | $35,510.00 
Estimated Total Out-of-state:     | $39,380.00 | $39,380.00 | $35,510.00 ","Main Address
700 Luther Dr
Mankato, MN 56001-6192
www.blc.edu"
,,,,,,,,,,
Carleton College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 92.0%
Total undergraduates : 2,119
First-time degree-seeking freshmen : 525
Percentage of financial need met (average) : 100.0%
Average financial aid package : $52,349.00
In-State Tuition : $59,352.00
Out-of-State Tuition : $59,352.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Sustainability initiatives include green roofs, eco-building class, eco house built by students, 2 wind turbines.","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $3,678,085.00
Number of enrolled international undergraduates received aid:  79
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1360 - 1540,31 - 34,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   7,324
Admitted :   1,401
Enrolled :   525
Most selective 19.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,522
Number accepting place :   664
Accepted from list :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Mar 31
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $59,352.00 | $59,352.00 | $59,352.00 
Out-of-state tuition and fees:    | $59,352.00 | $59,352.00 | $59,352.00 
Room and board:                   | $15,147.00 |     --     |     --     
Books and supplies:               |  $901.00   |  $901.00   |  $901.00   
Estimated personal expenses:      |  $900.00   |     --     |     --     
Transportation expenses:          |  $800.00   |     --     |     --     
Estimated Total In-state:         | $77,100.00 | $60,253.00 | $60,253.00 
Estimated Total Out-of-state:     | $77,100.00 | $60,253.00 | $60,253.00 ","Main Address
1 N College St
Northfield, MN 55057-4001
www.carleton.edu"
,,,,,,,,,,
Crown College,"Quick Facts
Total undergraduates : 1,059
In-State Tuition : $27,980.00
Out-of-State Tuition : $27,980.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,980.00 | $27,980.00 | $27,980.00 
Out-of-state tuition and fees:    | $27,980.00 | $27,980.00 | $27,980.00 
Room and board:                   | $9,200.00  | $8,660.00  | $2,598.00  
Books and supplies:               | $1,290.00  | $1,290.00  | $1,290.00  
Estimated personal expenses:      | $2,962.00  | $2,962.00  | $2,962.00  
Transportation expenses:          | $1,570.00  | $3,130.00  | $3,130.00  
Estimated Total In-state:         | $43,002.00 | $44,022.00 | $37,960.00 
Estimated Total Out-of-state:     | $43,002.00 | $44,022.00 | $37,960.00 ","Main Address
8700 College View Dr
Saint Bonifacius, MN 55375-9002
www.crown.edu"
Dunwoody College of Technology,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 1,358
First-time degree-seeking freshmen : 237
Percentage of financial need met (average) : 28.0%
Average financial aid package : $10,907.00
In-State Tuition : $23,119.00
Out-of-State Tuition : $23,119.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   672
Admitted :   434
Enrolled :   237
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   22
Number accepting place :   22
Accepted from list :   22
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $23,119.00 | $23,119.00 | $23,119.00 
Out-of-state tuition and fees:    | $23,119.00 | $23,119.00 | $23,119.00 
Room and board:                   | $5,634.00  | $1,100.00  |     --     
Books and supplies:               | $1,283.00  | $1,283.00  | $1,283.00  
Estimated personal expenses:      |   $55.00   |   $55.00   |   $55.00   
Transportation expenses:          |  $607.00   |  $607.00   |  $607.00   
Estimated Total In-state:         | $30,698.00 | $26,164.00 | $25,064.00 
Estimated Total Out-of-state:     | $30,698.00 | $26,164.00 | $25,064.00 ","Main Address
818 Dunwoody Blvd
Minneapolis, MN 55403-1141
www.dunwoody.edu"
Gustavus Adolphus College,"Quick Facts
Regular Application Deadline : April 1
Percentage of students graduating within 6 years : 78.0%
First-time degree-seeking freshmen : 642
Percentage of financial need met (average) : 96.0%
Average financial aid package : $44,514.00
In-State Tuition : $48,770.00
Out-of-State Tuition : $48,770.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,25 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,957
Admitted :   3,432
Enrolled :   642
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Apr 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $48,770.00 | $48,770.00 | $48,770.00 
Out-of-state tuition and fees:    | $48,770.00 | $48,770.00 | $48,770.00 
Room and board:                   | $10,430.00 |     --     |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |  $640.00   |  $640.00   |  $640.00   
Transportation expenses:          |  $300.00   |  $300.00   |  $300.00   
Estimated Total In-state:         | $61,040.00 | $50,610.00 | $50,610.00 
Estimated Total Out-of-state:     | $61,040.00 | $50,610.00 | $50,610.00 ","Main Address
800 W College Ave
Saint Peter, MN 56082-1485
https://gustavus.edu/"
Hamline University,"Quick Facts
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 2,088
First-time degree-seeking freshmen : 547
Percentage of financial need met (average) : 83.0%
Average financial aid package : $33,954.00
In-State Tuition : $44,230.00
Out-of-State Tuition : $44,230.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $225,980.00
Number of enrolled international undergraduates received aid:  12
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1000 - 1260,19 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,602
Admitted :   3,117
Enrolled :   547
Somewhat selective 68.0% of applicants admitted
Applied early admission :   28
Admitted early admission :   26
Applied early action :   1,959
Admitted early action :   1,501
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   Jan 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   --
Early decision application due :   Nov 1
College will notify student of early decision by :   Nov 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $44,230.00 | $44,230.00 | $44,230.00 
Out-of-state tuition and fees:    | $44,230.00 | $44,230.00 | $44,230.00 
Room and board:                   | $10,810.00 |     --     |     --     
Books and supplies:               |  $690.00   |  $690.00   |  $690.00   
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $55,730.00 | $44,920.00 | $44,920.00 
Estimated Total Out-of-state:     | $55,730.00 | $44,920.00 | $44,920.00 ","Main Address
1536 Hewitt Ave
Saint Paul, MN 55104-1205
www.hamline.edu"
