Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Alcorn State University,"Quick Facts
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 3,068
First-time degree-seeking freshmen : 524
In-State Tuition : $7,907.00
Out-of-State Tuition : $7,907.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,17 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,236
Admitted :   3,049
Enrolled :   524
Somewhat selective 58.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,907.00  | $7,907.00  | $7,907.00  
Out-of-state tuition and fees:    | $7,907.00  | $7,907.00  | $7,907.00  
Room and board:                   | $9,993.00  | $9,993.00  | $3,427.00  
Books and supplies:               | $1,586.00  | $1,586.00  | $1,586.00  
Estimated personal expenses:      | $2,644.00  | $2,978.00  | $2,644.00  
Transportation expenses:          | $2,372.00  | $3,788.00  | $2,372.00  
Estimated Total In-state:         | $24,502.00 | $26,252.00 | $17,936.00 
Estimated Total Out-of-state:     | $24,502.00 | $26,252.00 | $17,936.00 ","Main Address
1000 Alcorn Dr Ste 359
Lorman, MS 39096-7500
www.alcorn.edu"
Belhaven University,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 2,404
First-time degree-seeking freshmen : 198
Percentage of financial need met (average) : 68.0%
Average financial aid package : $22,220.00
In-State Tuition : $27,025.00
Out-of-State Tuition : $27,025.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1038 - 1226,22 - 26,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,698
Admitted :   839
Enrolled :   198
Very selective 49.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,025.00 | $27,025.00 | $27,025.00 
Out-of-state tuition and fees:    | $27,025.00 | $27,025.00 | $27,025.00 
Room and board:                   | $8,800.00  | $6,000.00  | $4,000.00  
Books and supplies:               |  $650.00   |  $650.00   |  $650.00   
Estimated personal expenses:      |  $750.00   |  $750.00   |  $750.00   
Transportation expenses:          | $1,250.00  |  $800.00   |  $800.00   
Estimated Total In-state:         | $38,475.00 | $35,225.00 | $33,225.00 
Estimated Total Out-of-state:     | $38,475.00 | $35,225.00 | $33,225.00 ","Main Address
1500 Peachtree St
Jackson, MS 39202-1754
www.belhaven.edu"
Blue Mountain College,"Quick Facts
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 801
First-time degree-seeking freshmen : 113
Percentage of financial need met (average) : 65.0%
Average financial aid package : $13,564.00
In-State Tuition : $15,800.00
Out-of-State Tuition : $15,800.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $291,683.00
Number of enrolled international undergraduates received aid:  22
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1200,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   233
Admitted :   223
Enrolled :   113
Less selective 96.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $15,800.00 | $15,800.00 | $15,800.00 
Out-of-state tuition and fees:    | $15,800.00 | $15,800.00 | $15,800.00 
Room and board:                   | $7,800.00  | $7,100.00  | $2,900.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,425.00  | $2,140.00  | $2,140.00  
Estimated Total In-state:         | $28,225.00 | $28,240.00 | $24,040.00 
Estimated Total Out-of-state:     | $28,225.00 | $28,240.00 | $24,040.00 ","Main Address
201 W Main St
Blue Mountain, MS 38610-9220
www.bmc.edu"
Delta State University,"Quick Facts
Percentage of students graduating within 6 years : 39.0%
Total undergraduates : 3,109
First-time degree-seeking freshmen : 290
Average financial aid package : $10,250.00
In-State Tuition : $8,121.00
Out-of-State Tuition : $8,121.00","Setting
Large Town (10-50k)
Rural
Commuter campus
Other Characteristics
Nursing school, Delta Music Institute","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $570,852.00
Number of enrolled international undergraduates received aid:  94
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",980 - 1250,18 - 24,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,072
Admitted :   1,008
Enrolled :   290
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   Aug 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,121.00  | $8,121.00  | $8,121.00  
Out-of-state tuition and fees:    | $8,121.00  | $8,121.00  | $8,121.00  
Room and board:                   | $7,985.00  | $5,908.00  | $1,378.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,800.00  | $2,700.00  | $2,000.00  
Estimated Total In-state:         | $21,406.00 | $20,229.00 | $14,999.00 
Estimated Total Out-of-state:     | $21,406.00 | $20,229.00 | $14,999.00 ","Main Address
1003 W Sunflower Rd
Cleveland, MS 38733-0001
www.deltastate.edu"
Jackson State University,"Quick Facts
Regular Application Deadline : September 3
Percentage of students graduating within 6 years : 38.0%
Total undergraduates : 5,152
First-time degree-seeking freshmen : 854
Percentage of financial need met (average) : 55.0%
Average financial aid package : $12,720.00
In-State Tuition : $8,445.00
Out-of-State Tuition : $9,445.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",880 - 1080,17 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   8,396
Admitted :   5,666
Enrolled :   854
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Sep 3
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   Mar 12
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,445.00  | $8,445.00  | $8,445.00  
Out-of-state tuition and fees:    | $9,445.00  | $9,445.00  | $9,445.00  
Room and board:                   | $10,445.00 | $1,400.00  |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          | $1,050.00  |     --     | $1,875.00  
Estimated Total In-state:         | $21,340.00 | $11,245.00 | $11,720.00 
Estimated Total Out-of-state:     | $22,340.00 | $12,245.00 | $12,720.00 ","Main Address
1400 John R Lynch St
Jackson, MS 39217-0002
www.jsums.edu"
Millsaps College,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 780
First-time degree-seeking freshmen : 203
Percentage of financial need met (average) : 79.0%
Average financial aid package : $38,746.00
In-State Tuition : $41,314.00
Out-of-State Tuition : $41,314.00","Setting
Large City (250-500k)
Urban
Residential campus",Financial Aid,1080 - 1290,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,223
Admitted :   3,594
Enrolled :   203
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   Oct 15 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $41,314.00 | $41,314.00 | $41,314.00 
Out-of-state tuition and fees:    | $41,314.00 | $41,314.00 | $41,314.00 
Room and board:                   | $14,210.00 |     --     | $4,920.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,100.00  | $1,100.00  | $1,100.00  
Transportation expenses:          |  $650.00   |  $802.00   |  $802.00   
Estimated Total In-state:         | $58,474.00 | $44,416.00 | $49,336.00 
Estimated Total Out-of-state:     | $58,474.00 | $44,416.00 | $49,336.00 ","Main Address
1701 N State St
Jackson, MS 39210-0002
www.millsaps.edu"
Mississippi College,"Quick Facts
Total undergraduates : 3,242
In-State Tuition : $19,308.00
Out-of-State Tuition : $19,308.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,308.00 | $19,308.00 | $19,308.00 
Out-of-state tuition and fees:    | $19,308.00 | $19,308.00 | $19,308.00 
Room and board:                   | $10,950.00 | $10,714.00 | $2,014.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $2,440.00  | $2,439.00  | $2,439.00  
Transportation expenses:          | $1,839.00  | $1,978.00  | $1,978.00  
Estimated Total In-state:         | $35,937.00 | $35,839.00 | $27,139.00 
Estimated Total Out-of-state:     | $35,937.00 | $35,839.00 | $27,139.00 ","Main Address
200 Capitol St
Clinton, MS 39056-4026
www.mc.edu"
Mississippi State University,"Quick Facts
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 18,792
First-time degree-seeking freshmen : 3,500
Percentage of financial need met (average) : 56.0%
Average financial aid package : $16,164.00
In-State Tuition : $8,910.00
Out-of-State Tuition : $23,950.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Branch campus located in Meridian; extension offices in all 82 counties; branch experiment stations and research units in 15 locations.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $716,358.00
Number of enrolled international undergraduates received aid:  174",1070 - 1280,22 - 30,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   18,269
Admitted :   12,113
Enrolled :   3,500
Somewhat selective 66.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Apr 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,910.00  | $8,910.00  | $8,910.00  
Out-of-state tuition and fees:    | $23,950.00 | $23,950.00 | $23,950.00 
Room and board:                   | $10,478.00 | $10,141.00 | $3,701.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $3,102.00  | $3,102.00  | $3,102.00  
Transportation expenses:          | $2,480.00  | $2,256.00  | $2,480.00  
Estimated Total In-state:         | $26,170.00 | $25,609.00 | $19,393.00 
Estimated Total Out-of-state:     | $41,210.00 | $40,649.00 | $34,433.00 ","Main Address
PO Box 6334
Mississippi State, MS 39762-6334
www.msstate.edu"
Mississippi University for Women,"Quick Facts
Total undergraduates : 2,577
In-State Tuition : $7,525.00
Out-of-State Tuition : $7,525.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,525.00  | $7,525.00  | $7,525.00  
Out-of-state tuition and fees:    | $7,525.00  | $7,525.00  | $7,525.00  
Room and board:                   | $7,648.00  | $3,400.00  | $1,000.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          | $1,575.00  | $1,575.00  | $1,575.00  
Estimated Total In-state:         | $19,448.00 | $15,200.00 | $12,800.00 
Estimated Total Out-of-state:     | $19,448.00 | $15,200.00 | $12,800.00 ","Main Address
1100 College Street, MUW-160
Columbus, MS 39701-5821
www.muw.edu"
Mississippi Valley State University,"Quick Facts
Percentage of students graduating within 6 years : 32.0%
Total undergraduates : 1,833
First-time degree-seeking freshmen : 333
In-State Tuition : $6,746.00
Out-of-State Tuition : $6,746.00","Setting
Small Town (2,500-10k)
Rural
Commuter campus",Financial Aid,No information,16 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,837
Admitted :   2,546
Enrolled :   333
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,746.00  | $6,746.00  | $6,746.00  
Out-of-state tuition and fees:    | $6,746.00  | $6,746.00  | $6,746.00  
Room and board:                   | $7,437.00  | $7,815.00  | $1,670.00  
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      | $5,360.00  | $5,360.00  | $5,360.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $22,543.00 | $22,921.00 | $16,776.00 
Estimated Total Out-of-state:     | $22,543.00 | $22,921.00 | $16,776.00 ","Main Address
14000 Highway 82 W
Itta Bena, MS 38941-1400
www.mvsu.edu"
