Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Avila University,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 1,154
First-time degree-seeking freshmen : 153
Percentage of financial need met (average) : 47.0%
Average financial aid package : $19,547.00
In-State Tuition : $21,115.00
Out-of-State Tuition : $21,115.00","Setting
Very Large City (>500k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $21,115.00 | $21,115.00 | $21,115.00 
Out-of-state tuition and fees:    | $21,115.00 | $21,115.00 | $21,115.00 
Room and board:                   | $7,400.00  | $7,400.00  |     --     
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $2,070.00  | $2,100.00  | $2,100.00  
Transportation expenses:          |  $940.00   | $2,522.00  | $2,522.00  
Estimated Total In-state:         | $33,125.00 | $34,737.00 | $27,337.00 
Estimated Total Out-of-state:     | $33,125.00 | $34,737.00 | $27,337.00 ","Main Address
11901 Wornall Rd
Kansas City, MO 64145-1007
www.avila.edu"
Baptist Bible College,"Quick Facts
Total undergraduates : 268
In-State Tuition : $14,490.00
Out-of-State Tuition : $14,490.00","Setting
Small City (50-250k)
Urban
Residential campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,490.00 | $14,490.00 | $14,490.00 
Out-of-state tuition and fees:    | $14,490.00 | $14,490.00 | $14,490.00 
Room and board:                   | $7,500.00  |     --     |     --     
Books and supplies:               |  $600.00   |  $600.00   |  $600.00   
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $22,590.00 | $15,090.00 | $15,090.00 
Estimated Total Out-of-state:     | $22,590.00 | $15,090.00 | $15,090.00 ","Main Address
628 E Kearney St
Springfield, MO 65803-3426
www.gobbc.edu"
Central Methodist University,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 45.0%
Total undergraduates : 1,145
First-time degree-seeking freshmen : 321
Percentage of financial need met (average) : 69.0%
Average financial aid package : $21,279.00
In-State Tuition : $25,770.00
Out-of-State Tuition : $25,770.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,490,676.00
Number of enrolled international undergraduates received aid:  69
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",940 - 1110,19 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,486
Admitted :   1,397
Enrolled :   321
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 1
Regular application due:   Aug 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,770.00 | $25,770.00 | $25,770.00 
Out-of-state tuition and fees:    | $25,770.00 | $25,770.00 | $25,770.00 
Room and board:                   | $8,400.00  | $4,800.00  | $2,000.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $4,238.00  | $4,238.00  | $4,238.00  
Transportation expenses:          | $2,324.00  | $2,324.00  | $2,324.00  
Estimated Total In-state:         | $41,732.00 | $38,132.00 | $35,332.00 
Estimated Total Out-of-state:     | $41,732.00 | $38,132.00 | $35,332.00 ","Main Address
411 Central Methodist Square
Fayette, MO 65248-1104
www.centralmethodist.edu"
College of the Ozarks,"Quick Facts
Regular Application Deadline : July 31
Percentage of students graduating within 6 years : 71.0%
Total undergraduates : 1,546
First-time degree-seeking freshmen : 255
Percentage of financial need met (average) : 84.0%
Average financial aid package : $19,200.00
In-State Tuition : $19,960.00
Out-of-State Tuition : $19,960.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $556,800.00
Number of enrolled international undergraduates received aid:  29
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1190,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,027
Admitted :   273
Enrolled :   249
Most selective 9.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   464
Number accepting place :   454
Accepted from list :   54
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 31
Regular application due:   Jul 31
Priority application due :   Dec 31
College will notify student of admission :  Jul 31
Student must reply to acceptance by :   --
Housing deposit due :   Feb 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,960.00 | $19,960.00 | $19,960.00 
Out-of-state tuition and fees:    | $19,960.00 | $19,960.00 | $19,960.00 
Room and board:                   | $7,900.00  | $7,668.00  | $2,850.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      |  $500.00   |  $500.00   |  $500.00   
Transportation expenses:          | $1,202.00  | $1,822.00  | $1,822.00  
Estimated Total In-state:         | $30,662.00 | $31,050.00 | $26,232.00 
Estimated Total Out-of-state:     | $30,662.00 | $31,050.00 | $26,232.00 ","Main Address
100 Opportunity Avenue
Point Lookout, MO 65726
www.cofo.edu"
Columbia College 3060,"Quick Facts
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 951
First-time degree-seeking freshmen : 141
Percentage of financial need met (average) : 70.0%
Average financial aid package : $18,638.00
In-State Tuition : $24,320.00
Out-of-State Tuition : $24,320.00","Setting
Small City (50-250k)
Urban
Commuter campus
Other Characteristics
More than 30 locations in United States and Cuba.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,176,459.00
Number of enrolled international undergraduates received aid:  58",960 - 1203,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   2,390
Admitted :   1,054
Enrolled :   141
Very selective 44.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $24,320.00 | $24,320.00 | $24,320.00 
Out-of-state tuition and fees:    | $24,320.00 | $24,320.00 | $24,320.00 
Room and board:                   | $8,500.00  | $8,500.00  |     --     
Books and supplies:               | $1,238.00  | $1,238.00  | $1,238.00  
Estimated personal expenses:      | $2,624.00  | $2,624.00  | $2,624.00  
Transportation expenses:          | $1,920.00  | $1,920.00  | $1,920.00  
Estimated Total In-state:         | $38,602.00 | $38,602.00 | $30,102.00 
Estimated Total Out-of-state:     | $38,602.00 | $38,602.00 | $30,102.00 ","Main Address
1001 Rogers St
Columbia, MO 65216-1000
www.ccis.edu"
Cottey College,"Quick Facts
Total undergraduates : 256
First-time degree-seeking freshmen : 84
Percentage of financial need met (average) : 78.0%
Average financial aid package : $20,780.00
In-State Tuition : $22,770.00
Out-of-State Tuition : $22,770.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
College owned and supported by women for women.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",930 - 1220,19 - 24,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   572
Admitted :   263
Enrolled :   84
Very selective 46.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,770.00 | $22,770.00 | $22,770.00 
Out-of-state tuition and fees:    | $22,770.00 | $22,770.00 | $22,770.00 
Room and board:                   | $7,800.00  | $7,380.00  | $2,430.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $1,494.00  | $1,494.00  | $1,494.00  
Transportation expenses:          | $1,150.00  | $1,150.00  | $1,100.00  
Estimated Total In-state:         | $34,314.00 | $33,894.00 | $28,894.00 
Estimated Total Out-of-state:     | $34,314.00 | $33,894.00 | $28,894.00 ","Main Address
1000 West Austin Boulevard
Nevada, MO 64772-2763
www.cottey.edu"
Cox College,"Quick Facts
Total undergraduates : 735","Setting
Small City (50-250k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        |     --     |     --     |     --     
Out-of-state tuition and fees:    |     --     |     --     |     --     
Room only:                        |     --     |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         |   $0.00    |   $0.00    |   $0.00    
Estimated Total Out-of-state:     |   $0.00    |   $0.00    |   $0.00    ","Main Address
1423 N Jefferson Ave
Springfield, MO 65802-1917
www.coxcollege.edu"
Culver-Stockton College,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 971
First-time degree-seeking freshmen : 254
Percentage of financial need met (average) : 71.0%
Average financial aid package : $19,484.00
In-State Tuition : $27,740.00
Out-of-State Tuition : $27,740.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $700,116.00
Number of enrolled international undergraduates received aid:  41",910 - 1080,18 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,277
Admitted :   1,710
Enrolled :   256
Somewhat selective 52.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,740.00 | $27,740.00 | $27,740.00 
Out-of-state tuition and fees:    | $27,740.00 | $27,740.00 | $27,740.00 
Room and board:                   | $8,865.00  | $9,168.00  | $1,311.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      |  $400.00   |  $400.00   |  $400.00   
Transportation expenses:          | $3,296.00  | $4,790.00  | $4,790.00  
Estimated Total In-state:         | $41,401.00 | $43,198.00 | $35,341.00 
Estimated Total Out-of-state:     | $41,401.00 | $43,198.00 | $35,341.00 ","Main Address
1 College Hl
Canton, MO 63435-1257
www.culver.edu"
Drury University,"Quick Facts
Regular Application Deadline : August 30
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 1,478
First-time degree-seeking freshmen : 343
Percentage of financial need met (average) : 78.0%
Average financial aid package : $24,205.00
In-State Tuition : $30,915.00
Out-of-State Tuition : $30,915.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,060,010.00
Number of enrolled international undergraduates received aid:  94",1040 - 1220,22 - 28,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,664
Admitted :   1,072
Enrolled :   343
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 30
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 6 week(s) if notified after May 1st)
Housing deposit due :   Aug 30",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,915.00 | $30,915.00 | $30,915.00 
Out-of-state tuition and fees:    | $30,915.00 | $30,915.00 | $30,915.00 
Room and board:                   | $9,355.00  | $10,278.00 | $3,278.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          | $1,700.00  | $1,700.00  | $1,700.00  
Estimated Total In-state:         | $44,670.00 | $45,593.00 | $38,593.00 
Estimated Total Out-of-state:     | $44,670.00 | $45,593.00 | $38,593.00 ","Main Address
900 N Benton Ave
Springfield, MO 65802-3712
www.drury.edu"
Evangel University,"Quick Facts
Total undergraduates : 1,793
First-time degree-seeking freshmen : 443
Percentage of financial need met (average) : 64.0%
Average financial aid package : $17,342.00
In-State Tuition : $25,037.00
Out-of-State Tuition : $25,037.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $273,770.00
Number of enrolled international undergraduates received aid:  14",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   1,249
Admitted :   920
Enrolled :   388
Somewhat selective 74.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,037.00 | $25,037.00 | $25,037.00 
Out-of-state tuition and fees:    | $25,037.00 | $25,037.00 | $25,037.00 
Room and board:                   | $8,776.00  | $5,310.00  |     --     
Books and supplies:               | $1,188.00  | $1,188.00  | $1,188.00  
Estimated personal expenses:      | $2,620.00  | $2,620.00  | $2,620.00  
Transportation expenses:          | $1,614.00  | $2,016.00  | $2,016.00  
Estimated Total In-state:         | $39,235.00 | $36,171.00 | $30,861.00 
Estimated Total Out-of-state:     | $39,235.00 | $36,171.00 | $30,861.00 ","Main Address
1111 N Glenstone Ave
Springfield, MO 65802-2125
www.evangel.edu"
