Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bellevue University,"Quick Facts
Total undergraduates : 5,744
In-State Tuition : $9,420.00
Out-of-State Tuition : $9,420.00","Setting
Large City (250-500k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,420.00  | $9,420.00  | $9,420.00  
Out-of-state tuition and fees:    | $9,420.00  | $9,420.00  | $9,420.00  
Room and board:                   | $9,090.00  | $10,350.00 | $10,350.00 
Books and supplies:               | $1,350.00  | $1,350.00  | $1,350.00  
Estimated personal expenses:      |     --     | $2,700.00  | $2,700.00  
Transportation expenses:          |     --     |  $900.00   |  $900.00   
Estimated Total In-state:         | $19,860.00 | $24,720.00 | $24,720.00 
Estimated Total Out-of-state:     | $19,860.00 | $24,720.00 | $24,720.00 ","Main Address
1000 Galvin Rd S
Bellevue, NE 68005-3058
www.bellevue.edu"
Bryan College of Health Sciences,"Quick Facts
Total undergraduates : 567
In-State Tuition : $18,835.00
Out-of-State Tuition : $18,835.00","Setting
Large City (250-500k)
Suburban
Commuter campus
Other Characteristics
Affiliation with Bryan Health Medical Center and William Jennings Bryan home and museum.","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,835.00 | $18,835.00 | $18,835.00 
Out-of-state tuition and fees:    | $18,835.00 | $18,835.00 | $18,835.00 
Room only:                        |     --     | $10,341.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |     --     |     --     | $6,417.00  
Transportation expenses:          |     --     | $1,035.00  | $1,035.00  
Estimated Total In-state:         | $20,035.00 | $31,411.00 | $27,487.00 
Estimated Total Out-of-state:     | $20,035.00 | $31,411.00 | $27,487.00 ","Main Address
1535 S 52nd St
Lincoln, NE 68506-1304
www.bryanhealthcollege.edu"
Chadron State College,"Quick Facts
Total undergraduates : 2,155
In-State Tuition : $7,652.00
Out-of-State Tuition : $7,652.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Limited distance education classes and programs offered online and at Scottsbluff, Alliance, Sidney, and throughout western Nebraska and eastern Wyoming.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $15.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,652.00  | $7,652.00  | $7,652.00  
Out-of-state tuition and fees:    | $7,652.00  | $7,652.00  | $7,652.00  
Room and board:                   | $8,290.00  |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,680.00  | $1,680.00  | $1,680.00  
Transportation expenses:          | $1,250.00  | $1,250.00  | $1,250.00  
Estimated Total In-state:         | $20,072.00 | $11,782.00 | $11,782.00 
Estimated Total Out-of-state:     | $20,072.00 | $11,782.00 | $11,782.00 ","Main Address
1000 Main St
Chadron, NE 69337-2667
www.csc.edu"
Clarkson College,"Quick Facts
Total undergraduates : 687
In-State Tuition : $17,460.00
Out-of-State Tuition : $17,460.00","Setting
Large City (250-500k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $35.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   Jun 30",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,460.00 | $17,460.00 | $17,460.00 
Out-of-state tuition and fees:    | $17,460.00 | $17,460.00 | $17,460.00 
Room and board:                   | $7,284.00  | $8,400.00  | $4,400.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $2,800.00  | $2,800.00  | $2,800.00  
Transportation expenses:          | $1,450.00  | $1,450.00  | $1,450.00  
Estimated Total In-state:         | $30,394.00 | $31,510.00 | $27,510.00 
Estimated Total Out-of-state:     | $30,394.00 | $31,510.00 | $27,510.00 ","Main Address
101 S 42nd St
Omaha, NE 68131-2715
www.clarksoncollege.edu"
College of Saint Mary,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 758
First-time degree-seeking freshmen : 105
Percentage of financial need met (average) : 87.0%
Average financial aid package : $19,553.00
In-State Tuition : $21,370.00
Out-of-State Tuition : $21,370.00","Setting
Large City (250-500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $70,250.00
Number of enrolled international undergraduates received aid:  5
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,20 - 21,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   481
Admitted :   237
Enrolled :   105
Very selective 49.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $21,370.00 | $21,370.00 | $21,370.00 
Out-of-state tuition and fees:    | $21,370.00 | $21,370.00 | $21,370.00 
Room and board:                   | $8,000.00  | $10,738.00 | $3,706.00  
Books and supplies:               |  $864.00   |  $864.00   |  $864.00   
Estimated personal expenses:      | $1,404.00  | $1,540.00  | $1,544.00  
Transportation expenses:          | $1,582.00  | $2,180.00  | $2,964.00  
Estimated Total In-state:         | $33,220.00 | $36,692.00 | $30,448.00 
Estimated Total Out-of-state:     | $33,220.00 | $36,692.00 | $30,448.00 ","Main Address
7000 Mercy Rd
Omaha, NE 68106-2606
www.csm.edu"
Concordia University Nebraska,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 2,226
First-time degree-seeking freshmen : 291
Percentage of financial need met (average) : 77.0%
Average financial aid package : $27,009.00
In-State Tuition : $34,800.00
Out-of-State Tuition : $34,800.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1060 - 1350,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,663
Admitted :   1,311
Enrolled :   292
Less selective 79.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 1
Priority application due :   Jul 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,800.00 | $34,800.00 | $34,800.00 
Out-of-state tuition and fees:    | $34,800.00 | $34,800.00 | $34,800.00 
Room and board:                   | $9,240.00  | $9,240.00  | $3,585.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,595.00  | $1,595.00  |  $880.00   
Transportation expenses:          |  $960.00   |  $960.00   |  $960.00   
Estimated Total In-state:         | $47,595.00 | $47,595.00 | $41,225.00 
Estimated Total Out-of-state:     | $47,595.00 | $47,595.00 | $41,225.00 ","Main Address
800 North Columbia Avenue
Seward, NE 68434-1556
www.cune.edu"
Creighton University,"Quick Facts
Percentage of students graduating within 6 years : 81.0%
Total undergraduates : 4,472
First-time degree-seeking freshmen : 1,076
Percentage of financial need met (average) : 84.0%
Average financial aid package : $30,787.00
In-State Tuition : $43,018.00
Out-of-State Tuition : $43,018.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,340,828.00
Number of enrolled international undergraduates received aid:  84
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1170 - 1350,23 - 29,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   9,381
Admitted :   6,915
Enrolled :   1,076
Somewhat selective 74.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   5,432
Admitted early action :   4,711
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   244
Number accepting place :   47
Accepted from list :   28
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,018.00 | $43,018.00 | $43,018.00 
Out-of-state tuition and fees:    | $43,018.00 | $43,018.00 | $43,018.00 
Room and board:                   | $11,600.00 | $11,600.00 | $2,500.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $58,618.00 | $58,618.00 | $49,518.00 
Estimated Total Out-of-state:     | $58,618.00 | $58,618.00 | $49,518.00 ","Main Address
2500 California Plz
Omaha, NE 68178-0133
www.creighton.edu"
Doane University,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 1,002
First-time degree-seeking freshmen : 314
Percentage of financial need met (average) : 93.0%
Average financial aid package : $30,107.00
In-State Tuition : $37,000.00
Out-of-State Tuition : $37,000.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Campuses also in Lincoln, Grand Island, Omaha and online.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $528,885.00
Number of enrolled international undergraduates received aid:  23
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,20 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,117
Admitted :   1,511
Enrolled :   314
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,000.00 | $37,000.00 | $37,000.00 
Out-of-state tuition and fees:    | $37,000.00 | $37,000.00 | $37,000.00 
Room and board:                   | $10,100.00 | $10,100.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     | $1,870.00  |     --     
Transportation expenses:          |     --     | $1,500.00  |     --     
Estimated Total In-state:         | $48,100.00 | $51,470.00 | $38,000.00 
Estimated Total Out-of-state:     | $48,100.00 | $51,470.00 | $38,000.00 ","Main Address
1014 Boswell Avenue
Crete, NE 68333-2426
www.doane.edu"
Hastings College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 59.0%
Total undergraduates : 968
First-time degree-seeking freshmen : 316
Percentage of financial need met (average) : 81.0%
Average financial aid package : $26,400.00
In-State Tuition : $32,770.00
Out-of-State Tuition : $32,770.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Included in the cost of attendance: All students receive an iPad, all books are included, and all students are given the opportunity to study abroad for two weeks during their sophomore year.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,18 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,893
Admitted :   1,265
Enrolled :   320
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 1
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,770.00 | $32,770.00 | $32,770.00 
Out-of-state tuition and fees:    | $32,770.00 | $32,770.00 | $32,770.00 
Room and board:                   | $10,290.00 | $9,290.00  | $4,300.00  
Books and supplies:               |  $100.00   |  $100.00   |  $100.00   
Estimated personal expenses:      | $3,036.00  | $3,036.00  | $3,036.00  
Transportation expenses:          |  $958.00   |  $958.00   |  $958.00   
Estimated Total In-state:         | $47,154.00 | $46,154.00 | $41,164.00 
Estimated Total Out-of-state:     | $47,154.00 | $46,154.00 | $41,164.00 ","Main Address
710 N Turner Ave
Hastings, NE 68901-7621
www.hastings.edu"
Midland University,"Quick Facts
Total undergraduates : 1,663
First-time degree-seeking freshmen : 317
In-State Tuition : $35,528.00
Out-of-State Tuition : $35,528.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,528.00 | $35,528.00 | $35,528.00 
Out-of-state tuition and fees:    | $35,528.00 | $35,528.00 | $35,528.00 
Room and board:                   | $9,412.00  |     --     |     --     
Books and supplies:               | $1,020.00  | $1,020.00  | $1,020.00  
Estimated personal expenses:      | $1,662.00  | $9,700.00  | $3,300.00  
Transportation expenses:          |  $750.00   |  $750.00   |  $750.00   
Estimated Total In-state:         | $48,372.00 | $46,998.00 | $40,598.00 
Estimated Total Out-of-state:     | $48,372.00 | $46,998.00 | $40,598.00 ","Main Address
900 N Clarkson St
Fremont, NE 68025-4254
www.midlandu.edu"
