Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Colby-Sawyer College,"Quick Facts
Total undergraduates : 850
First-time degree-seeking freshmen : 264
In-State Tuition : $43,648.00
Out-of-State Tuition : $43,648.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1010 - 1180,20 - 24,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,086
Admitted :   2,398
Enrolled :   264
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   1,914
Admitted early action :   1,629
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 1
Regular application due:   No Regular Application Deadline
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,648.00 | $43,648.00 | $43,648.00 
Out-of-state tuition and fees:    | $43,648.00 | $43,648.00 | $43,648.00 
Room and board:                   | $14,978.00 | $14,081.00 |     --     
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $60,626.00 | $59,729.00 | $45,648.00 
Estimated Total Out-of-state:     | $60,626.00 | $59,729.00 | $45,648.00 ","Main Address
541 Main St
New London, NH 03257-7818
https://colby-sawyer.edu/"
Dartmouth College,"Quick Facts
Regular Application Deadline : January 2
Percentage of students graduating within 6 years : 95.0%
Total undergraduates : 4,459
First-time degree-seeking freshmen : 1,190
Percentage of financial need met (average) : 100.0%
Average financial aid package : $53,091.00
In-State Tuition : $60,109.00
Out-of-State Tuition : $60,109.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $17,703,993.00
Number of enrolled international undergraduates received aid:  265
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1440 - 1560,32 - 35,"General Applying Information
Application Fee:   $80.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   23,650
Admitted :   1,875
Enrolled :   1,193
Most selective 8.0% of applicants admitted
Applied early admission :   2,474
Admitted early admission :   574
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   2,151
Number accepting place :   1,381
Accepted from list :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 2
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $60,109.00 | $60,109.00 | $60,109.00 
Out-of-state tuition and fees:    | $60,109.00 | $60,109.00 | $60,109.00 
Room and board:                   | $17,022.00 | $17,022.00 | $6,600.00  
Books and supplies:               | $1,005.00  | $1,005.00  | $1,005.00  
Estimated personal expenses:      | $2,040.00  | $2,040.00  | $2,040.00  
Transportation expenses:          |  $608.00   |  $608.00   |  $608.00   
Estimated Total In-state:         | $80,784.00 | $80,784.00 | $70,362.00 
Estimated Total Out-of-state:     | $80,784.00 | $80,784.00 | $70,362.00 ","Main Address
6016 McNutt Hall
Hanover, NH 03755-3541
https://home.dartmouth.edu/"
Franklin Pierce University,"Quick Facts
Total undergraduates : 1,628
Percentage of financial need met (average) : 73.0%
Average financial aid package : $28,143.00
In-State Tuition : $40,680.00
Out-of-State Tuition : $40,680.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $40,680.00 | $40,680.00 | $40,680.00 
Out-of-state tuition and fees:    | $40,680.00 | $40,680.00 | $40,680.00 
Room and board:                   | $14,454.00 | $8,100.00  | $8,100.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |  $466.00   |  $466.00   |  $466.00   
Transportation expenses:          |  $500.00   |  $500.00   |  $500.00   
Estimated Total In-state:         | $57,300.00 | $50,946.00 | $50,946.00 
Estimated Total Out-of-state:     | $57,300.00 | $50,946.00 | $50,946.00 ","Main Address
40 University Dr
Rindge, NH 03461-5046
www.franklinpierce.edu"
Granite State College,"Quick Facts
Total undergraduates : 1,729
First-time degree-seeking freshmen : 74
Percentage of financial need met (average) : 42.0%
Average financial aid package : $7,654.00
In-State Tuition : $7,791.00
Out-of-State Tuition : $9,015.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
Granite State College degree programs are designed for working adults. The institution offers fully online degree programs and other flexible options like hybrid, evening, and weekend classes.",Financial Aid,No information,No information,Test Subjects,"Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,791.00  | $7,791.00  | $7,791.00  
Out-of-state tuition and fees:    | $9,015.00  | $9,015.00  | $9,015.00  
Room only:                        |     --     | $9,828.00  |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |     --     | $1,467.00  | $1,467.00  
Transportation expenses:          |     --     | $1,296.00  | $1,296.00  
Estimated Total In-state:         | $8,691.00  | $21,282.00 | $11,454.00 
Estimated Total Out-of-state:     | $9,915.00  | $22,506.00 | $12,678.00 ","Main Address
25 Hall Street
Concord, NH 03301
https://www.granite.edu/"
Keene State College,"Quick Facts
Regular Application Deadline : December 1
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 3,404
First-time degree-seeking freshmen : 843
Percentage of financial need met (average) : 67.0%
Average financial aid package : $13,421.00
In-State Tuition : $14,638.00
Out-of-State Tuition : $24,350.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $111,478.00
Number of enrolled international undergraduates received aid:  5
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1140,19 - 26,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   4,978
Admitted :   4,446
Enrolled :   843
Less selective 89.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Dec 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,638.00 | $14,638.00 | $14,638.00 
Out-of-state tuition and fees:    | $24,350.00 | $24,350.00 | $24,350.00 
Room and board:                   | $13,204.00 | $10,318.00 |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |  $800.00   |  $800.00   |  $800.00   
Transportation expenses:          |  $900.00   |  $950.00   |  $950.00   
Estimated Total In-state:         | $30,442.00 | $27,606.00 | $17,288.00 
Estimated Total Out-of-state:     | $40,154.00 | $37,318.00 | $27,000.00 ","Main Address
229 Main St
Keene, NH 03435-0001
https://www.keene.edu/"
New England College,"Quick Facts
Percentage of students graduating within 6 years : 39.0%
Total undergraduates : 2,195
First-time degree-seeking freshmen : 553
Percentage of financial need met (average) : 88.0%
Average financial aid package : $26,512.00
In-State Tuition : $39,648.00
Out-of-State Tuition : $39,648.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
NEC has two campuses for undergraduate and graduate programs, the main campus in Henniker, and the Manchester campus, home of the Institute of Art and Design at New England College.  Students may take courses on both campuses and ride a free shuttle that runs several times daily.  For the latest on NEC's status regarding COVID-19 check institution's website.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   10,183
Admitted :   10,179
Enrolled :   439
Less selective 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Sep 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $39,648.00 | $39,648.00 | $39,648.00 
Out-of-state tuition and fees:    | $39,648.00 | $39,648.00 | $39,648.00 
Room and board:                   | $14,534.00 | $12,000.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,750.00  | $1,750.00  | $1,750.00  
Estimated Total In-state:         | $57,932.00 | $55,398.00 | $43,398.00 
Estimated Total Out-of-state:     | $57,932.00 | $55,398.00 | $43,398.00 ","Main Address
98 Bridge St
Henniker, NH 03242-3292
https://www.nec.edu/"
Plymouth State University,"Quick Facts
Regular Application Deadline : April 1
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 3,829
First-time degree-seeking freshmen : 1,034
Percentage of financial need met (average) : 59.0%
Average financial aid package : $11,720.00
In-State Tuition : $14,490.00
Out-of-State Tuition : $23,900.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Integrated cluster learning","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $19,500.00
Number of enrolled international undergraduates received aid:  8
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,18 - 27,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   8,035
Admitted :   6,815
Enrolled :   1,035
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   Apr 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,310.00  | $2,070.00  |     --     
Transportation expenses:          | $1,060.00  | $1,900.00  |     --     
Estimated Total In-state:         | $3,670.00  | $5,270.00  | $1,300.00  
Estimated Total Out-of-state:     | $3,670.00  | $5,270.00  | $1,300.00  ","Main Address
17 High St
Plymouth, NH 03264-1595
www.plymouth.edu"
Rivier University,"Quick Facts
Percentage of students graduating within 6 years : 51.0%
Total undergraduates : 1,377
First-time degree-seeking freshmen : 240
In-State Tuition : $34,475.00
Out-of-State Tuition : $34,475.00","Setting
Small City (50-250k)
Suburban
Commuter campus
Other Characteristics
Founded by the Sisters of the Presentation of Mary Convent.","Financial Aid
International students eligible for need based aid",950 - 1110,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   1,657
Admitted :   1,240
Enrolled :   239
Somewhat selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,475.00 | $34,475.00 | $34,475.00 
Out-of-state tuition and fees:    | $34,475.00 | $34,475.00 | $34,475.00 
Room and board:                   | $14,536.00 |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,242.00  |     --     | $4,736.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $52,453.00 | $35,675.00 | $40,411.00 
Estimated Total Out-of-state:     | $52,453.00 | $35,675.00 | $40,411.00 ","Main Address
420 S Main St
Nashua, NH 03060-5042
https://www.rivier.edu/"
Saint Anselm College,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 78.0%
Total undergraduates : 2,043
First-time degree-seeking freshmen : 509
Percentage of financial need met (average) : 85.0%
Average financial aid package : $31,756.00
In-State Tuition : $43,140.00
Out-of-State Tuition : $43,140.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Founded by Order of St. Benedict.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1140 - 1300,23 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,742
Admitted :   2,813
Enrolled :   509
Less selective 75.0% of applicants admitted
Applied early admission :   33
Admitted early admission :   27
Applied early action :   2,398
Admitted early action :   1,859
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   471
Number accepting place :   111
Accepted from list :   24
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   --
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Jan 15
Early decision application due :   Dec 1
College will notify student of early decision by :   Jan 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,140.00 | $43,140.00 | $43,140.00 
Out-of-state tuition and fees:    | $43,140.00 | $43,140.00 | $43,140.00 
Room and board:                   | $15,120.00 | $10,608.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,912.00  | $2,912.00  | $2,912.00  
Transportation expenses:          |  $300.00   | $2,948.00  | $2,948.00  
Estimated Total In-state:         | $62,472.00 | $60,608.00 | $50,000.00 
Estimated Total Out-of-state:     | $62,472.00 | $60,608.00 | $50,000.00 ","Main Address
100 Saint Anselm Dr
Manchester, NH 03102-1308
https://www.anselm.edu/"
Southern New Hampshire University,"Quick Facts
Percentage of students graduating within 6 years : 67.0%
Total undergraduates : 3,043
First-time degree-seeking freshmen : 775
Percentage of financial need met (average) : 63.0%
Average financial aid package : $23,676.00
In-State Tuition : $9,980.00
Out-of-State Tuition : $9,980.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Graduate programs and continuing education centers in Manchester, Nashua, Portsmouth, Salem, Brunswick, Burlington (Vermont), and online.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,427,167.00
Number of enrolled international undergraduates received aid:  71",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,874
Admitted :   4,215
Enrolled :   776
Less selective 86.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   No Regular Application Deadline
Priority application due :   Nov 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,980.00  | $9,980.00  | $9,980.00  
Out-of-state tuition and fees:    | $9,980.00  | $9,980.00  | $9,980.00  
Room and board:                   | $12,800.00 | $10,608.00 | $1,502.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $6,424.00  | $6,424.00  | $6,424.00  
Transportation expenses:          |  $550.00   | $3,468.00  | $3,468.00  
Estimated Total In-state:         | $30,954.00 | $31,680.00 | $22,574.00 
Estimated Total Out-of-state:     | $30,954.00 | $31,680.00 | $22,574.00 ","Main Address
2500 N River Rd
Manchester, NH 03106-1018
https://www.snhu.edu/"
