Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bloomfield College,"Quick Facts
Percentage of students graduating within 6 years : 36.0%
Total undergraduates : 1,613
First-time degree-seeking freshmen : 404
In-State Tuition : $30,680.00
Out-of-State Tuition : $30,680.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",810 - 1030,14 - 20,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   4,034
Admitted :   2,848
Enrolled :   400
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   258
Admitted early action :   203
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Dec 30","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,680.00 | $30,680.00 | $30,680.00 
Out-of-state tuition and fees:    | $30,680.00 | $30,680.00 | $30,680.00 
Room and board:                   | $12,650.00 |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $43,330.00 | $30,680.00 | $30,680.00 
Estimated Total Out-of-state:     | $43,330.00 | $30,680.00 | $30,680.00 ","Main Address
467 Franklin St
Bloomfield, NJ 07003-3425
www.bloomfield.edu"
Caldwell University,"Quick Facts
Regular Application Deadline : April 1
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 1,704
First-time degree-seeking freshmen : 445
Percentage of financial need met (average) : 82.0%
Average financial aid package : $34,984.00
In-State Tuition : $36,900.00
Out-of-State Tuition : $36,900.00","Setting
Small Town (2,500-10k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $4,050,273.00
Number of enrolled international undergraduates received aid:  151",940 - 1150,17 - 23,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,527
Admitted :   3,289
Enrolled :   445
Less selective 93.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   943
Admitted early action :   849
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Apr 1
Priority application due :   Dec 1
College will notify student of admission :  Apr 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Dec 31","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,900.00 | $36,900.00 | $36,900.00 
Out-of-state tuition and fees:    | $36,900.00 | $36,900.00 | $36,900.00 
Room and board:                   | $12,760.00 | $9,000.00  | $2,600.00  
Books and supplies:               | $2,600.00  | $2,600.00  | $2,600.00  
Estimated personal expenses:      | $2,200.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,200.00  | $2,200.00  | $2,200.00  
Estimated Total In-state:         | $55,660.00 | $52,700.00 | $46,300.00 
Estimated Total Out-of-state:     | $55,660.00 | $52,700.00 | $46,300.00 ","Main Address
120 Bloomfield Ave
Caldwell, NJ 07006-5310
www.caldwell.edu"
,,,,,,,,,,
Drew University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 69.0%
Total undergraduates : 1,712
First-time degree-seeking freshmen : 400
Percentage of financial need met (average) : 83.0%
Average financial aid package : $37,650.00
In-State Tuition : $42,652.00
Out-of-State Tuition : $42,652.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Semesters on Wall Street, at the United Nations, with media giants, alongside grassroots organizers, in the contemporary art world or the theater scene.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,662,792.00
Number of enrolled international undergraduates received aid:  154
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1105 - 1300,23 - 29,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,928
Admitted :   2,805
Enrolled :   400
Somewhat selective 71.0% of applicants admitted
Applied early admission :   104
Admitted early admission :   83
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   147
Number accepting place :   47
Accepted from list :   33
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   Nov 15
College will notify student of admission :  Mar 18
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 15
College will notify student of early action admission by :   Jan 25
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $42,652.00 | $42,652.00 | $42,652.00 
Out-of-state tuition and fees:    | $42,652.00 | $42,652.00 | $42,652.00 
Room and board:                   | $15,258.00 | $15,258.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,122.00  | $2,122.00  | $2,122.00  
Transportation expenses:          |     --     | $2,560.00  | $2,560.00  
Estimated Total In-state:         | $61,232.00 | $63,792.00 | $48,534.00 
Estimated Total Out-of-state:     | $61,232.00 | $63,792.00 | $48,534.00 ","Main Address
36 Madison Ave
Madison, NJ 07940-1434
www.drew.edu"
Fairleigh Dickinson University,"Quick Facts
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 8,934
First-time degree-seeking freshmen : 1,134
Percentage of financial need met (average) : 80.0%
Average financial aid package : $45,315.00
In-State Tuition : $43,468.00
Out-of-State Tuition : $43,468.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
Additional campus at Wroxton College, England and Vancouver, Canada.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   5,762
Admitted :   5,361
Enrolled :   1,134
Less selective 93.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 30
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   --
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,468.00 | $43,468.00 | $43,468.00 
Out-of-state tuition and fees:    | $43,468.00 | $43,468.00 | $43,468.00 
Room and board:                   | $13,661.00 | $13,670.00 |     --     
Books and supplies:               | $1,230.00  | $1,230.00  | $1,230.00  
Estimated personal expenses:      | $2,856.00  | $2,856.00  | $2,856.00  
Transportation expenses:          | $1,430.00  | $2,860.00  | $2,860.00  
Estimated Total In-state:         | $62,645.00 | $64,084.00 | $50,414.00 
Estimated Total Out-of-state:     | $62,645.00 | $64,084.00 | $50,414.00 ","Main Address
1000 River Rd
Teaneck, NJ 07666-1914
www.fdu.edu"
Felician University,"Quick Facts
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 1,852
First-time degree-seeking freshmen : 382
Percentage of financial need met (average) : 74.0%
Average financial aid package : $31,961.00
In-State Tuition : $35,000.00
Out-of-State Tuition : $35,000.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
Additional campus in Rutherford. All programs spread through both campuses.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $579,683.00
Number of enrolled international undergraduates received aid:  26",900 - 1080,15 - 20,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,545
Admitted :   2,191
Enrolled :   382
Less selective 86.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 1
Regular application due:   No Regular Application Deadline
Priority application due :   Apr 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 23","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,000.00 | $35,000.00 | $35,000.00 
Out-of-state tuition and fees:    | $35,000.00 | $35,000.00 | $35,000.00 
Room and board:                   | $13,140.00 | $13,800.00 |     --     
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          | $1,100.00  | $1,780.00  | $1,780.00  
Estimated Total In-state:         | $50,540.00 | $51,880.00 | $38,080.00 
Estimated Total Out-of-state:     | $50,540.00 | $51,880.00 | $38,080.00 ","Main Address
262 S Main St
Lodi, NJ 07644-2117
www.felician.edu"
Georgian Court University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 1,793
First-time degree-seeking freshmen : 197
Percentage of financial need met (average) : 78.0%
Average financial aid package : $30,573.00
In-State Tuition : $33,640.00
Out-of-State Tuition : $33,640.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,030,784.00
Number of enrolled international undergraduates received aid:  30
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",958 - 1160,19 - 25,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,934
Admitted :   1,377
Enrolled :   197
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,640.00 | $33,640.00 | $33,640.00 
Out-of-state tuition and fees:    | $33,640.00 | $33,640.00 | $33,640.00 
Room and board:                   | $11,424.00 | $9,882.00  |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $3,100.00  | $3,100.00  | $3,100.00  
Transportation expenses:          | $1,600.00  | $1,600.00  | $1,600.00  
Estimated Total In-state:         | $50,964.00 | $49,422.00 | $39,540.00 
Estimated Total Out-of-state:     | $50,964.00 | $49,422.00 | $39,540.00 ","Main Address
900 Lakewood Ave
Lakewood, NJ 08701-2600
georgian.edu"
Kean University,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 12,120
First-time degree-seeking freshmen : 1,770
Percentage of financial need met (average) : 82.0%
Average financial aid package : $11,364.00
In-State Tuition : $12,445.00
Out-of-State Tuition : $19,621.00","Setting
Small City (50-250k)
Urban
Other Characteristics
Additional locations in Toms River, NJ and Wenzhou, China. Other instructional site: Kean Skylands in Oak Ridge, NJ.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $226,964.00
Number of enrolled international undergraduates received aid:  65",920 - 1100,17 - 23,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,540
Admitted :   6,541
Enrolled :   1,770
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   Aug 15
Priority application due :   Apr 30
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,445.00 | $12,445.00 | $12,445.00 
Out-of-state tuition and fees:    | $19,621.00 | $19,621.00 | $19,621.00 
Room and board:                   | $14,472.00 |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $26,917.00 | $12,445.00 | $12,445.00 
Estimated Total Out-of-state:     | $34,093.00 | $19,621.00 | $19,621.00 ","Main Address
1000 Morris Avenue
Union, NJ 07083
www.kean.edu"
Monmouth University,"Quick Facts
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 4,450
First-time degree-seeking freshmen : 994
Percentage of financial need met (average) : 74.0%
Average financial aid package : $30,855.00
In-State Tuition : $40,680.00
Out-of-State Tuition : $40,680.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,928,318.00
Number of enrolled international undergraduates received aid:  46",1030 - 1230,21 - 27,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   8,984
Admitted :   6,886
Enrolled :   994
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   4,810
Admitted early action :   4,427
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   376
Number accepting place :   81
Accepted from list :   15
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jan 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   --
College will notify student of early decision by :   --
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $40,680.00 | $40,680.00 | $40,680.00 
Out-of-state tuition and fees:    | $40,680.00 | $40,680.00 | $40,680.00 
Room and board:                   | $15,260.00 | $9,423.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $3,127.00  | $3,127.00  | $3,127.00  
Transportation expenses:          |  $800.00   | $1,120.00  | $1,120.00  
Estimated Total In-state:         | $60,867.00 | $55,350.00 | $45,927.00 
Estimated Total Out-of-state:     | $60,867.00 | $55,350.00 | $45,927.00 ","Main Address
400 Cedar Ave
West Long Branch, NJ 07764-1804
www.monmouth.edu"
Montclair State University,"Quick Facts
Regular Application Deadline : March 1
Percentage of students graduating within 6 years : 67.0%
Total undergraduates : 16,687
First-time degree-seeking freshmen : 3,072
Percentage of financial need met (average) : 45.0%
Average financial aid package : $10,772.00
In-State Tuition : $13,071.00
Out-of-State Tuition : $21,031.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",990 - 1180,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   12,728
Admitted :   9,713
Enrolled :   3,101
Less selective 76.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Mar 1
Priority application due :   Dec 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Dec 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,071.00 | $13,071.00 | $13,071.00 
Out-of-state tuition and fees:    | $21,031.00 | $21,031.00 | $21,031.00 
Room and board:                   | $16,193.00 | $13,068.00 | $4,590.00  
Books and supplies:               | $1,240.00  | $1,240.00  | $1,240.00  
Estimated personal expenses:      | $2,170.00  | $6,830.00  | $2,170.00  
Transportation expenses:          | $1,230.00  | $1,840.00  | $1,840.00  
Estimated Total In-state:         | $33,904.00 | $36,049.00 | $22,911.00 
Estimated Total Out-of-state:     | $41,864.00 | $44,009.00 | $30,871.00 ","Main Address
One Normal Avenue
Montclair, NJ 07043-1624
www.montclair.edu"
