Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Albany College of Pharmacy and Health Sciences,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 43.0%
Total undergraduates : 794
First-time degree-seeking freshmen : 185
Percentage of financial need met (average) : 63.0%
Average financial aid package : $20,449.00
In-State Tuition : $37,095.00
Out-of-State Tuition : $37,095.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $438,200.00
Number of enrolled international undergraduates received aid:  41",1160 - 1380,23 - 29,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   2,215
Admitted :   1,574
Enrolled :   185
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jul 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $860.00   | $1,060.00  | $1,060.00  
Transportation expenses:          |  $500.00   | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $2,360.00  | $4,060.00  | $4,060.00  
Estimated Total Out-of-state:     | $2,360.00  | $4,060.00  | $4,060.00  ","Main Address
106 New Scotland Ave
Albany, NY 12208-3425
https://www.acphs.edu/"
Alfred University,"Quick Facts
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 1,715
First-time degree-seeking freshmen : 458
Percentage of financial need met (average) : 89.0%
Average financial aid package : $31,797.00
In-State Tuition : $36,276.00
Out-of-State Tuition : $36,276.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $312,388.00
Number of enrolled international undergraduates received aid:  36
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",940 - 1180,19 - 26,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   4,272
Admitted :   2,801
Enrolled :   458
Somewhat selective 66.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Dec 1
College will notify student of early decision by :   --
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,276.00 | $36,276.00 | $36,276.00 
Out-of-state tuition and fees:    | $36,276.00 | $36,276.00 | $36,276.00 
Room and board:                   | $12,924.00 | $12,924.00 | $6,418.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,100.00  | $2,400.00  | $2,400.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $52,600.00 | $53,900.00 | $47,394.00 
Estimated Total Out-of-state:     | $52,600.00 | $53,900.00 | $47,394.00 ","Main Address
1 Saxon Dr
Alfred, NY 14802-1205
https://www.alfred.edu/"
Bard College,"Quick Facts
Percentage of students graduating within 6 years : 77.0%
Total undergraduates : 1,954
First-time degree-seeking freshmen : 482
Percentage of financial need met (average) : 82.0%
Average financial aid package : $56,536.00
In-State Tuition : $56,036.00
Out-of-State Tuition : $56,036.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $4,766,698.00
Number of enrolled international undergraduates received aid:  100
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1250 - 1420,27 - 31,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $56,036.00 | $56,036.00 | $56,036.00 
Out-of-state tuition and fees:    | $56,036.00 | $56,036.00 | $56,036.00 
Room and board:                   | $15,876.00 | $12,000.00 | $4,000.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $800.00   |  $800.00   |  $800.00   
Transportation expenses:          | $1,000.00  | $1,000.00  |  $800.00   
Estimated Total In-state:         | $74,712.00 | $70,836.00 | $62,636.00 
Estimated Total Out-of-state:     | $74,712.00 | $70,836.00 | $62,636.00 ","Main Address
30 Campus Rd
Annandale On Hudson, NY 12504-9800
www.bard.edu"
Barnard College,"Quick Facts
Regular Application Deadline : January 1
Percentage of students graduating within 6 years : 92.0%
Total undergraduates : 2,631
First-time degree-seeking freshmen : 632
Percentage of financial need met (average) : 100.0%
Average financial aid package : $5,365.00
In-State Tuition : $57,668.00
Out-of-State Tuition : $57,668.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
Cross-registration and shared facilities with Columbia University. Varsity Athletes play on Columbia teams as part of Columbia-Barnard NCAA D1 Ivy Consortium, Students receive Columbia University degrees.","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $1,172,021.00
Number of enrolled international undergraduates received aid:  17
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1340 - 1520,31 - 34,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,320
Admitted :   1,097
Enrolled :   632
Most selective 12.0% of applicants admitted
Applied early admission :   1,221
Admitted early admission :   292
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 1 week(s) if notified after May 1st)
Housing deposit due :   Jun 1","Early Decision And Action
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $57,668.00 | $57,668.00 | $57,668.00 
Out-of-state tuition and fees:    | $57,668.00 | $57,668.00 | $57,668.00 
Room and board:                   | $17,856.00 |     --     |     --     
Books and supplies:               | $1,150.00  | $1,150.00  | $1,150.00  
Estimated personal expenses:      | $1,370.00  | $1,370.00  | $1,370.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $78,044.00 | $60,188.00 | $60,188.00 
Estimated Total Out-of-state:     | $78,044.00 | $60,188.00 | $60,188.00 ","Main Address
3009 Broadway
New York, NY 10027-6909
https://barnard.edu/"
City University of New York Baruch College,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 70.0%
Total undergraduates : 15,482
First-time degree-seeking freshmen : 2,268
Percentage of financial need met (average) : 54.0%
Average financial aid package : $10,615.00
In-State Tuition : $7,461.00
Out-of-State Tuition : $19,131.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1130 - 1330,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   20,303
Admitted :   8,811
Enrolled :   2,268
Very selective 43.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 1
Regular application due:   Feb 1
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Apr 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,461.00  | $7,461.00  | $7,461.00  
Out-of-state tuition and fees:    | $19,131.00 | $19,131.00 | $19,131.00 
Room only:                        | $15,795.00 | $17,427.00 | $6,110.00  
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      | $4,533.00  | $4,533.00  | $1,772.00  
Transportation expenses:          | $1,088.00  | $1,088.00  | $1,088.00  
Estimated Total In-state:         | $30,241.00 | $31,873.00 | $17,795.00 
Estimated Total Out-of-state:     | $41,911.00 | $43,543.00 | $29,465.00 ","Main Address
1 Bernard Baruch Way
New York, NY 10010-5585
https://www.baruch.cuny.edu/"
City University of New York Brooklyn College,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 14,970
First-time degree-seeking freshmen : 1,894
Percentage of financial need met (average) : 74.0%
Average financial aid package : $10,322.00
In-State Tuition : $7,440.00
Out-of-State Tuition : $19,110.00","Setting
Very Large City (>500k)
Urban
Commuter campus",Financial Aid,1040 - 1220,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   26,973
Admitted :   12,136
Enrolled :   1,894
Very selective 45.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   1,001
Number accepting place :   281
Accepted from list :   275
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 1
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,440.00  | $7,440.00  | $7,440.00  
Out-of-state tuition and fees:    | $19,110.00 | $19,110.00 | $19,110.00 
Room only:                        |     --     | $15,577.00 | $1,232.00  
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      |     --     | $4,416.00  | $1,787.00  
Transportation expenses:          |     --     | $1,088.00  | $1,088.00  
Estimated Total In-state:         | $8,804.00  | $29,885.00 | $12,911.00 
Estimated Total Out-of-state:     | $20,474.00 | $41,555.00 | $24,581.00 ","Main Address
2900 Bedford Avenue
Brooklyn, NY 11210-2850
www.brooklyn.cuny.edu"
City University of New York College of Staten Island,"Quick Facts
Total undergraduates : 11,700
First-time degree-seeking freshmen : 2,361
Percentage of financial need met (average) : 34.0%
Average financial aid package : $8,564.00
In-State Tuition : $7,489.00
Out-of-State Tuition : $19,159.00","Setting
Large City (250-500k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $355,477.00
Number of enrolled international undergraduates received aid:  57",1010 - 1190,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   14,466
Admitted :   13,440
Enrolled :   2,361
Less selective 93.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,489.00  | $7,489.00  | $7,489.00  
Out-of-state tuition and fees:    | $19,159.00 | $19,159.00 | $19,159.00 
Room and board:                   | $19,160.00 | $17,427.00 | $1,360.00  
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      | $4,533.00  | $4,533.00  | $1,772.00  
Transportation expenses:          | $1,122.00  | $1,122.00  | $1,122.00  
Estimated Total In-state:         | $33,668.00 | $31,935.00 | $13,107.00 
Estimated Total Out-of-state:     | $45,338.00 | $43,605.00 | $24,777.00 ","Main Address
2800 Victory Blvd
Staten Island, NY 10314-6609
https://www.csi.cuny.edu/"
City University of New York Medgar Evers College,"Quick Facts
Total undergraduates : 5,798
First-time degree-seeking freshmen : 886
Percentage of financial need met (average) : 2.0%
Average financial aid package : $8,702.00
In-State Tuition : $7,250.00
Out-of-State Tuition : $18,920.00","Setting
Very Large City (>500k)
Urban
Commuter campus",Financial Aid,810 - 1000,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   13,709
Admitted :   12,369
Enrolled :   876
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,250.00  | $7,250.00  | $7,250.00  
Out-of-state tuition and fees:    | $18,920.00 | $18,920.00 | $18,920.00 
Room only:                        |     --     | $17,427.00 | $4,750.00  
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      |     --     | $4,533.00  | $3,132.00  
Transportation expenses:          |     --     | $1,122.00  | $1,122.00  
Estimated Total In-state:         | $8,614.00  | $31,696.00 | $17,618.00 
Estimated Total Out-of-state:     | $20,284.00 | $43,366.00 | $29,288.00 ","Main Address
1650 Bedford Ave Rm B2037
Brooklyn, NY 11225-2010
https://ares.mec.cuny.edu/"
City University of New York Queens College,"Quick Facts
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 16,866
First-time degree-seeking freshmen : 2,266
Percentage of financial need met (average) : 59.0%
Average financial aid package : $5,759.00
In-State Tuition : $7,538.00
Out-of-State Tuition : $19,208.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1040 - 1200,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   24,277
Admitted :   11,845
Enrolled :   2,266
Very selective 49.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,538.00  | $7,538.00  | $7,538.00  
Out-of-state tuition and fees:    | $19,208.00 | $19,208.00 | $19,208.00 
Room only:                        | $12,752.00 | $12,000.00 |     --     
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      |     --     | $1,787.00  |     --     
Transportation expenses:          |     --     | $1,088.00  | $1,088.00  
Estimated Total In-state:         | $21,654.00 | $23,777.00 | $9,990.00  
Estimated Total Out-of-state:     | $33,324.00 | $35,447.00 | $21,660.00 ","Main Address
6530 Kissena Blvd
Flushing, NY 11367-1575
https://www.qc.cuny.edu/Pages/home.aspx"
City University of New York Hunter College,"Quick Facts
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 17,121
First-time degree-seeking freshmen : 2,547
Percentage of financial need met (average) : 79.0%
Average financial aid package : $8,928.00
In-State Tuition : $7,380.00
Out-of-State Tuition : $19,050.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",1170 - 1350,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   33,750
Admitted :   11,871
Enrolled :   2,556
Very selective 35.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,380.00  | $7,380.00  | $7,380.00  
Out-of-state tuition and fees:    | $19,050.00 | $19,050.00 | $19,050.00 
Room only:                        |     --     | $14,345.00 |     --     
Books and supplies:               | $1,364.00  | $1,364.00  | $1,364.00  
Estimated personal expenses:      | $4,416.00  | $4,416.00  | $4,416.00  
Transportation expenses:          | $1,088.00  | $1,088.00  | $1,088.00  
Estimated Total In-state:         | $14,248.00 | $28,593.00 | $14,248.00 
Estimated Total Out-of-state:     | $25,918.00 | $40,263.00 | $25,918.00 ","Main Address
695 Park Ave
New York, NY 10065-5024
https://hunter.cuny.edu/"
