Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Appalachian State University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 73.0%
Total undergraduates : 17,518
First-time degree-seeking freshmen : 3,501
Percentage of financial need met (average) : 65.0%
Average financial aid package : $10,465.00
In-State Tuition : $7,410.00
Out-of-State Tuition : $22,217.00","Setting
Large Town (10-50k)
Rural
Residential campus",Financial Aid,1100 - 1270,22 - 28,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   16,664
Admitted :   12,800
Enrolled :   3,501
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   12,520
Admitted early action :   9,130
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jan 25
Regular application due:   Feb 1
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Jan 25","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,410.00  | $7,410.00  | $7,410.00  
Out-of-state tuition and fees:    | $22,217.00 | $22,217.00 | $22,217.00 
Room and board:                   | $8,752.00  | $9,624.00  | $3,792.00  
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      | $1,880.00  | $1,880.00  | $1,880.00  
Transportation expenses:          | $1,180.00  | $1,900.00  | $1,436.00  
Estimated Total In-state:         | $19,922.00 | $21,514.00 | $15,218.00 
Estimated Total Out-of-state:     | $34,729.00 | $36,321.00 | $30,025.00 ","Main Address
287 Rivers Street
Boone, NC 28608-0001
www.appstate.edu"
Barton College,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 1,065
First-time degree-seeking freshmen : 319
Percentage of financial need met (average) : 71.0%
Average financial aid package : $26,498.00
In-State Tuition : $32,590.00
Out-of-State Tuition : $32,590.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,716,222.00
Number of enrolled international undergraduates received aid:  62
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",940 - 1130,18 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,244
Admitted :   1,922
Enrolled :   319
Very selective 45.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,590.00 | $32,590.00 | $32,590.00 
Out-of-state tuition and fees:    | $32,590.00 | $32,590.00 | $32,590.00 
Room and board:                   | $10,700.00 | $9,700.00  |     --     
Books and supplies:               |  $500.00   |  $500.00   |  $500.00   
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,350.00  | $1,350.00  | $1,350.00  
Estimated Total In-state:         | $46,140.00 | $45,140.00 | $35,440.00 
Estimated Total Out-of-state:     | $46,140.00 | $45,140.00 | $35,440.00 ","Main Address
200 Atlantic Christian Col Dr NE
Wilson, NC 27893
www.barton.edu"
Belmont Abbey College,"Quick Facts
Total undergraduates : 1,554
In-State Tuition : $18,900.00
Out-of-State Tuition : $18,900.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,900.00 | $18,900.00 | $18,900.00 
Out-of-state tuition and fees:    | $18,900.00 | $18,900.00 | $18,900.00 
Room and board:                   | $10,390.00 | $7,466.00  | $8,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,100.00  | $2,700.00  | $2,700.00  
Transportation expenses:          | $1,300.00  | $1,700.00  | $1,700.00  
Estimated Total In-state:         | $33,890.00 | $31,966.00 | $32,500.00 
Estimated Total Out-of-state:     | $33,890.00 | $31,966.00 | $32,500.00 ","Main Address
100 Belmont Mount Holly Rd
Belmont, NC 28012-2702
www.belmontabbeycollege.edu"
,,,,,,,,,,
Brevard College,"Quick Facts
Total undergraduates : 751
First-time degree-seeking freshmen : 252
Percentage of financial need met (average) : 70.0%
Average financial aid package : $29,978.00
In-State Tuition : $30,250.00
Out-of-State Tuition : $30,250.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,791
Admitted :   1,219
Enrolled :   252
Very selective 44.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,250.00 | $30,250.00 | $30,250.00 
Out-of-state tuition and fees:    | $30,250.00 | $30,250.00 | $30,250.00 
Room and board:                   | $10,400.00 | $6,400.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $43,650.00 | $39,650.00 | $33,250.00 
Estimated Total Out-of-state:     | $43,650.00 | $39,650.00 | $33,250.00 ","Main Address
1 Brevard College Dr
Brevard, NC 28712-4283
www.brevard.edu"
Cabarrus College of Health Sciences,"Quick Facts
Total undergraduates : 439
First-time degree-seeking freshmen : 32
In-State Tuition : $13,996.00
Out-of-State Tuition : $13,996.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,970 - 1140,19 - 22,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   170
Admitted :   47
Enrolled :   32
Very selective 28.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   29
Number accepting place :   29
Accepted from list :   7
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,996.00 | $13,996.00 | $13,996.00 
Out-of-state tuition and fees:    | $13,996.00 | $13,996.00 | $13,996.00 
Room only:                        |     --     | $9,920.00  | $4,800.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      |     --     | $1,600.00  | $1,600.00  
Transportation expenses:          |     --     | $4,000.00  | $4,000.00  
Estimated Total In-state:         | $15,396.00 | $30,916.00 | $25,796.00 
Estimated Total Out-of-state:     | $15,396.00 | $30,916.00 | $25,796.00 ","Main Address
401 Medical Park Dr
Concord, NC 28025-3959
www.cabarruscollege.edu"
Campbell University,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 3,980
First-time degree-seeking freshmen : 742
Percentage of financial need met (average) : 68.0%
Average financial aid package : $28,409.00
In-State Tuition : $35,990.00
Out-of-State Tuition : $35,990.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",1030 - 1230,20 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,422
Admitted :   4,213
Enrolled :   742
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,990.00 | $35,990.00 | $35,990.00 
Out-of-state tuition and fees:    | $35,990.00 | $35,990.00 | $35,990.00 
Room and board:                   | $12,624.00 | $12,624.00 | $1,500.00  
Books and supplies:               |  $852.00   |  $852.00   |  $852.00   
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $1,300.00  
Transportation expenses:          | $2,000.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $53,466.00 | $53,466.00 | $41,642.00 
Estimated Total Out-of-state:     | $53,466.00 | $53,466.00 | $41,642.00 ","Main Address
143 Main Street
Buies Creek, NC 27506
www.campbell.edu"
Catawba College,"Quick Facts
Total undergraduates : 1,331
First-time degree-seeking freshmen : 347
In-State Tuition : $31,436.00
Out-of-State Tuition : $31,436.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1120,17 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,335
Admitted :   1,651
Enrolled :   343
Very selective 50.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,436.00 | $31,436.00 | $31,436.00 
Out-of-state tuition and fees:    | $31,436.00 | $31,436.00 | $31,436.00 
Room and board:                   | $10,804.00 | $9,048.00  | $4,004.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $1,661.00  | $1,661.00  | $1,661.00  
Transportation expenses:          | $1,773.00  | $1,733.00  | $1,773.00  
Estimated Total In-state:         | $47,074.00 | $45,278.00 | $40,274.00 
Estimated Total Out-of-state:     | $47,074.00 | $45,278.00 | $40,274.00 ","Main Address
2300 W Innes St
Salisbury, NC 28144-2441
www.catawba.edu"
Chowan University,"Quick Facts
Total undergraduates : 1,259
First-time degree-seeking freshmen : 400
Percentage of financial need met (average) : 72.0%
Average financial aid package : $24,834.00
In-State Tuition : $25,880.00
Out-of-State Tuition : $25,880.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $910,080.00
Number of enrolled international undergraduates received aid:  36
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",790 - 970,14 - 17,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,788
Admitted :   2,578
Enrolled :   400
Somewhat selective 68.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,880.00 | $25,880.00 | $25,880.00 
Out-of-state tuition and fees:    | $25,880.00 | $25,880.00 | $25,880.00 
Room and board:                   | $9,600.00  | $7,000.00  | $2,250.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $764.00   |  $760.00   |  $760.00   
Transportation expenses:          |  $500.00   | $2,784.00  | $2,784.00  
Estimated Total In-state:         | $37,744.00 | $37,424.00 | $32,674.00 
Estimated Total Out-of-state:     | $37,744.00 | $37,424.00 | $32,674.00 ","Main Address
1 University Pl
Murfreesboro, NC 27855-1855
https://www.chowan.edu"
Davidson College,"Quick Facts
Regular Application Deadline : January 7
Percentage of students graduating within 6 years : 91.0%
Total undergraduates : 1,837
First-time degree-seeking freshmen : 527
Percentage of financial need met (average) : 100.0%
Average financial aid package : $51,899.00
In-State Tuition : $55,060.00
Out-of-State Tuition : $55,060.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,478,226.00
Number of enrolled international undergraduates received aid:  68
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1310 - 1485,30 - 33,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   5,982
Admitted :   1,080
Enrolled :   527
Most selective 18.0% of applicants admitted
Applied early admission :   713
Admitted early admission :   347
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 7
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 2
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,325.00  | $1,325.00  | $1,325.00  
Transportation expenses:          |  $450.00   |  $450.00   |  $450.00   
Estimated Total In-state:         | $2,775.00  | $2,775.00  | $2,775.00  
Estimated Total Out-of-state:     | $2,775.00  | $2,775.00  | $2,775.00  ","Main Address
405 N Main St
Davidson, NC 28036-9405
www.davidson.edu"
