Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bismarck State College,"Quick Facts
Total undergraduates : 3,739
First-time degree-seeking freshmen : 817
Percentage of financial need met (average) : 66.0%
Average financial aid package : $8,496.00
In-State Tuition : $5,694.00
Out-of-State Tuition : $8,102.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,17 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   943
Admitted :   941
Enrolled :   742
Less selective 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $5,694.00  | $5,694.00  | $5,694.00  
Out-of-state tuition and fees:    | $8,102.00  | $8,102.00  | $8,102.00  
Room and board:                   | $7,103.00  | $7,102.00  | $3,475.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $2,230.00  | $2,230.00  | $2,230.00  
Transportation expenses:          | $1,170.00  | $1,170.00  | $1,170.00  
Estimated Total In-state:         | $17,297.00 | $17,296.00 | $13,669.00 
Estimated Total Out-of-state:     | $19,705.00 | $19,704.00 | $16,077.00 ","Main Address
1500 Edwards Ave
Bismarck, ND 58501-1276
https://bismarckstate.edu"
Dickinson State University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 1,321
First-time degree-seeking freshmen : 202
Percentage of financial need met (average) : 64.0%
Average financial aid package : $11,598.00
In-State Tuition : $9,118.00
Out-of-State Tuition : $11,218.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $48,206.00
Number of enrolled international undergraduates received aid:  10",990 - 1150,18 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   376
Admitted :   375
Enrolled :   202
Less selective 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 1
Priority application due :   Apr 15
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,118.00  | $9,118.00  | $9,118.00  
Out-of-state tuition and fees:    | $11,218.00 | $11,218.00 | $11,218.00 
Room and board:                   | $7,486.00  | $7,486.00  |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,200.00  | $2,200.00  | $2,200.00  
Transportation expenses:          | $1,300.00  | $1,300.00  | $1,300.00  
Estimated Total In-state:         | $21,304.00 | $21,304.00 | $13,818.00 
Estimated Total Out-of-state:     | $23,404.00 | $23,404.00 | $15,918.00 ","Main Address
291 Campus Dr
Dickinson, ND 58601-4853
www.dickinsonstate.edu"
Mayville State University,"Quick Facts
Percentage of students graduating within 6 years : 45.0%
Total undergraduates : 1,187
First-time degree-seeking freshmen : 109
Percentage of financial need met (average) : 78.0%
Average financial aid package : $12,696.00
In-State Tuition : $7,381.00
Out-of-State Tuition : $10,394.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $117,766.00
Number of enrolled international undergraduates received aid:  22
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,18 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Enrolled :   109
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jan 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 25",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,400.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $4,400.00  | $4,400.00  | $4,400.00  
Estimated Total Out-of-state:     | $4,400.00  | $4,400.00  | $4,400.00  ","Main Address
330 3rd St NE
Mayville, ND 58257-1217
www.mayvillestate.edu"
Minot State University,"Quick Facts
Percentage of students graduating within 6 years : 45.0%
Total undergraduates : 2,832
First-time degree-seeking freshmen : 399
Percentage of financial need met (average) : 70.0%
Average financial aid package : $10,173.00
In-State Tuition : $7,896.00
Out-of-State Tuition : $7,896.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $468,808.00
Number of enrolled international undergraduates received aid:  177",960 - 1120,18 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   787
Admitted :   583
Enrolled :   396
Somewhat selective 74.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,896.00  | $7,896.00  | $7,896.00  
Out-of-state tuition and fees:    | $7,896.00  | $7,896.00  | $7,896.00  
Room and board:                   | $7,215.00  | $7,144.00  | $2,828.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $2,318.00  | $2,318.00  | $2,318.00  
Transportation expenses:          | $1,232.00  | $1,232.00  | $1,232.00  
Estimated Total In-state:         | $19,761.00 | $19,690.00 | $15,374.00 
Estimated Total Out-of-state:     | $19,761.00 | $19,690.00 | $15,374.00 ","Main Address
500 University Ave W
Minot, ND 58707-0001
www.minotstateu.edu"
North Dakota State University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 10,831
First-time degree-seeking freshmen : 2,218
Percentage of financial need met (average) : 70.0%
Average financial aid package : $13,398.00
In-State Tuition : $10,033.00
Out-of-State Tuition : $14,336.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $798,985.00
Number of enrolled international undergraduates received aid:  108",1040 - 1270,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   6,211
Admitted :   5,811
Enrolled :   2,218
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 15
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,033.00 | $10,033.00 | $10,033.00 
Out-of-state tuition and fees:    | $14,336.00 | $14,336.00 | $14,336.00 
Room and board:                   | $8,878.00  |     --     |     --     
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $19,711.00 | $10,833.00 | $10,833.00 
Estimated Total Out-of-state:     | $24,014.00 | $15,136.00 | $15,136.00 ","Main Address
1340 Administration Avenue
Fargo, ND 58108-6050
www.ndsu.edu"
Trinity Bible College,"Quick Facts
Total undergraduates : 191
In-State Tuition : $17,340.00
Out-of-State Tuition : $17,340.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,340.00 | $17,340.00 | $17,340.00 
Out-of-state tuition and fees:    | $17,340.00 | $17,340.00 | $17,340.00 
Room and board:                   | $6,292.00  | $4,900.00  | $3,626.00  
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,950.00  | $1,950.00  | $1,950.00  
Transportation expenses:          | $1,400.00  | $1,400.00  |  $450.00   
Estimated Total In-state:         | $27,782.00 | $26,390.00 | $24,166.00 
Estimated Total Out-of-state:     | $27,782.00 | $26,390.00 | $24,166.00 ","Main Address
50 6th Ave S
Ellendale, ND 58436-7105
www.trinitybiblecollege.edu"
University of Jamestown,"Quick Facts
Percentage of students graduating within 6 years : 46.0%
Total undergraduates : 914
First-time degree-seeking freshmen : 256
Percentage of financial need met (average) : 76.0%
Average financial aid package : $17,346.00
In-State Tuition : $23,498.00
Out-of-State Tuition : $23,498.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $960,793.00
Number of enrolled international undergraduates received aid:  79
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1120,19 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,106
Admitted :   766
Enrolled :   259
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $23,498.00 | $23,498.00 | $23,498.00 
Out-of-state tuition and fees:    | $23,498.00 | $23,498.00 | $23,498.00 
Room and board:                   | $8,316.00  | $8,316.00  | $4,316.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,600.00  | $1,600.00  | $1,600.00  
Transportation expenses:          | $1,600.00  | $1,600.00  | $1,600.00  
Estimated Total In-state:         | $36,314.00 | $36,314.00 | $32,314.00 
Estimated Total Out-of-state:     | $36,314.00 | $36,314.00 | $32,314.00 ","Main Address
6000 College Ln
Jamestown, ND 58405-0001
www.uj.edu"
University of Mary,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 2,527
First-time degree-seeking freshmen : 432
Percentage of financial need met (average) : 78.0%
Average financial aid package : $15,034.00
In-State Tuition : $19,371.00
Out-of-State Tuition : $19,371.00","Setting
Small City (50-250k)
Rural
Residential campus
Other Characteristics
Additional centers in Bismarck, Fargo, Grand Forks; Billings, Montana; Kansas City, Missouri; Phoenix, Arizona.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1042 - 1280,21 - 26,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,362
Admitted :   1,013
Enrolled :   433
Somewhat selective 74.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,371.00 | $19,371.00 | $19,371.00 
Out-of-state tuition and fees:    | $19,371.00 | $19,371.00 | $19,371.00 
Room and board:                   | $7,650.00  | $10,966.00 | $3,488.00  
Books and supplies:               | $1,286.00  | $1,286.00  | $1,286.00  
Estimated personal expenses:      | $1,232.00  | $1,232.00  | $1,232.00  
Transportation expenses:          | $1,368.00  | $1,368.00  | $1,996.00  
Estimated Total In-state:         | $30,907.00 | $34,223.00 | $27,373.00 
Estimated Total Out-of-state:     | $30,907.00 | $34,223.00 | $27,373.00 ","Main Address
7500 University Dr
Bismarck, ND 58504-9634
www.umary.edu"
University of North Dakota,"Quick Facts
Percentage of students graduating within 6 years : 61.0%
Total undergraduates : 10,163
First-time degree-seeking freshmen : 1,673
Percentage of financial need met (average) : 61.0%
Average financial aid package : $15,120.00
In-State Tuition : $10,276.00
Out-of-State Tuition : $14,546.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,356,430.00
Number of enrolled international undergraduates received aid:  91",1010 - 1250,20 - 26,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   4,964
Admitted :   4,027
Enrolled :   1,673
Less selective 81.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $10,276.00 | $10,276.00 | $10,276.00 
Out-of-state tuition and fees:    | $14,546.00 | $14,546.00 | $14,546.00 
Room and board:                   | $9,976.00  | $9,544.00  | $2,195.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,200.00  | $2,200.00  | $2,200.00  
Transportation expenses:          | $1,200.00  | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $24,652.00 | $24,220.00 | $16,871.00 
Estimated Total Out-of-state:     | $28,922.00 | $28,490.00 | $21,141.00 ","Main Address
3501 University Avenue Stop 8357
Grand Forks, ND 58202-6064
www.und.edu"
Valley City State University,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 1,524
First-time degree-seeking freshmen : 218
Percentage of financial need met (average) : 83.0%
Average financial aid package : $13,920.00
In-State Tuition : $7,942.00
Out-of-State Tuition : $12,532.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
All full-time undergraduate students are provided a laptop computer.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $113,805.00
Number of enrolled international undergraduates received aid:  16
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1090,18 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   514
Admitted :   394
Enrolled :   218
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,942.00  | $7,942.00  | $7,942.00  
Out-of-state tuition and fees:    | $12,532.00 | $12,532.00 | $12,532.00 
Room and board:                   | $6,684.00  | $6,464.00  | $4,264.00  
Books and supplies:               | $2,200.00  | $2,200.00  | $2,200.00  
Estimated personal expenses:      | $2,280.00  | $2,280.00  | $2,280.00  
Transportation expenses:          | $1,356.00  | $1,356.00  | $1,356.00  
Estimated Total In-state:         | $20,462.00 | $20,242.00 | $18,042.00 
Estimated Total Out-of-state:     | $25,052.00 | $24,832.00 | $22,632.00 ","Main Address
101 College St SW
Valley City, ND 58072-4024
www.vcsu.edu"
