Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Antioch College,"Quick Facts
Percentage of students graduating within 6 years : 78.0%
Total undergraduates : 95
First-time degree-seeking freshmen : 20
Percentage of financial need met (average) : 72.0%
Average financial aid package : $25,000.00
In-State Tuition : $37,143.00
Out-of-State Tuition : $37,143.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,17 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   218
Admitted :   178
Enrolled :   21
Less selective 82.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 2
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   --
Other early decision deadline :   Jan 2
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,143.00 | $37,143.00 | $37,143.00 
Out-of-state tuition and fees:    | $37,143.00 | $37,143.00 | $37,143.00 
Room and board:                   | $7,640.00  |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $3,500.00  |     --     |     --     
Transportation expenses:          | $1,200.00  |     --     |     --     
Estimated Total In-state:         | $50,683.00 | $38,343.00 | $38,343.00 
Estimated Total Out-of-state:     | $50,683.00 | $38,343.00 | $38,343.00 ","Main Address
1 Morgan Pl
Yellow Springs, OH 45387-1683
antiochcollege.edu/admission"
Art Academy of Cincinnati,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 212
First-time degree-seeking freshmen : 76
Percentage of financial need met (average) : 33.0%
Average financial aid package : $6,164.00
In-State Tuition : $35,844.00
Out-of-State Tuition : $35,844.00","Setting
Large City (250-500k)
Urban
Commuter campus","Financial Aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",880 - 1070,12 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,339
Admitted :   355
Enrolled :   76
Very selective 27.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,844.00 | $35,844.00 | $35,844.00 
Out-of-state tuition and fees:    | $35,844.00 | $35,844.00 | $35,844.00 
Room only:                        | $7,900.00  |     --     |     --     
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $45,244.00 | $37,344.00 | $37,344.00 
Estimated Total Out-of-state:     | $45,244.00 | $37,344.00 | $37,344.00 ","Main Address
1212 Jackson St
Cincinnati, OH 45202-7106
www.artacademy.edu"
Ashland University,"Quick Facts
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 5,826
First-time degree-seeking freshmen : 534
Percentage of financial need met (average) : 76.0%
Average financial aid package : $19,217.00
In-State Tuition : $22,540.00
Out-of-State Tuition : $22,540.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",1000 - 1190,19 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,235
Admitted :   2,988
Enrolled :   534
Somewhat selective 71.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,540.00 | $22,540.00 | $22,540.00 
Out-of-state tuition and fees:    | $22,540.00 | $22,540.00 | $22,540.00 
Room and board:                   | $10,640.00 | $10,340.00 | $2,294.00  
Books and supplies:               |  $912.00   |  $912.00   |  $912.00   
Estimated personal expenses:      | $1,802.00  | $2,730.00  | $1,802.00  
Transportation expenses:          |  $794.00   | $1,926.00  | $1,926.00  
Estimated Total In-state:         | $36,688.00 | $38,448.00 | $29,474.00 
Estimated Total Out-of-state:     | $36,688.00 | $38,448.00 | $29,474.00 ","Main Address
401 College Ave
Ashland, OH 44805-3702
www.ashland.edu"
Baldwin Wallace University,"Quick Facts
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 2,964
First-time degree-seeking freshmen : 665
Percentage of financial need met (average) : 92.0%
Average financial aid package : $28,614.00
In-State Tuition : $34,504.00
Out-of-State Tuition : $34,504.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Campus in Warrensville Heights, offering evening and Saturday classes for bachelor's and master's degrees in business, professional development and executive education.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $177,000.00
Number of enrolled international undergraduates received aid:  14
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1040 - 1250,21 - 27,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,922
Admitted :   2,851
Enrolled :   665
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 15
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,504.00 | $34,504.00 | $34,504.00 
Out-of-state tuition and fees:    | $34,504.00 | $34,504.00 | $34,504.00 
Room and board:                   | $11,946.00 | $11,264.00 |     --     
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $4,240.00  | $4,220.00  | $4,220.00  
Transportation expenses:          | $2,180.00  | $2,780.00  | $2,780.00  
Estimated Total In-state:         | $54,370.00 | $54,268.00 | $43,004.00 
Estimated Total Out-of-state:     | $54,370.00 | $54,268.00 | $43,004.00 ","Main Address
275 Eastland Rd
Berea, OH 44017-2005
www.bw.edu"
Bluffton University,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 710
First-time degree-seeking freshmen : 231
Percentage of financial need met (average) : 81.0%
Average financial aid package : $31,745.00
In-State Tuition : $34,502.00
Out-of-State Tuition : $34,502.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $571,426.00
Number of enrolled international undergraduates received aid:  21
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",840 - 1050,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,770
Admitted :   973
Enrolled :   231
Somewhat selective 55.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,502.00 | $34,502.00 | $34,502.00 
Out-of-state tuition and fees:    | $34,502.00 | $34,502.00 | $34,502.00 
Room and board:                   | $11,346.00 | $7,060.00  | $1,800.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $1,600.00  | $2,600.00  | $1,600.00  
Transportation expenses:          | $1,000.00  | $2,500.00  | $2,500.00  
Estimated Total In-state:         | $49,848.00 | $48,062.00 | $41,802.00 
Estimated Total Out-of-state:     | $49,848.00 | $48,062.00 | $41,802.00 ","Main Address
1 University Dr
Bluffton, OH 45817-2104
www.bluffton.edu"
Bowling Green State University,"Quick Facts
Regular Application Deadline : July 15
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 15,103
First-time degree-seeking freshmen : 3,389
Percentage of financial need met (average) : 79.0%
Average financial aid package : $14,447.00
In-State Tuition : $12,603.00
Out-of-State Tuition : $20,592.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
We are planning to resume face-to-face learning on our campuses this fall. We continue to work with the Centers for Disease Control and Prevention, the Ohio Department of Health and regional and local health care partners to comply with directives and guidelines to safeguard our students, faculty, staff and visitors and reduce the risk of spreading COVID-19 on our campuses. The strong partnerships we have developed with local health officials, hospitals, government and first responders will continue to be leveraged to mitigate the spread of the virus and create a safe environment for students, faculty and staff to return to in the fall. Planning to resume face-to-face in the fall will mean that our University will be different. We will balance the interactions that make a residential campus like ours so valuable with a priority of creating a safe environment. We will institute social distancing protocols and health monitoring. Dining facilities will change how they serve food and accommodate seating. Classrooms, facilities and residence halls will be frequently sanitized and monitored. We are committed to taking these actions and others to prioritize your health and safety. While it is our plan to resume face-to-face in the fall, we would comply with any state restrictions and let science and the expertise of health officials guide our decisions","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,197,557.00
Number of enrolled international undergraduates received aid:  176",1010 - 1210,20 - 25,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   17,179
Admitted :   12,338
Enrolled :   3,389
Somewhat selective 72.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   Jul 15
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   Jun 1
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,603.00 | $12,603.00 | $12,603.00 
Out-of-state tuition and fees:    | $20,592.00 | $20,592.00 | $20,592.00 
Room and board:                   | $10,714.00 | $7,892.00  | $1,512.00  
Books and supplies:               |  $728.00   |  $728.00   |  $728.00   
Estimated personal expenses:      | $2,662.00  | $3,246.00  | $2,588.00  
Transportation expenses:          | $1,344.00  | $2,040.00  | $2,384.00  
Estimated Total In-state:         | $28,051.00 | $26,509.00 | $19,815.00 
Estimated Total Out-of-state:     | $36,040.00 | $34,498.00 | $27,804.00 ","Main Address
200 University Hall
Bowling Green, OH 43403-0001
www.bgsu.edu"
Capital University,"Quick Facts
Regular Application Deadline : May 1
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 2,504
First-time degree-seeking freshmen : 723
Percentage of financial need met (average) : 86.0%
Average financial aid package : $32,506.00
In-State Tuition : $38,298.00
Out-of-State Tuition : $38,298.00","Setting
Very Large City (>500k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $728,602.00
Number of enrolled international undergraduates received aid:  37
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1030 - 1210,20 - 26,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   4,794
Admitted :   3,457
Enrolled :   723
Somewhat selective 72.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 30
Regular application due:   May 1
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,298.00 | $38,298.00 | $38,298.00 
Out-of-state tuition and fees:    | $38,298.00 | $38,298.00 | $38,298.00 
Room and board:                   | $11,602.00 | $14,008.00 | $2,810.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,440.00  |  $440.00   |  $440.00   
Transportation expenses:          | $1,000.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $53,940.00 | $56,346.00 | $45,148.00 
Estimated Total Out-of-state:     | $53,940.00 | $56,346.00 | $45,148.00 ","Main Address
1 College and Main
Columbus, OH 43209-7812
www.capital.edu"
Case Western Reserve University,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 84.0%
Total undergraduates : 5,383
First-time degree-seeking freshmen : 1,357
Percentage of financial need met (average) : 100.0%
Average financial aid package : $48,693.00
In-State Tuition : $53,556.00
Out-of-State Tuition : $53,556.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $4,825,456.00
Number of enrolled international undergraduates received aid:  157
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1340 - 1510,30 - 34,"General Applying Information
Application Fee:   $70.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   28,786
Admitted :   7,876
Enrolled :   1,357
Very selective 27.0% of applicants admitted
Applied early admission :   687
Admitted early admission :   268
Applied early action :   13,696
Admitted early action :   4,349
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   10,375
Number accepting place :   5,661
Accepted from list :   209
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Mar 20
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 17
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 17
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $53,556.00 | $53,556.00 | $53,556.00 
Out-of-state tuition and fees:    | $53,556.00 | $53,556.00 | $53,556.00 
Room and board:                   | $16,080.00 | $15,190.00 | $1,585.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,350.00  | $1,350.00  | $1,350.00  
Transportation expenses:          |  $550.00   |  $550.00   |  $900.00   
Estimated Total In-state:         | $72,736.00 | $71,846.00 | $58,591.00 
Estimated Total Out-of-state:     | $72,736.00 | $71,846.00 | $58,591.00 ","Main Address
10900 Euclid Ave
Cleveland, OH 44106-1712
www.case.edu"
Cedarville University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 75.0%
Total undergraduates : 3,879
First-time degree-seeking freshmen : 995
Percentage of financial need met (average) : 20.0%
Average financial aid package : $24,220.00
In-State Tuition : $32,564.00
Out-of-State Tuition : $32,564.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,258,590.00
Number of enrolled international undergraduates received aid:  67
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1120 - 1350,23 - 29,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,869
Admitted :   3,050
Enrolled :   995
Less selective 79.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   1,263
Number accepting place :   1,263
Accepted from list :   6
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Aug 1
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,564.00 | $32,564.00 | $32,564.00 
Out-of-state tuition and fees:    | $32,564.00 | $32,564.00 | $32,564.00 
Room and board:                   | $7,922.00  | $7,922.00  | $3,432.00  
Books and supplies:               | $1,298.00  | $1,298.00  | $1,298.00  
Estimated personal expenses:      | $1,842.00  | $1,842.00  | $1,842.00  
Transportation expenses:          |  $650.00   |  $650.00   |  $650.00   
Estimated Total In-state:         | $44,276.00 | $44,276.00 | $39,786.00 
Estimated Total Out-of-state:     | $44,276.00 | $44,276.00 | $39,786.00 ","Main Address
251 N Main St
Cedarville, OH 45314-8501
www.cedarville.edu"
Central State University,"Quick Facts
Total undergraduates : 2,033
First-time degree-seeking freshmen : 625
In-State Tuition : $6,726.00
Out-of-State Tuition : $8,726.00","Setting
Rural Community (<2,500)
Rural
Residential campus
Other Characteristics
Ohio's only public historically black university.","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $1,064,712.00
Number of enrolled international undergraduates received aid:  78",760 - 860,14 - 17,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   13,464
Admitted :   7,646
Enrolled :   622
Somewhat selective 57.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,726.00  | $6,726.00  | $6,726.00  
Out-of-state tuition and fees:    | $8,726.00  | $8,726.00  | $8,726.00  
Room and board:                   | $10,480.00 | $10,480.00 | $2,500.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          |  $450.00   |  $900.00   |  $900.00   
Estimated Total In-state:         | $20,356.00 | $20,806.00 | $12,826.00 
Estimated Total Out-of-state:     | $22,356.00 | $22,806.00 | $14,826.00 ","Main Address
1400 Brush Row Rd
Wilberforce, OH 45384-5800
www.centralstate.edu"
