Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bacone College,"Quick Facts
Total undergraduates : 934
In-State Tuition : $14,700.00
Out-of-State Tuition : $14,700.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
American Indian heritage and commitment to serving Native Americans. Guided by Christian principles.","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,700.00 | $14,700.00 | $14,700.00 
Out-of-state tuition and fees:    | $14,700.00 | $14,700.00 | $14,700.00 
Room only:                        |     --     | $2,600.00  |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      |  $500.00   | $1,000.00  | $1,000.00  
Transportation expenses:          |  $250.00   |  $500.00   |  $500.00   
Estimated Total In-state:         | $16,850.00 | $20,200.00 | $17,600.00 
Estimated Total Out-of-state:     | $16,850.00 | $20,200.00 | $17,600.00 ","Main Address
2299 Old Bacone Rd
Muskogee, OK 74403-1568
www.bacone.edu"
Cameron University,"Quick Facts
Total undergraduates : 3,816
First-time degree-seeking freshmen : 615
Percentage of financial need met (average) : 57.0%
Average financial aid package : $9,557.00
In-State Tuition : $6,450.00
Out-of-State Tuition : $15,870.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $283,367.00
Number of enrolled international undergraduates received aid:  43",No information,16 - 21,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   993
Admitted :   992
Enrolled :   615
Less selective 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,450.00  | $6,450.00  | $6,450.00  
Out-of-state tuition and fees:    | $15,870.00 | $15,870.00 | $15,870.00 
Room and board:                   | $5,670.00  | $10,558.00 | $2,484.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $1,440.00  | $1,440.00  | $1,287.00  
Transportation expenses:          | $1,665.00  | $1,665.00  | $1,665.00  
Estimated Total In-state:         | $16,525.00 | $21,413.00 | $13,186.00 
Estimated Total Out-of-state:     | $25,945.00 | $30,833.00 | $22,606.00 ","Main Address
2800 W Gore Blvd
Lawton, OK 73505-6320
www.cameron.edu"
East Central University,"Quick Facts
Percentage of students graduating within 6 years : 37.0%
Total undergraduates : 2,981
First-time degree-seeking freshmen : 494
In-State Tuition : $7,052.00
Out-of-State Tuition : $16,412.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1140,17 - 23,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,178
Admitted :   699
Enrolled :   491
Somewhat selective 59.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,052.00  | $7,052.00  | $7,052.00  
Out-of-state tuition and fees:    | $16,412.00 | $16,412.00 | $16,412.00 
Room and board:                   | $7,072.00  | $8,289.00  | $3,310.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $3,034.00  | $7,352.00  | $4,630.00  
Transportation expenses:          | $1,220.00  | $2,816.00  | $2,816.00  
Estimated Total In-state:         | $19,978.00 | $27,109.00 | $19,408.00 
Estimated Total Out-of-state:     | $29,338.00 | $36,469.00 | $28,768.00 ","Main Address
1100 E 14th St
Ada, OK 74820-6915
www.ecok.edu"
Langston University,"Quick Facts
Total undergraduates : 1,952
In-State Tuition : $9,968.00
Out-of-State Tuition : $17,348.00","Setting
Rural Community (<2,500)
Rural
Residential campus
Other Characteristics
Urban campuses in Oklahoma City, Tulsa.","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,968.00  | $9,968.00  | $9,968.00  
Out-of-state tuition and fees:    | $17,348.00 | $17,348.00 | $17,348.00 
Room and board:                   | $6,862.00  | $8,760.00  |     --     
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $2,400.00  | $2,760.00  | $2,760.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $20,830.00 | $23,088.00 | $14,328.00 
Estimated Total Out-of-state:     | $28,210.00 | $30,468.00 | $21,708.00 ","Main Address
102 Page Hall
Langston, OK 73050
www.langston.edu"
Mid-America Christian University,"Quick Facts
Total undergraduates : 1,626
In-State Tuition : $18,838.00
Out-of-State Tuition : $18,838.00","Setting
Very Large City (>500k)
Suburban
Residential campus
Other Characteristics
Free YMCA membership for all students.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $18,838.00 | $18,838.00 | $18,838.00 
Out-of-state tuition and fees:    | $18,838.00 | $18,838.00 | $18,838.00 
Room and board:                   | $8,392.00  | $8,600.00  | $1,800.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $2,240.00  | $2,240.00  | $2,240.00  
Transportation expenses:          | $1,600.00  | $1,920.00  | $1,920.00  
Estimated Total In-state:         | $32,370.00 | $32,898.00 | $26,098.00 
Estimated Total Out-of-state:     | $32,370.00 | $32,898.00 | $26,098.00 ","Main Address
3500 SW 119th St
Oklahoma City, OK 73170-4500
www.macu.edu"
Northeastern State University,"Quick Facts
Percentage of students graduating within 6 years : 42.0%
Total undergraduates : 6,288
First-time degree-seeking freshmen : 724
Percentage of financial need met (average) : 98.0%
Average financial aid package : $13,190.00
In-State Tuition : $6,915.00
Out-of-State Tuition : $15,315.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,029,782.00
Number of enrolled international undergraduates received aid:  72",No information,18 - 24,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,073
Admitted :   1,067
Enrolled :   724
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $6,915.00  | $6,915.00  | $6,915.00  
Out-of-state tuition and fees:    | $15,315.00 | $15,315.00 | $15,315.00 
Room and board:                   | $7,480.00  | $7,108.00  | $1,748.00  
Books and supplies:               | $1,380.00  | $1,380.00  | $1,380.00  
Estimated personal expenses:      | $1,694.00  | $4,238.00  | $1,694.00  
Transportation expenses:          |  $522.00   | $2,234.00  | $2,234.00  
Estimated Total In-state:         | $17,991.00 | $21,875.00 | $13,971.00 
Estimated Total Out-of-state:     | $26,391.00 | $30,275.00 | $22,371.00 ","Main Address
600 N Grand Ave
Tahlequah, OK 74464-2301
www.nsuok.edu"
Northwestern Oklahoma State University,"Quick Facts
Percentage of students graduating within 6 years : 31.0%
Total undergraduates : 1,767
First-time degree-seeking freshmen : 345
In-State Tuition : $7,463.00
Out-of-State Tuition : $14,581.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,17 - 22,"General Applying Information
Application Fee:   $15.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,143
Admitted :   715
Enrolled :   345
Somewhat selective 63.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,463.00  | $7,463.00  | $7,463.00  
Out-of-state tuition and fees:    | $14,581.00 | $14,581.00 | $14,581.00 
Room and board:                   | $4,950.00  | $5,200.00  | $2,000.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $2,500.00  | $3,000.00  | $2,500.00  
Transportation expenses:          | $1,700.00  | $1,700.00  | $1,400.00  
Estimated Total In-state:         | $18,213.00 | $18,963.00 | $14,963.00 
Estimated Total Out-of-state:     | $25,331.00 | $26,081.00 | $22,081.00 ","Main Address
709 Oklahoma Blvd
Alva, OK 73717-2749
www.nwosu.edu"
Oklahoma Baptist University,"Quick Facts
Total undergraduates : 1,752
First-time degree-seeking freshmen : 448
Percentage of financial need met (average) : 54.0%
Average financial aid package : $20,421.00
In-State Tuition : $31,352.00
Out-of-State Tuition : $31,352.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Each summer approximately 250 students, faculty and staff serve in projects around the world. About 300 students participate in local service projects during the year.","Financial Aid
International students eligible for non-need based aid",990 - 1220,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,292
Admitted :   2,466
Enrolled :   449
Somewhat selective 57.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,352.00 | $31,352.00 | $31,352.00 
Out-of-state tuition and fees:    | $31,352.00 | $31,352.00 | $31,352.00 
Room and board:                   | $7,720.00  | $7,360.00  | $3,760.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      | $2,150.00  | $2,150.00  | $2,100.00  
Transportation expenses:          | $2,400.00  | $2,400.00  | $2,400.00  
Estimated Total In-state:         | $44,922.00 | $44,562.00 | $40,912.00 
Estimated Total Out-of-state:     | $44,922.00 | $44,562.00 | $40,912.00 ","Main Address
500 W University St
Shawnee, OK 74804-2522
www.okbu.edu"
Oklahoma Christian University,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 1,751
First-time degree-seeking freshmen : 399
Percentage of financial need met (average) : 57.0%
Average financial aid package : $24,086.00
In-State Tuition : $25,050.00
Out-of-State Tuition : $25,050.00","Setting
Very Large City (>500k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,21 - 27,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,206
Admitted :   1,468
Enrolled :   399
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  Sep 1
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,050.00 | $25,050.00 | $25,050.00 
Out-of-state tuition and fees:    | $25,050.00 | $25,050.00 | $25,050.00 
Room and board:                   | $7,900.00  | $7,900.00  | $3,500.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,340.00  | $1,340.00  | $1,340.00  
Transportation expenses:          | $1,760.00  | $1,760.00  | $1,760.00  
Estimated Total In-state:         | $37,250.00 | $37,250.00 | $32,850.00 
Estimated Total Out-of-state:     | $37,250.00 | $37,250.00 | $32,850.00 ","Main Address
2501 E Memorial Rd
Edmond, OK 73013-5525
www.oc.edu"
Oklahoma City University,"Quick Facts
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 1,586
First-time degree-seeking freshmen : 329
Percentage of financial need met (average) : 68.0%
Average financial aid package : $23,081.00
In-State Tuition : $32,744.00
Out-of-State Tuition : $32,744.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1110 - 1300,23 - 29,"General Applying Information
Application Fee:   $55.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,709
Admitted :   1,276
Enrolled :   328
Somewhat selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,744.00 | $32,744.00 | $32,744.00 
Out-of-state tuition and fees:    | $32,744.00 | $32,744.00 | $32,744.00 
Room and board:                   | $9,850.00  | $11,236.00 | $5,036.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,700.00  | $1,700.00  | $1,700.00  
Estimated Total In-state:         | $46,794.00 | $48,180.00 | $41,980.00 
Estimated Total Out-of-state:     | $46,794.00 | $48,180.00 | $41,980.00 ","Main Address
2501 N Blackwelder Ave
Oklahoma City, OK 73106-1402
www.okcu.edu"
