Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Corban University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 984
First-time degree-seeking freshmen : 206
Percentage of financial need met (average) : 70.0%
Average financial aid package : $24,124.00
In-State Tuition : $34,188.00
Out-of-State Tuition : $34,188.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $14,747,024.00
Number of enrolled international undergraduates received aid:  891
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1010 - 1240,19 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   1,994
Admitted :   737
Enrolled :   206
Very selective 37.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jun 15
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,188.00 | $34,188.00 | $34,188.00 
Out-of-state tuition and fees:    | $34,188.00 | $34,188.00 | $34,188.00 
Room and board:                   | $10,470.00 | $10,316.00 |     --     
Books and supplies:               |  $950.00   |  $950.00   |  $950.00   
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $47,608.00 | $47,454.00 | $37,138.00 
Estimated Total Out-of-state:     | $47,608.00 | $47,454.00 | $37,138.00 ","Main Address
5000 Deer Park Dr SE
Salem, OR 97317-9392
https://www.corban.edu/"
Eastern Oregon University,"Quick Facts
Regular Application Deadline : September 1
Total undergraduates : 2,867
First-time degree-seeking freshmen : 330
Percentage of financial need met (average) : 61.0%
Average financial aid package : $10,967.00
In-State Tuition : $9,405.00
Out-of-State Tuition : $22,509.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $58,555.00
Number of enrolled international undergraduates received aid:  23
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",930 - 1150,17 - 23,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   890
Admitted :   872
Enrolled :   330
Less selective 98.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 1
Regular application due:   Sep 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early action application due :   Feb 1
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,405.00  | $9,405.00  | $9,405.00  
Out-of-state tuition and fees:    | $22,509.00 | $22,509.00 | $22,509.00 
Room and board:                   | $10,150.00 |     --     | $3,285.00  
Books and supplies:               | $1,245.00  | $1,245.00  | $1,245.00  
Estimated personal expenses:      | $1,947.00  | $1,947.00  | $1,947.00  
Transportation expenses:          | $1,317.00  | $1,317.00  | $1,317.00  
Estimated Total In-state:         | $24,064.00 | $13,914.00 | $17,199.00 
Estimated Total Out-of-state:     | $37,168.00 | $27,018.00 | $30,303.00 ","Main Address
1 University Blvd
La Grande, OR 97850-2807
https://www.eou.edu/"
George Fox University,"Quick Facts
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 2,628
First-time degree-seeking freshmen : 603
Percentage of financial need met (average) : 91.0%
Average financial aid package : $27,128.00
In-State Tuition : $38,370.00
Out-of-State Tuition : $38,370.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
Volunteer service encouraged through all-campus Serve Day and serve trips during school breaks.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1030 - 1270,19 - 27,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   3,010
Admitted :   2,480
Enrolled :   603
Less selective 82.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 10
Regular application due:   No Regular Application Deadline
Priority application due :   Jan 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 9","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,370.00 | $38,370.00 | $38,370.00 
Out-of-state tuition and fees:    | $38,370.00 | $38,370.00 | $38,370.00 
Room and board:                   | $12,090.00 | $11,250.00 | $4,770.00  
Books and supplies:               |  $950.00   |  $950.00   |  $950.00   
Estimated personal expenses:      | $1,250.00  | $1,250.00  | $1,250.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $53,460.00 | $52,620.00 | $46,140.00 
Estimated Total Out-of-state:     | $53,460.00 | $52,620.00 | $46,140.00 ","Main Address
414 N Meridian St
Newberg, OR 97132-2697
https://www.georgefox.edu/"
Lewis Clark College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 77.0%
Total undergraduates : 1,965
First-time degree-seeking freshmen : 507
Percentage of financial need met (average) : 88.0%
Average financial aid package : $44,236.00
In-State Tuition : $55,266.00
Out-of-State Tuition : $55,266.00","Setting
Very Large City (>500k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,204,324.00
Number of enrolled international undergraduates received aid:  72",1220 - 1400,27 - 31,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,863
Admitted :   4,231
Enrolled :   507
Somewhat selective 72.0% of applicants admitted
Applied early admission :   57
Admitted early admission :   48
Applied early action :   2,394
Admitted early action :   2,007
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   298
Number accepting place :   83
Accepted from list :   13
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   Jan 15
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 31
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 5
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $55,266.00 | $55,266.00 | $55,266.00 
Out-of-state tuition and fees:    | $55,266.00 | $55,266.00 | $55,266.00 
Room and board:                   | $13,324.00 |     --     |     --     
Books and supplies:               | $1,050.00  | $1,050.00  | $1,050.00  
Estimated personal expenses:      | $1,062.00  | $1,062.00  | $1,062.00  
Transportation expenses:          |  $990.00   |  $990.00   |  $990.00   
Estimated Total In-state:         | $71,692.00 | $58,368.00 | $58,368.00 
Estimated Total Out-of-state:     | $71,692.00 | $58,368.00 | $58,368.00 ","Main Address
0615 SW Palatine Hill Rd
Portland, OR 97219-7879
https://www.lclark.edu/"
Linfield College,"Quick Facts
Percentage of students graduating within 6 years : 74.0%
Total undergraduates : 1,414
First-time degree-seeking freshmen : 459
Percentage of financial need met (average) : 86.0%
Average financial aid package : $40,200.00
In-State Tuition : $45,062.00
Out-of-State Tuition : $45,062.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $572,461.00
Number of enrolled international undergraduates received aid:  23
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1040 - 1230,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,390
Admitted :   1,953
Enrolled :   459
Less selective 82.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   863
Admitted early action :   855
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Apr 1
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Jan 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,062.00 | $45,062.00 | $45,062.00 
Out-of-state tuition and fees:    | $45,062.00 | $45,062.00 | $45,062.00 
Room and board:                   | $12,930.00 | $1,650.00  |  $900.00   
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      | $1,070.00  | $1,070.00  | $1,070.00  
Transportation expenses:          |  $750.00   |  $750.00   |  $750.00   
Estimated Total In-state:         | $60,712.00 | $49,432.00 | $48,682.00 
Estimated Total Out-of-state:     | $60,712.00 | $49,432.00 | $48,682.00 ","Main Address
900 SE Baker St
McMinnville, OR 97128-6808
https://www.linfield.edu/"
Multnomah University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 365
First-time degree-seeking freshmen : 64
Percentage of financial need met (average) : 50.0%
Average financial aid package : $15,429.00
In-State Tuition : $28,000.00
Out-of-State Tuition : $28,000.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1020 - 1220,No information,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   282
Admitted :   151
Enrolled :   64
Somewhat selective 54.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $28,000.00 | $28,000.00 | $28,000.00 
Out-of-state tuition and fees:    | $28,000.00 | $28,000.00 | $28,000.00 
Room and board:                   | $9,640.00  | $11,000.00 | $3,600.00  
Books and supplies:               | $1,680.00  | $1,680.00  | $1,680.00  
Estimated personal expenses:      | $2,400.00  | $2,400.00  | $2,400.00  
Transportation expenses:          | $3,600.00  | $3,600.00  | $3,600.00  
Estimated Total In-state:         | $45,320.00 | $46,680.00 | $39,280.00 
Estimated Total Out-of-state:     | $45,320.00 | $46,680.00 | $39,280.00 ","Main Address
8435 NE Glisan St
Portland, OR 97220-5814
https://www.multnomah.edu/"
New Hope Christian College,"Quick Facts
Total undergraduates : 87
In-State Tuition : $14,880.00
Out-of-State Tuition : $14,880.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,880.00 | $14,880.00 | $14,880.00 
Out-of-state tuition and fees:    | $14,880.00 | $14,880.00 | $14,880.00 
Room and board:                   | $6,300.00  | $9,081.00  |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      | $2,052.00  | $2,052.00  | $2,052.00  
Transportation expenses:          | $2,061.00  | $2,061.00  | $2,061.00  
Estimated Total In-state:         | $26,193.00 | $28,974.00 | $19,893.00 
Estimated Total Out-of-state:     | $26,193.00 | $28,974.00 | $19,893.00 ","Main Address
2155 Bailey Hill Rd
Eugene, OR 97405-1159
www.newhope.edu"
Oregon Health Science University,"Quick Facts
Total undergraduates : 776
In-State Tuition : $25,956.00
Out-of-State Tuition : $41,841.00","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
Primarily a transfer institution.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   Not reported
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,956.00 | $25,956.00 | $25,956.00 
Out-of-state tuition and fees:    | $41,841.00 | $41,841.00 | $41,841.00 
Room only:                        |     --     | $14,301.00 | $3,726.00  
Books and supplies:               | $1,770.00  | $1,770.00  | $1,770.00  
Estimated personal expenses:      | $1,539.00  | $1,539.00  | $1,539.00  
Transportation expenses:          | $3,240.00  | $3,240.00  | $3,240.00  
Estimated Total In-state:         | $32,505.00 | $46,806.00 | $36,231.00 
Estimated Total Out-of-state:     | $48,390.00 | $62,691.00 | $52,116.00 ","Main Address
3181 SW Sam Jackson Park Rd
Portland, OR 97239-3011
https://www.ohsu.edu/"
Oregon Institute of Technology,"Quick Facts
Regular Application Deadline : September 8
Percentage of students graduating within 6 years : 51.0%
Total undergraduates : 5,178
First-time degree-seeking freshmen : 416
Percentage of financial need met (average) : 35.0%
Average financial aid package : $11,847.00
In-State Tuition : $11,265.00
Out-of-State Tuition : $31,377.00","Setting
Large Town (10-50k)
Rural
Commuter campus
Other Characteristics
Oregon Tech has 3 Oregon locations including the residential campus in Klamath Falls, urban campus in Wilsonville, and a site in Salem. In Washington, Oregon Tech offers degrees to employees of The Boeing Company at sites in the Puget Sound area.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $8,000.00
Number of enrolled international undergraduates received aid:  3",1000 - 1200,20 - 26,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,206
Admitted :   1,171
Enrolled :   416
Less selective 97.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Sep 8
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   Sep 4",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,265.00 | $11,265.00 | $11,265.00 
Out-of-state tuition and fees:    | $31,377.00 | $31,377.00 | $31,377.00 
Room and board:                   | $9,936.00  | $9,129.00  | $2,713.00  
Books and supplies:               | $1,225.00  | $1,225.00  | $1,225.00  
Estimated personal expenses:      | $1,821.00  | $1,821.00  | $1,821.00  
Transportation expenses:          |     --     | $1,480.00  | $1,480.00  
Estimated Total In-state:         | $24,247.00 | $24,920.00 | $18,504.00 
Estimated Total Out-of-state:     | $44,359.00 | $45,032.00 | $38,616.00 ","Main Address
3201 Campus Dr
Klamath Falls, OR 97601-8801
https://www.oit.edu/"
Oregon State University,"Quick Facts
Total undergraduates : 25,699
Percentage of financial need met (average) : 71.0%
Average financial aid package : $13,056.00
In-State Tuition : $12,167.00
Out-of-State Tuition : $32,357.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,167.00 | $12,167.00 | $12,167.00 
Out-of-state tuition and fees:    | $32,357.00 | $32,357.00 | $32,357.00 
Room and board:                   | $14,160.00 | $12,540.00 |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,083.00  | $2,083.00  | $2,083.00  
Transportation expenses:          |  $521.00   |  $521.00   |  $521.00   
Estimated Total In-state:         | $30,131.00 | $28,511.00 | $15,971.00 
Estimated Total Out-of-state:     | $50,321.00 | $48,701.00 | $36,161.00 ","Main Address
1500 SW Jefferson Ave
Corvallis, OR 97331-8655
https://oregonstate.edu/"
