Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Albright College,"Quick Facts
Total undergraduates : 1,912
Percentage of financial need met (average) : 89.0%
Average financial aid package : $43,904.00
In-State Tuition : $26,688.00
Out-of-State Tuition : $26,688.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 19",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $26,688.00 | $26,688.00 | $26,688.00 
Out-of-state tuition and fees:    | $26,688.00 | $26,688.00 | $26,688.00 
Room and board:                   | $12,890.00 | $12,480.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,860.00  | $1,860.00  | $1,860.00  
Transportation expenses:          |  $400.00   |  $400.00   |  $800.00   
Estimated Total In-state:         | $42,838.00 | $42,428.00 | $30,348.00 
Estimated Total Out-of-state:     | $42,838.00 | $42,428.00 | $30,348.00 ","Main Address
1621 N 13th St
Reading, PA 19604-1752
www.albright.edu"
Allegheny College,"Quick Facts
Regular Application Deadline : February 15
Percentage of students graduating within 6 years : 74.0%
Total undergraduates : 1,775
First-time degree-seeking freshmen : 500
Percentage of financial need met (average) : 92.0%
Average financial aid package : $45,059.00
In-State Tuition : $50,980.00
Out-of-State Tuition : $50,980.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,779,962.00
Number of enrolled international undergraduates received aid:  58
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1170 - 1360,24 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   5,208
Admitted :   3,237
Enrolled :   500
Somewhat selective 62.0% of applicants admitted
Applied early admission :   189
Admitted early admission :   84
Applied early action :   1,874
Admitted early action :   1,633
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   255
Number accepting place :   255
Accepted from list :   10
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 15
Priority application due :   --
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 1
Early decision application due :   Nov 1
College will notify student of early decision by :   Nov 15
Other early decision deadline :   Feb 1
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $50,980.00 | $50,980.00 | $50,980.00 
Out-of-state tuition and fees:    | $50,980.00 | $50,980.00 | $50,980.00 
Room and board:                   | $13,080.00 | $9,080.00  | $6,180.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          | $1,500.00  | $1,500.00  | $1,500.00  
Estimated Total In-state:         | $67,560.00 | $63,560.00 | $60,660.00 
Estimated Total Out-of-state:     | $67,560.00 | $63,560.00 | $60,660.00 ","Main Address
520 N Main St
Meadville, PA 16335-3903
https://allegheny.edu"
Alvernia University,"Quick Facts
Percentage of students graduating within 6 years : 63.0%
Total undergraduates : 2,123
First-time degree-seeking freshmen : 399
Percentage of financial need met (average) : 70.0%
Average financial aid package : $26,944.00
In-State Tuition : $38,030.00
Out-of-State Tuition : $38,030.00","Setting
Small City (50-250k)
Suburban
Residential campus
Other Characteristics
Affiliated with Bernardine Sisters, Third Order of St. Francis.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",943 - 1130,18 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,767
Admitted :   2,419
Enrolled :   399
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jun 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $38,030.00 | $38,030.00 | $38,030.00 
Out-of-state tuition and fees:    | $38,030.00 | $38,030.00 | $38,030.00 
Room and board:                   | $13,280.00 | $5,100.00  | $2,400.00  
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $1,250.00  | $1,800.00  | $1,250.00  
Transportation expenses:          | $1,250.00  | $1,800.00  | $1,250.00  
Estimated Total In-state:         | $55,310.00 | $48,230.00 | $44,430.00 
Estimated Total Out-of-state:     | $55,310.00 | $48,230.00 | $44,430.00 ","Main Address
400 Saint Bernardine St
Reading, PA 19607-1737
www.alvernia.edu"
Arcadia University,"Quick Facts
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,149
First-time degree-seeking freshmen : 530
Percentage of financial need met (average) : 83.0%
Average financial aid package : $30,074.00
In-State Tuition : $45,320.00
Out-of-State Tuition : $45,320.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid",1030 - 1260,21 - 28,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   10,216
Admitted :   6,709
Enrolled :   530
Somewhat selective 66.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $45,320.00 | $45,320.00 | $45,320.00 
Out-of-state tuition and fees:    | $45,320.00 | $45,320.00 | $45,320.00 
Room and board:                   | $14,050.00 |     --     |     --     
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $60,870.00 | $46,820.00 | $46,820.00 
Estimated Total Out-of-state:     | $60,870.00 | $46,820.00 | $46,820.00 ","Main Address
450 S Easton Rd
Glenside, PA 19038-3215
www.arcadia.edu"
Bloomsburg University of Pennsylvania,"Quick Facts
Total undergraduates : 8,253
Percentage of financial need met (average) : 49.0%
Average financial aid package : $8,332.00
In-State Tuition : $11,088.00
Out-of-State Tuition : $22,671.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,088.00 | $11,088.00 | $11,088.00 
Out-of-state tuition and fees:    | $22,671.00 | $22,671.00 | $22,671.00 
Room and board:                   | $10,528.00 | $8,996.00  | $2,228.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          | $1,270.00  | $1,270.00  | $4,240.00  
Estimated Total In-state:         | $26,186.00 | $24,654.00 | $20,856.00 
Estimated Total Out-of-state:     | $37,769.00 | $36,237.00 | $32,439.00 ","Main Address
400 E 2nd St
Bloomsburg, PA 17815-1301
www.bloomu.edu"
Bryn Athyn College,"Quick Facts
Percentage of students graduating within 6 years : 72.0%
Total undergraduates : 285
First-time degree-seeking freshmen : 81
Percentage of financial need met (average) : 45.0%
Average financial aid package : $27,026.00
In-State Tuition : $25,449.00
Out-of-State Tuition : $25,449.00","Setting
Small Town (2,500-10k)
Suburban
Residential campus
Other Characteristics
Religious college.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $130,617.00
Number of enrolled international undergraduates received aid:  13
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",940 - 1110,17 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   273
Admitted :   256
Enrolled :   81
Less selective 94.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,449.00 | $25,449.00 | $25,449.00 
Out-of-state tuition and fees:    | $25,449.00 | $25,449.00 | $25,449.00 
Room and board:                   | $12,606.00 | $7,000.00  | $2,000.00  
Books and supplies:               |  $750.00   |  $750.00   |  $750.00   
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $40,605.00 | $34,999.00 | $29,999.00 
Estimated Total Out-of-state:     | $40,605.00 | $34,999.00 | $29,999.00 ","Main Address
2945 College Drive PO Box 717
Bryn Athyn, PA 19009-0717
www.brynathyn.edu"
Bryn Mawr College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 84.0%
Total undergraduates : 1,384
First-time degree-seeking freshmen : 374
Percentage of financial need met (average) : 100.0%
Average financial aid package : $49,576.00
In-State Tuition : $56,610.00
Out-of-State Tuition : $56,610.00","Setting
Very Large City (>500k)
Suburban
Residential campus
Other Characteristics
Academic exchange with Haverford College, Swarthmore College, and University of Pennsylvania. Extracurricular and social coordination with Haverford College.","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $7,569,339.00
Number of enrolled international undergraduates received aid:  124
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1290 - 1510,29 - 33,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,332
Admitted :   1,102
Enrolled :   374
Very selective 33.0% of applicants admitted
Applied early admission :   346
Admitted early admission :   179
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   627
Number accepting place :   335
Accepted from list :   37
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 20
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $56,610.00 | $56,610.00 | $56,610.00 
Out-of-state tuition and fees:    | $56,610.00 | $56,610.00 | $56,610.00 
Room and board:                   | $17,720.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  | $1,000.00  | $1,000.00  
Transportation expenses:          |  $450.00   |  $450.00   |  $450.00   
Estimated Total In-state:         | $76,780.00 | $59,060.00 | $59,060.00 
Estimated Total Out-of-state:     | $76,780.00 | $59,060.00 | $59,060.00 ","Main Address
101 North Merion Avenue
Bryn Mawr, PA 19010-2859
www.brynmawr.edu"
Bucknell University,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 90.0%
Total undergraduates : 3,627
First-time degree-seeking freshmen : 964
Percentage of financial need met (average) : 92.0%
Average financial aid package : $39,500.00
In-State Tuition : $58,202.00
Out-of-State Tuition : $58,202.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,867,236.00
Number of enrolled international undergraduates received aid:  73
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1255 - 1430,28 - 32,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,845
Admitted :   3,370
Enrolled :   964
Very selective 34.0% of applicants admitted
Applied early admission :   681
Admitted early admission :   433
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   3,149
Number accepting place :   1,379
Accepted from list :   125
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $58,202.00 | $58,202.00 | $58,202.00 
Out-of-state tuition and fees:    | $58,202.00 | $58,202.00 | $58,202.00 
Room and board:                   | $14,670.00 |     --     |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      | $2,150.00  | $2,150.00  |     --     
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $75,922.00 | $61,252.00 | $59,102.00 
Estimated Total Out-of-state:     | $75,922.00 | $61,252.00 | $59,102.00 ","Main Address
1 Dent Dr
Lewisburg, PA 17837-2005
www.bucknell.edu"
Cabrini University,"Quick Facts
Total undergraduates : 1,915
First-time degree-seeking freshmen : 365
In-State Tuition : $34,095.00
Out-of-State Tuition : $34,095.00","Setting
Large Town (10-50k)
Suburban
Residential campus
Other Characteristics
University sponsored by Missionary Sisters of the Sacred Heart of Jesus (international religious order).","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",995 - 1190,19 - 26,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,342
Admitted :   2,512
Enrolled :   369
Less selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,095.00 | $34,095.00 | $34,095.00 
Out-of-state tuition and fees:    | $34,095.00 | $34,095.00 | $34,095.00 
Room and board:                   | $12,965.00 |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          |  $200.00   |  $200.00   |  $200.00   
Estimated Total In-state:         | $49,960.00 | $36,995.00 | $36,995.00 
Estimated Total Out-of-state:     | $49,960.00 | $36,995.00 | $36,995.00 ","Main Address
610 King of Prussia Rd
Wayne, PA 19087-3623
www.cabrini.edu"
Cairn University,"Quick Facts
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 865
First-time degree-seeking freshmen : 234
In-State Tuition : $29,553.00
Out-of-State Tuition : $29,553.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1000 - 1250,19 - 24,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   569
Admitted :   471
Enrolled :   234
Less selective 83.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,553.00 | $29,553.00 | $29,553.00 
Out-of-state tuition and fees:    | $29,553.00 | $29,553.00 | $29,553.00 
Room and board:                   | $11,187.00 | $10,320.00 | $6,326.00  
Books and supplies:               | $1,060.00  | $1,060.00  | $1,060.00  
Estimated personal expenses:      | $1,124.00  | $1,124.00  | $1,124.00  
Transportation expenses:          |  $886.00   |  $886.00   |  $886.00   
Estimated Total In-state:         | $43,810.00 | $42,943.00 | $38,949.00 
Estimated Total Out-of-state:     | $43,810.00 | $42,943.00 | $38,949.00 ","Main Address
200 Manor Avenue
Langhorne, PA 19047-2942
www.cairn.edu"
