Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Allen University,"Quick Facts
Total undergraduates : 590
In-State Tuition : $13,340.00
Out-of-State Tuition : $13,340.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jul 31",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,340.00 | $13,340.00 | $13,340.00 
Out-of-state tuition and fees:    | $13,340.00 | $13,340.00 | $13,340.00 
Room and board:                   | $7,592.00  |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $800.00   |  $800.00   |  $800.00   
Transportation expenses:          | $1,000.00  | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $23,732.00 | $16,340.00 | $16,340.00 
Estimated Total Out-of-state:     | $23,732.00 | $16,340.00 | $16,340.00 ","Main Address
1530 Harden St
Columbia, SC 29204-1057
www.allenuniversity.edu"
Anderson University 4013,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,676
First-time degree-seeking freshmen : 639
Percentage of financial need met (average) : 76.0%
Average financial aid package : $22,571.00
In-State Tuition : $29,980.00
Out-of-State Tuition : $29,980.00","Setting
Large Town (10-50k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $62,755.00
Number of enrolled international undergraduates received aid:  5
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",860 - 1210,20 - 26,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,277
Admitted :   1,565
Enrolled :   643
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 1
Priority application due :   --
College will notify student of admission :  Sep 1
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,980.00 | $29,980.00 | $29,980.00 
Out-of-state tuition and fees:    | $29,980.00 | $29,980.00 | $29,980.00 
Room and board:                   | $10,640.00 | $10,432.00 | $1,681.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,172.00  | $2,172.00  | $2,172.00  
Transportation expenses:          | $1,624.00  | $3,248.00  | $3,248.00  
Estimated Total In-state:         | $45,616.00 | $47,032.00 | $38,281.00 
Estimated Total Out-of-state:     | $45,616.00 | $47,032.00 | $38,281.00 ","Main Address
316 Boulevard
Anderson, SC 29621-4002
www.andersonuniversity.edu"
Benedict College,"Quick Facts
Total undergraduates : 2,090
In-State Tuition : $17,200.00
Out-of-State Tuition : $17,200.00","Setting
Large City (250-500k)
Urban
Residential campus
Other Characteristics
Benedict College is a historically black institution.",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $25.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,200.00 | $17,200.00 | $17,200.00 
Out-of-state tuition and fees:    | $17,200.00 | $17,200.00 | $17,200.00 
Room and board:                   | $6,200.00  | $8,672.00  |     --     
Books and supplies:               | $2,200.00  | $2,200.00  | $2,200.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          |     --     | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $27,700.00 | $33,172.00 | $24,500.00 
Estimated Total Out-of-state:     | $27,700.00 | $33,172.00 | $24,500.00 ","Main Address
1600 Harden St
Columbia, SC 29204-1058
www.benedict.edu"
Bob Jones University,"Quick Facts
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,651
First-time degree-seeking freshmen : 655
Percentage of financial need met (average) : 64.0%
Average financial aid package : $14,062.00
In-State Tuition : $20,700.00
Out-of-State Tuition : $20,700.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1000 - 1260,20 - 28,"General Applying Information
Application Fee:   $25.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $20,700.00 | $20,700.00 | $20,700.00 
Out-of-state tuition and fees:    | $20,700.00 | $20,700.00 | $20,700.00 
Room and board:                   | $7,900.00  | $12,200.00 | $4,630.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,850.00  | $1,850.00  | $1,850.00  
Transportation expenses:          | $1,400.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $33,050.00 | $37,350.00 | $29,780.00 
Estimated Total Out-of-state:     | $33,050.00 | $37,350.00 | $29,780.00 ","Main Address
1700 Wade Hampton Blvd
Greenville, SC 29614-1000
www.bju.edu"
Charleston Southern University,"Quick Facts
Percentage of students graduating within 6 years : 42.0%
Total undergraduates : 2,945
In-State Tuition : $27,800.00
Out-of-State Tuition : $27,800.00","Setting
Large City (250-500k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1020 - 1200,20 - 31,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper application (reduced fee for online application)
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Total applicants :   5,398
Admitted :   2,680
Enrolled :   580
Very selective 50.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,800.00 | $27,800.00 | $27,800.00 
Out-of-state tuition and fees:    | $27,800.00 | $27,800.00 | $27,800.00 
Room and board:                   | $10,800.00 | $9,050.00  |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      |     --     | $4,600.00  | $4,800.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $40,000.00 | $42,850.00 | $34,000.00 
Estimated Total Out-of-state:     | $40,000.00 | $42,850.00 | $34,000.00 ","Main Address
9200 University Blvd
North Charleston, SC 29406-9121
www.charlestonsouthern.edu"
Claflin University,"Quick Facts
Total undergraduates : 1,986
First-time degree-seeking freshmen : 459
In-State Tuition : $17,192.00
Out-of-State Tuition : $17,192.00","Setting
Large Town (10-50k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,192.00 | $17,192.00 | $17,192.00 
Out-of-state tuition and fees:    | $17,192.00 | $17,192.00 | $17,192.00 
Room and board:                   | $10,704.00 | $10,540.00 | $4,840.00  
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      | $2,500.00  | $5,740.00  | $5,740.00  
Transportation expenses:          | $2,500.00  | $2,500.00  | $2,500.00  
Estimated Total In-state:         | $34,696.00 | $37,772.00 | $32,072.00 
Estimated Total Out-of-state:     | $34,696.00 | $37,772.00 | $32,072.00 ","Main Address
400 Magnolia St
Orangeburg, SC 29115-6815
www.claflin.edu"
Clemson University,"Quick Facts
Total undergraduates : 20,195
First-time degree-seeking freshmen : 3,932
Percentage of financial need met (average) : 52.0%
Average financial aid package : $12,592.00
In-State Tuition : $15,120.00
Out-of-State Tuition : $38,112.00","Setting
Large Town (10-50k)
Rural
Residential campus",Financial Aid,No information,27 - 32,"General Applying Information
Application Fee:   $70.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   29,070
Admitted :   14,900
Enrolled :   3,932
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   May 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $15,120.00 | $15,120.00 | $15,120.00 
Out-of-state tuition and fees:    | $38,112.00 | $38,112.00 | $38,112.00 
Room and board:                   | $11,414.00 |     --     | $1,560.00  
Books and supplies:               | $1,436.00  | $1,436.00  | $1,436.00  
Estimated personal expenses:      | $3,116.00  |     --     | $3,116.00  
Transportation expenses:          | $1,008.00  |     --     | $2,802.00  
Estimated Total In-state:         | $32,094.00 | $16,556.00 | $24,034.00 
Estimated Total Out-of-state:     | $55,086.00 | $39,548.00 | $47,026.00 ","Main Address
105 Sikes Hall
Clemson, SC 29634-0001
www.clemson.edu"
Coastal Carolina University,"Quick Facts
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 9,760
First-time degree-seeking freshmen : 2,304
Percentage of financial need met (average) : 46.0%
Average financial aid package : $11,241.00
In-State Tuition : $11,640.00
Out-of-State Tuition : $27,394.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
Barrier-reef island used for marine science field studies and research.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,437,653.00
Number of enrolled international undergraduates received aid:  102
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1010 - 1170,19 - 24,"General Applying Information
Application Fee:   $45.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   15,061
Admitted :   10,373
Enrolled :   2,304
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,640.00 | $11,640.00 | $11,640.00 
Out-of-state tuition and fees:    | $27,394.00 | $27,394.00 | $27,394.00 
Room and board:                   | $9,290.00  | $8,982.00  | $2,032.00  
Books and supplies:               | $1,098.00  | $1,098.00  | $1,098.00  
Estimated personal expenses:      | $2,112.00  | $2,180.00  | $1,896.00  
Transportation expenses:          | $1,436.00  | $1,812.00  | $2,084.00  
Estimated Total In-state:         | $25,576.00 | $25,712.00 | $18,750.00 
Estimated Total Out-of-state:     | $41,330.00 | $41,466.00 | $34,504.00 ","Main Address
103 Tom Trout Dr
Conway, SC 29526-1000
www.coastal.edu"
Coker University,"Quick Facts
Percentage of students graduating within 6 years : 39.0%
Total undergraduates : 977
First-time degree-seeking freshmen : 266
In-State Tuition : $31,524.00
Out-of-State Tuition : $31,524.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",940 - 1130,16 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,316
Admitted :   843
Enrolled :   266
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Dec 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Dec 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,524.00 | $31,524.00 | $31,524.00 
Out-of-state tuition and fees:    | $31,524.00 | $31,524.00 | $31,524.00 
Room and board:                   | $9,892.00  | $6,200.00  |     --     
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      | $1,448.00  | $1,448.00  | $1,448.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $44,864.00 | $41,172.00 | $34,972.00 
Estimated Total Out-of-state:     | $44,864.00 | $41,172.00 | $34,972.00 ","Main Address
300 E College Ave
Hartsville, SC 29550-3742
www.coker.edu"
College of Charleston,"Quick Facts
Regular Application Deadline : February 15
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 9,600
First-time degree-seeking freshmen : 2,051
Percentage of financial need met (average) : 53.0%
Average financial aid package : $14,796.00
In-State Tuition : $12,838.00
Out-of-State Tuition : $33,168.00","Setting
Large City (250-500k)
Urban
Residential campus",Financial Aid,1080 - 1260,22 - 28,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   11,783
Admitted :   9,230
Enrolled :   2,051
Less selective 78.0% of applicants admitted
Applied early admission :   250
Admitted early admission :   206
Applied early action :   7,500
Admitted early action :   6,257
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 15
Priority application due :   Feb 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,838.00 | $12,838.00 | $12,838.00 
Out-of-state tuition and fees:    | $33,168.00 | $33,168.00 | $33,168.00 
Room only:                        |     --     | $12,166.00 | $3,706.00  
Books and supplies:               | $1,262.00  | $1,262.00  | $1,262.00  
Estimated personal expenses:      | $1,861.00  | $1,861.00  | $1,861.00  
Transportation expenses:          | $2,093.00  | $2,093.00  | $2,093.00  
Estimated Total In-state:         | $18,054.00 | $30,220.00 | $21,760.00 
Estimated Total Out-of-state:     | $38,384.00 | $50,550.00 | $42,090.00 ","Main Address
66 George St
Charleston, SC 29424-0001
www.cofc.edu"
