Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Augustana University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 1,818
First-time degree-seeking freshmen : 432
Percentage of financial need met (average) : 86.0%
Average financial aid package : $28,812.00
In-State Tuition : $35,884.00
Out-of-State Tuition : $35,884.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1090 - 1360,23 - 29,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,224
Admitted :   1,488
Enrolled :   432
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   Jan 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   Sep 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,884.00 | $35,884.00 | $35,884.00 
Out-of-state tuition and fees:    | $35,884.00 | $35,884.00 | $35,884.00 
Room and board:                   | $8,616.00  | $6,843.00  | $1,711.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,500.00  | $2,500.00  | $2,500.00  
Transportation expenses:          | $2,238.00  | $2,238.00  | $2,238.00  
Estimated Total In-state:         | $50,238.00 | $48,465.00 | $43,333.00 
Estimated Total Out-of-state:     | $50,238.00 | $48,465.00 | $43,333.00 ","Main Address
2001 S Summit Ave
Sioux Falls, SD 57197-0001
www.augie.edu"
Black Hills State University,"Quick Facts
Percentage of students graduating within 6 years : 39.0%
Total undergraduates : 3,682
First-time degree-seeking freshmen : 520
In-State Tuition : $9,009.00
Out-of-State Tuition : $12,155.00","Setting
Large Town (10-50k)
Urban
Commuter campus
Other Characteristics
Black Hills State University is the only comprehensive University in western South Dakota.","Financial Aid
International students eligible for non-need based aid",970 - 1170,18 - 24,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,808
Admitted :   1,787
Enrolled :   497
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,009.00  | $9,009.00  | $9,009.00  
Out-of-state tuition and fees:    | $12,155.00 | $12,155.00 | $12,155.00 
Room and board:                   | $7,561.00  |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $4,500.00  | $4,500.00  | $4,500.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $22,270.00 | $14,709.00 | $14,709.00 
Estimated Total Out-of-state:     | $25,416.00 | $17,855.00 | $17,855.00 ","Main Address
1200 University St
Spearfish, SD 57799-8840
www.bhsu.edu"
Dakota State University,"Quick Facts
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 2,818
First-time degree-seeking freshmen : 425
Percentage of financial need met (average) : 53.0%
Average financial aid package : $7,882.00
In-State Tuition : $9,536.00
Out-of-State Tuition : $12,606.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $48,657.00
Number of enrolled international undergraduates received aid:  15",1005 - 1270,19 - 25,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   978
Admitted :   757
Enrolled :   425
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,536.00  | $9,536.00  | $9,536.00  
Out-of-state tuition and fees:    | $12,606.00 | $12,606.00 | $12,606.00 
Room and board:                   | $7,148.00  | $7,231.00  | $1,716.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $3,084.00  | $3,255.00  | $2,476.00  
Transportation expenses:          | $1,721.00  | $2,469.00  | $2,469.00  
Estimated Total In-state:         | $22,689.00 | $23,691.00 | $17,397.00 
Estimated Total Out-of-state:     | $25,759.00 | $26,761.00 | $20,467.00 ","Main Address
820 N Washington Ave
Madison, SD 57042-1735
www.dsu.edu"
Dakota Wesleyan University,"Quick Facts
Regular Application Deadline : August 29
Percentage of students graduating within 6 years : 48.0%
Total undergraduates : 747
First-time degree-seeking freshmen : 163
Percentage of financial need met (average) : 69.0%
Average financial aid package : $18,791.00
In-State Tuition : $29,770.00
Out-of-State Tuition : $29,770.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $187,860.00
Number of enrolled international undergraduates received aid:  12
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",890 - 1150,19 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   916
Admitted :   611
Enrolled :   165
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 29
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,770.00 | $29,770.00 | $29,770.00 
Out-of-state tuition and fees:    | $29,770.00 | $29,770.00 | $29,770.00 
Room and board:                   | $7,800.00  | $8,000.00  | $2,200.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,730.00  | $1,730.00  | $1,730.00  
Transportation expenses:          | $1,260.00  | $1,260.00  | $1,260.00  
Estimated Total In-state:         | $41,560.00 | $41,760.00 | $35,960.00 
Estimated Total Out-of-state:     | $41,560.00 | $41,760.00 | $35,960.00 ","Main Address
1200 W University Ave
Mitchell, SD 57301-4358
www.dwu.edu"
Mount Marty College,"Quick Facts
Percentage of students graduating within 6 years : 56.0%
Total undergraduates : 869
First-time degree-seeking freshmen : 119
Percentage of financial need met (average) : 91.0%
Average financial aid package : $33,203.00
In-State Tuition : $29,136.00
Out-of-State Tuition : $29,136.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid",No information,18 - 24,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   479
Admitted :   343
Enrolled :   124
Somewhat selective 72.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,136.00 | $29,136.00 | $29,136.00 
Out-of-state tuition and fees:    | $29,136.00 | $29,136.00 | $29,136.00 
Room and board:                   | $8,346.00  | $8,146.00  | $1,800.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,212.00  | $2,924.00  | $1,500.00  
Transportation expenses:          | $2,214.00  | $2,214.00  | $2,214.00  
Estimated Total In-state:         | $43,108.00 | $43,620.00 | $35,850.00 
Estimated Total Out-of-state:     | $43,108.00 | $43,620.00 | $35,850.00 ","Main Address
1105 W 8th St
Yankton, SD 57078-3725
www.mtmc.edu"
Northern State University,"Quick Facts
Percentage of students graduating within 6 years : 52.0%
Total undergraduates : 3,008
First-time degree-seeking freshmen : 342
Percentage of financial need met (average) : 77.0%
Average financial aid package : $11,179.00
In-State Tuition : $8,750.00
Out-of-State Tuition : $11,821.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $178,703.00
Number of enrolled international undergraduates received aid:  40
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",980 - 1190,19 - 25,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,409
Admitted :   1,190
Enrolled :   342
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,750.00  | $8,750.00  | $8,750.00  
Out-of-state tuition and fees:    | $11,821.00 | $11,821.00 | $11,821.00 
Room and board:                   | $8,926.00  | $8,925.00  | $4,450.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,200.00  | $2,200.00  | $2,200.00  
Transportation expenses:          | $2,000.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $23,076.00 | $23,075.00 | $18,600.00 
Estimated Total Out-of-state:     | $26,147.00 | $26,146.00 | $21,671.00 ","Main Address
1200 S Jay St
Aberdeen, SD 57401-7155
www.northern.edu"
Presentation College,"Quick Facts
Total undergraduates : 761
In-State Tuition : $20,995.00
Out-of-State Tuition : $20,995.00","Setting
Large Town (10-50k)
Rural
Commuter campus","Financial Aid
International students eligible for need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $25.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $20,995.00 | $20,995.00 | $20,995.00 
Out-of-state tuition and fees:    | $20,995.00 | $20,995.00 | $20,995.00 
Room and board:                   | $10,128.00 | $5,356.00  | $1,545.00  
Books and supplies:               | $1,300.00  | $1,300.00  | $1,300.00  
Estimated personal expenses:      |  $620.00   |  $640.00   |  $620.00   
Transportation expenses:          |  $980.00   | $1,009.00  |  $980.00   
Estimated Total In-state:         | $34,023.00 | $29,300.00 | $25,440.00 
Estimated Total Out-of-state:     | $34,023.00 | $29,300.00 | $25,440.00 ","Main Address
1500 N Main St
Aberdeen, SD 57401-1280
www.presentation.edu"
South Dakota School of Mines and Technology,"Quick Facts
Regular Application Deadline : September 1
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 2,206
First-time degree-seeking freshmen : 474
In-State Tuition : $11,020.00
Out-of-State Tuition : $15,400.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",1155 - 1355,24 - 29,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   1,504
Admitted :   1,152
Enrolled :   468
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Sep 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,020.00 | $11,020.00 | $11,020.00 
Out-of-state tuition and fees:    | $15,400.00 | $15,400.00 | $15,400.00 
Room and board:                   | $7,980.00  | $8,770.00  | $1,990.00  
Books and supplies:               | $2,040.00  | $2,040.00  | $2,040.00  
Estimated personal expenses:      | $2,000.00  | $1,800.00  | $2,000.00  
Transportation expenses:          | $2,400.00  | $2,200.00  | $2,400.00  
Estimated Total In-state:         | $25,440.00 | $25,830.00 | $19,450.00 
Estimated Total Out-of-state:     | $29,820.00 | $30,210.00 | $23,830.00 ","Main Address
501 E Saint Joseph St
Rapid City, SD 57701-3901
www.sdsmt.edu"
South Dakota State University,"Quick Facts
Percentage of students graduating within 6 years : 56.0%
Total undergraduates : 10,073
First-time degree-seeking freshmen : 2,123
Percentage of financial need met (average) : 64.0%
Average financial aid package : $9,327.00
In-State Tuition : $9,200.00
Out-of-State Tuition : $12,675.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",1050 - 1260,19 - 26,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   5,861
Admitted :   5,277
Enrolled :   2,123
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,200.00  | $9,200.00  | $9,200.00  
Out-of-state tuition and fees:    | $12,675.00 | $12,675.00 | $12,675.00 
Room and board:                   | $8,069.00  | $8,901.00  | $2,112.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,032.00  | $2,390.00  | $1,793.00  
Transportation expenses:          | $1,975.00  | $2,324.00  | $1,743.00  
Estimated Total In-state:         | $22,476.00 | $24,015.00 | $16,048.00 
Estimated Total Out-of-state:     | $25,951.00 | $27,490.00 | $19,523.00 ","Main Address
1015 Campanile Avenue, Box 2201
Brookings, SD 57007-0001
www.sdstate.edu"
University of Sioux Falls,"Quick Facts
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 1,390
First-time degree-seeking freshmen : 297
Percentage of financial need met (average) : 83.0%
Average financial aid package : $13,928.00
In-State Tuition : $19,520.00
Out-of-State Tuition : $19,520.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1070 - 1230,20 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,929
Admitted :   1,764
Enrolled :   297
Less selective 91.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Oct 1
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,520.00 | $19,520.00 | $19,520.00 
Out-of-state tuition and fees:    | $19,520.00 | $19,520.00 | $19,520.00 
Room and board:                   | $7,700.00  | $9,285.00  | $1,085.00  
Books and supplies:               |  $950.00   |  $950.00   |  $950.00   
Estimated personal expenses:      | $2,225.00  | $2,485.00  | $1,655.00  
Transportation expenses:          | $1,485.00  | $1,660.00  | $1,100.00  
Estimated Total In-state:         | $31,880.00 | $33,900.00 | $24,310.00 
Estimated Total Out-of-state:     | $31,880.00 | $33,900.00 | $24,310.00 ","Main Address
1101 W 22nd St
Sioux Falls, SD 57105-1600
www.usiouxfalls.edu"
