Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
American Baptist College,"Quick Facts
Total undergraduates : 115
In-State Tuition : $14,030.00
Out-of-State Tuition : $14,030.00","Setting
Large City (250-500k)
Urban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,030.00 | $14,030.00 | $14,030.00 
Out-of-state tuition and fees:    | $14,030.00 | $14,030.00 | $14,030.00 
Room and board:                   | $6,528.00  | $13,844.00 | $5,496.00  
Books and supplies:               |  $958.00   |  $958.00   |  $958.00   
Estimated personal expenses:      |     --     | $5,700.00  | $4,517.00  
Transportation expenses:          | $3,982.00  | $3,764.00  | $3,982.00  
Estimated Total In-state:         | $25,498.00 | $38,296.00 | $28,983.00 
Estimated Total Out-of-state:     | $25,498.00 | $38,296.00 | $28,983.00 ","Main Address
1800 Baptist World Center Dr
Nashville, TN 37207-4952
www.abcnash.edu"
Austin Peay State University,"Quick Facts
Regular Application Deadline : August 21
Percentage of students graduating within 6 years : 41.0%
Total undergraduates : 9,971
First-time degree-seeking freshmen : 1,716
Average financial aid package : $5,991.00
In-State Tuition : $8,627.00
Out-of-State Tuition : $14,171.00","Setting
Small City (50-250k)
Urban
Commuter campus",Financial Aid,960 - 1170,19 - 24,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Total applicants :   7,412
Admitted :   7,044
Enrolled :   1,716
Less selective 95.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 21
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      | $4,080.00  | $4,080.00  | $4,080.00  
Transportation expenses:          | $2,237.00  | $2,237.00  | $2,237.00  
Estimated Total In-state:         | $7,567.00  | $7,567.00  | $7,567.00  
Estimated Total Out-of-state:     | $7,567.00  | $7,567.00  | $7,567.00  ","Main Address
601 College St
Clarksville, TN 37044-0001
www.apsu.edu"
Belmont University,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 72.0%
Total undergraduates : 6,808
First-time degree-seeking freshmen : 1,684
Percentage of financial need met (average) : 76.0%
Average financial aid package : $28,487.00
In-State Tuition : $37,030.00
Out-of-State Tuition : $37,030.00","Setting
Very Large City (>500k)
Urban
Residential campus
Other Characteristics
.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,181,546.00
Number of enrolled international undergraduates received aid:  39
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1130 - 1320,24 - 29,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,965
Admitted :   6,675
Enrolled :   1,684
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   Aug 1
Priority application due :   Dec 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,030.00 | $37,030.00 | $37,030.00 
Out-of-state tuition and fees:    | $37,030.00 | $37,030.00 | $37,030.00 
Room and board:                   | $12,890.00 | $12,890.00 |     --     
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $2,650.00  | $2,650.00  | $2,650.00  
Transportation expenses:          | $2,375.00  | $2,375.00  | $2,375.00  
Estimated Total In-state:         | $56,345.00 | $56,345.00 | $43,455.00 
Estimated Total Out-of-state:     | $56,345.00 | $56,345.00 | $43,455.00 ","Main Address
1900 Belmont Blvd
Nashville, TN 37212-3758
www.belmont.edu"
Bethel University 1910,"Quick Facts
Percentage of students graduating within 6 years : 32.0%
Total undergraduates : 2,413
First-time degree-seeking freshmen : 418
Percentage of financial need met (average) : 76.0%
Average financial aid package : $20,007.00
In-State Tuition : $17,010.00
Out-of-State Tuition : $17,010.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Some programs provide laptops or other technology upon full-time registration.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,17 - 22,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,541
Admitted :   360
Enrolled :   360
Most selective 23.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,010.00 | $17,010.00 | $17,010.00 
Out-of-state tuition and fees:    | $17,010.00 | $17,010.00 | $17,010.00 
Room and board:                   | $9,368.00  | $9,198.00  | $3,384.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,620.00  | $1,620.00  | $1,620.00  
Transportation expenses:          | $3,000.00  | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $32,198.00 | $32,028.00 | $26,214.00 
Estimated Total Out-of-state:     | $32,198.00 | $32,028.00 | $26,214.00 ","Main Address
325 Cherry Ave
Mc Kenzie, TN 38201-1769
www.bethelu.edu"
Bryan College,"Quick Facts
Percentage of students graduating within 6 years : 46.0%
Total undergraduates : 1,266
First-time degree-seeking freshmen : 191
Average financial aid package : $25,887.00
In-State Tuition : $17,100.00
Out-of-State Tuition : $17,100.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
All courses taught from Christian perspective. All faculty sign statement of faith annually.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,21 - 26,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   990
Admitted :   505
Enrolled :   191
Somewhat selective 51.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Jul 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 15","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,100.00 | $17,100.00 | $17,100.00 
Out-of-state tuition and fees:    | $17,100.00 | $17,100.00 | $17,100.00 
Room and board:                   | $7,800.00  | $9,800.00  | $3,107.00  
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      | $1,700.00  | $1,700.00  | $1,700.00  
Transportation expenses:          | $1,000.00  |  $100.00   | $1,000.00  
Estimated Total In-state:         | $28,850.00 | $29,950.00 | $24,157.00 
Estimated Total Out-of-state:     | $28,850.00 | $29,950.00 | $24,157.00 ","Main Address
721 Bryan Dr
Dayton, TN 37321-6275
www.bryan.edu"
Carson-Newman University,"Quick Facts
Percentage of students graduating within 6 years : 57.0%
Total undergraduates : 1,840
First-time degree-seeking freshmen : 557
Percentage of financial need met (average) : 74.0%
Average financial aid package : $24,928.00
In-State Tuition : $29,500.00
Out-of-State Tuition : $29,500.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $303,662.00
Number of enrolled international undergraduates received aid:  42
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",970 - 1150,20 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,862
Admitted :   2,674
Enrolled :   557
Somewhat selective 69.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 18",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,500.00 | $29,500.00 | $29,500.00 
Out-of-state tuition and fees:    | $29,500.00 | $29,500.00 | $29,500.00 
Room and board:                   | $8,150.00  | $7,508.00  | $1,320.00  
Books and supplies:               | $1,600.00  | $1,600.00  | $1,600.00  
Estimated personal expenses:      | $1,796.00  | $1,796.00  | $1,796.00  
Transportation expenses:          | $1,244.00  | $1,402.00  | $1,402.00  
Estimated Total In-state:         | $42,290.00 | $41,806.00 | $35,618.00 
Estimated Total Out-of-state:     | $42,290.00 | $41,806.00 | $35,618.00 ","Main Address
1646 Russell Ave
Jefferson City, TN 37760-2204
www.cn.edu"
Christian Brothers University,"Quick Facts
Percentage of students graduating within 6 years : 60.0%
Total undergraduates : 1,448
First-time degree-seeking freshmen : 340
Percentage of financial need met (average) : 99.0%
Average financial aid package : $30,439.00
In-State Tuition : $34,820.00
Out-of-State Tuition : $34,820.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,601,230.00
Number of enrolled international undergraduates received aid:  61
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,22 - 27,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,284
Admitted :   1,647
Enrolled :   340
Somewhat selective 50.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,820.00 | $34,820.00 | $34,820.00 
Out-of-state tuition and fees:    | $34,820.00 | $34,820.00 | $34,820.00 
Room and board:                   | $7,950.00  | $7,908.00  | $3,179.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,690.00  | $1,690.00  | $1,690.00  
Transportation expenses:          |  $990.00   |  $990.00   |  $990.00   
Estimated Total In-state:         | $46,450.00 | $46,408.00 | $41,679.00 
Estimated Total Out-of-state:     | $46,450.00 | $46,408.00 | $41,679.00 ","Main Address
650 E Parkway S
Memphis, TN 38104-5519
www.cbu.edu"
Cumberland University,"Quick Facts
Total undergraduates : 1,971
In-State Tuition : $25,386.00
Out-of-State Tuition : $25,386.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $25,386.00 | $25,386.00 | $25,386.00 
Out-of-state tuition and fees:    | $25,386.00 | $25,386.00 | $25,386.00 
Room and board:                   | $8,850.00  |     --     |     --     
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $2,665.00  | $12,865.00 | $10,085.00 
Transportation expenses:          | $1,665.00  | $2,105.00  | $2,105.00  
Estimated Total In-state:         | $40,066.00 | $41,856.00 | $39,076.00 
Estimated Total Out-of-state:     | $40,066.00 | $41,856.00 | $39,076.00 ","Main Address
1 Cumberland Sq
Lebanon, TN 37087-3408
www.cumberland.edu"
East Tennessee State University,"Quick Facts
Percentage of students graduating within 6 years : 50.0%
Total undergraduates : 11,151
First-time degree-seeking freshmen : 1,786
Percentage of financial need met (average) : 54.0%
Average financial aid package : $11,600.00
In-State Tuition : $9,492.00
Out-of-State Tuition : $30,594.00","Setting
Small City (50-250k)
Rural
Commuter campus
Other Characteristics
Additional campus in Kingsport.",Financial Aid,990 - 1180,20 - 27,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,492.00  | $9,492.00  | $9,492.00  
Out-of-state tuition and fees:    | $30,594.00 | $30,594.00 | $30,594.00 
Room and board:                   | $8,938.00  | $8,472.00  | $3,794.00  
Books and supplies:               | $1,276.00  | $1,276.00  | $1,276.00  
Estimated personal expenses:      | $2,265.00  | $2,265.00  | $2,265.00  
Transportation expenses:          | $3,120.00  | $3,120.00  | $3,120.00  
Estimated Total In-state:         | $25,091.00 | $24,625.00 | $19,947.00 
Estimated Total Out-of-state:     | $46,193.00 | $45,727.00 | $41,049.00 ","Main Address
1276 Gilbreath Dr
Johnson City, TN 37614-6503
www.etsu.edu"
Fisk University,"Quick Facts
Total undergraduates : 664
In-State Tuition : $22,132.00
Out-of-State Tuition : $22,132.00","Setting
Very Large City (>500k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper application (reduced fee for online application)
Application Fee Waiver Available:   Yes
Additional application fee information:   Paper application fee may be waived for applicants with financial need
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,132.00 | $22,132.00 | $22,132.00 
Out-of-state tuition and fees:    | $22,132.00 | $22,132.00 | $22,132.00 
Room and board:                   | $11,112.00 | $13,221.00 | $4,408.00  
Books and supplies:               | $2,100.00  | $2,100.00  | $2,100.00  
Estimated personal expenses:      | $2,100.00  | $2,100.00  | $2,100.00  
Transportation expenses:          |     --     |     --     | $2,100.00  
Estimated Total In-state:         | $37,444.00 | $39,553.00 | $32,840.00 
Estimated Total Out-of-state:     | $37,444.00 | $39,553.00 | $32,840.00 ","Main Address
1000 17th Ave N
Nashville, TN 37208-3045
www.fisk.edu"
