Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Abilene Christian University,"Quick Facts
Regular Application Deadline : February 15
Percentage of students graduating within 6 years : 62.0%
Total undergraduates : 3,525
First-time degree-seeking freshmen : 932
In-State Tuition : $37,800.00
Out-of-State Tuition : $37,800.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",1020 - 1230,21 - 28,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   11,349
Admitted :   6,996
Enrolled :   932
Somewhat selective 62.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   6,237
Admitted early action :   4,397
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 15
Regular application due:   Feb 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,800.00 | $37,800.00 | $37,800.00 
Out-of-state tuition and fees:    | $37,800.00 | $37,800.00 | $37,800.00 
Room and board:                   | $11,350.00 | $11,350.00 | $5,500.00  
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      | $1,892.00  | $1,892.00  | $1,892.00  
Transportation expenses:          | $1,450.00  | $1,450.00  | $1,450.00  
Estimated Total In-state:         | $53,742.00 | $53,742.00 | $47,892.00 
Estimated Total Out-of-state:     | $53,742.00 | $53,742.00 | $47,892.00 ","Main Address
1600 Campus Ct
Abilene, TX 79601-3761
https://www.acu.edu/"
Angelo State University,"Quick Facts
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 9,046
First-time degree-seeking freshmen : 1,260
Percentage of financial need met (average) : 71.0%
Average financial aid package : $11,490.00
In-State Tuition : $9,011.00
Out-of-State Tuition : $21,881.00","Setting
Small City (50-250k)
Urban
Residential campus
Other Characteristics
Angelo State University is a Hispanic Serving Institution (HSI). The institution has been designated a Military Friendly School by G.I. Jobs magazine every year since 2010.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $834,158.00
Number of enrolled international undergraduates received aid:  153
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1140,18 - 23,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   3,913
Admitted :   2,997
Enrolled :   1,433
Less selective 77.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 4
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Aug 19",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $9,011.00  | $9,011.00  | $9,011.00  
Out-of-state tuition and fees:    | $21,881.00 | $21,881.00 | $21,881.00 
Room and board:                   | $9,630.00  | $9,130.00  | $3,350.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,480.00  | $1,480.00  | $1,480.00  
Transportation expenses:          | $1,800.00  | $1,800.00  | $1,800.00  
Estimated Total In-state:         | $23,121.00 | $22,621.00 | $16,841.00 
Estimated Total Out-of-state:     | $35,991.00 | $35,491.00 | $29,711.00 ","Main Address
2601 W Avenue N
San Angelo, TX 76909-2601
https://www.angelo.edu/"
Austin College,"Quick Facts
Regular Application Deadline : March 1
Percentage of students graduating within 6 years : 72.0%
Total undergraduates : 1,294
First-time degree-seeking freshmen : 378
Percentage of financial need met (average) : 88.0%
Average financial aid package : $40,581.00
In-State Tuition : $42,615.00
Out-of-State Tuition : $42,615.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $341,210.00
Number of enrolled international undergraduates received aid:  14
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1110 - 1310,23 - 29,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   4,360
Admitted :   2,236
Enrolled :   378
Somewhat selective 51.0% of applicants admitted
Applied early admission :   14
Admitted early admission :   14
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Mar 1
Priority application due :   Feb 1
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   May 15","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 4
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $42,615.00 | $42,615.00 | $42,615.00 
Out-of-state tuition and fees:    | $42,615.00 | $42,615.00 | $42,615.00 
Room and board:                   | $12,752.00 | $9,250.00  |     --     
Books and supplies:               | $1,250.00  | $1,250.00  | $1,250.00  
Estimated personal expenses:      |  $350.00   |  $350.00   |  $350.00   
Transportation expenses:          |  $525.00   |  $525.00   |  $525.00   
Estimated Total In-state:         | $57,492.00 | $53,990.00 | $44,740.00 
Estimated Total Out-of-state:     | $57,492.00 | $53,990.00 | $44,740.00 ","Main Address
900 N Grand Ave
Sherman, TX 75090-4440
https://www.austincollege.edu/"
Baylor University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 78.0%
Total undergraduates : 14,108
First-time degree-seeking freshmen : 3,307
Percentage of financial need met (average) : 68.0%
Average financial aid package : $31,871.00
In-State Tuition : $49,436.00
Out-of-State Tuition : $49,436.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $5,755,650.00
Number of enrolled international undergraduates received aid:  347
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1200 - 1380,26 - 32,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   34,582
Admitted :   15,676
Enrolled :   3,307
Very selective 45.0% of applicants admitted
Applied early admission :   558
Admitted early admission :   489
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   6,884
Number accepting place :   1,637
Accepted from list :   803
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $49,436.00 | $49,436.00 | $49,436.00 
Out-of-state tuition and fees:    | $49,436.00 | $49,436.00 | $49,436.00 
Room and board:                   | $13,274.00 | $12,318.00 | $2,200.00  
Books and supplies:               | $1,284.00  | $1,284.00  | $1,284.00  
Estimated personal expenses:      | $1,974.00  | $1,974.00  | $1,974.00  
Transportation expenses:          | $1,302.00  | $1,928.00  | $1,928.00  
Estimated Total In-state:         | $67,270.00 | $66,940.00 | $56,822.00 
Estimated Total Out-of-state:     | $67,270.00 | $66,940.00 | $56,822.00 ","Main Address
1301 South University Parks Drive
Waco, TX 76798
https://www.baylor.edu/"
Concordia University Texas,"Quick Facts
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 1,827
First-time degree-seeking freshmen : 234
Percentage of financial need met (average) : 72.0%
Average financial aid package : $26,226.00
In-State Tuition : $33,800.00
Out-of-State Tuition : $33,800.00","Setting
Very Large City (>500k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1130,18 - 23,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,435
Admitted :   1,298
Enrolled :   234
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   Aug 1
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,800.00 | $33,800.00 | $33,800.00 
Out-of-state tuition and fees:    | $33,800.00 | $33,800.00 | $33,800.00 
Room and board:                   | $12,950.00 | $7,312.00  | $1,390.00  
Books and supplies:               |  $782.00   |  $782.00   |  $782.00   
Estimated personal expenses:      |     --     | $1,506.00  |     --     
Transportation expenses:          |     --     | $1,680.00  |     --     
Estimated Total In-state:         | $47,532.00 | $45,080.00 | $35,972.00 
Estimated Total Out-of-state:     | $47,532.00 | $45,080.00 | $35,972.00 ","Main Address
11400 Concordia University Dr
Austin, TX 78726-1887
https://www.concordia.edu/"
Dallas Baptist University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 2,883
First-time degree-seeking freshmen : 572
Percentage of financial need met (average) : 74.0%
Average financial aid package : $21,845.00
In-State Tuition : $31,940.00
Out-of-State Tuition : $31,940.00","Setting
Very Large City (>500k)
Suburban
Residential campus
Other Characteristics
Christ-centered education that fully integrates Biblical faith and academic learning.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $814,814.00
Number of enrolled international undergraduates received aid:  96",1030 - 1250,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,241
Admitted :   2,912
Enrolled :   572
Less selective 90.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,940.00 | $31,940.00 | $31,940.00 
Out-of-state tuition and fees:    | $31,940.00 | $31,940.00 | $31,940.00 
Room and board:                   | $8,568.00  | $11,601.00 | $1,467.00  
Books and supplies:               | $1,320.00  | $1,320.00  | $1,320.00  
Estimated personal expenses:      | $2,061.00  | $2,061.00  | $2,061.00  
Transportation expenses:          |  $936.00   | $3,060.00  | $3,060.00  
Estimated Total In-state:         | $44,825.00 | $49,982.00 | $39,848.00 
Estimated Total Out-of-state:     | $44,825.00 | $49,982.00 | $39,848.00 ","Main Address
3000 Mountain Creek Pkwy
Dallas, TX 75211-6700
https://www.dbu.edu/"
Dallas Christian College,"Quick Facts
Total undergraduates : 194
First-time degree-seeking freshmen : 34
In-State Tuition : $17,950.00
Out-of-State Tuition : $17,950.00","Setting
Very Large City (>500k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid",830 - 990,15 - 22,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   Aug 15
Housing deposit due :   Aug 10",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,950.00 | $17,950.00 | $17,950.00 
Out-of-state tuition and fees:    | $17,950.00 | $17,950.00 | $17,950.00 
Room and board:                   | $8,920.00  |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |  $380.00   |     --     |  $925.00   
Estimated Total In-state:         | $28,250.00 | $18,950.00 | $19,875.00 
Estimated Total Out-of-state:     | $28,250.00 | $18,950.00 | $19,875.00 ","Main Address
2700 Christian Pkwy
Dallas, TX 75234-7229
https://www.dallas.edu/"
East Texas Baptist University,"Quick Facts
Regular Application Deadline : August 25
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 1,471
First-time degree-seeking freshmen : 345
Percentage of financial need met (average) : 26.0%
Average financial aid package : $18,826.00
In-State Tuition : $27,640.00
Out-of-State Tuition : $27,640.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $151,388.00
Number of enrolled international undergraduates received aid:  12
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",920 - 1120,17 - 22,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,777
Admitted :   1,056
Enrolled :   345
Somewhat selective 59.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 25
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,640.00 | $27,640.00 | $27,640.00 
Out-of-state tuition and fees:    | $27,640.00 | $27,640.00 | $27,640.00 
Room and board:                   | $9,894.00  | $5,850.00  | $1,197.00  
Books and supplies:               |  $880.00   |  $880.00   |  $880.00   
Estimated personal expenses:      | $1,350.00  | $1,350.00  | $1,350.00  
Transportation expenses:          |  $800.00   | $1,200.00  | $1,800.00  
Estimated Total In-state:         | $40,564.00 | $36,920.00 | $32,867.00 
Estimated Total Out-of-state:     | $40,564.00 | $36,920.00 | $32,867.00 ","Main Address
1 Tiger Dr
Marshall, TX 75670-1412
https://www.etbu.edu/"
Hardin-Simmons University,"Quick Facts
Percentage of students graduating within 6 years : 51.0%
Total undergraduates : 1,742
First-time degree-seeking freshmen : 479
Percentage of financial need met (average) : 83.0%
Average financial aid package : $32,163.00
In-State Tuition : $31,366.00
Out-of-State Tuition : $31,366.00","Setting
Small City (50-250k)
Urban
Residential campus
Other Characteristics
Part of 2-member consortium (with McMurry University) comprising Patty Hanks Shelton School of Nursing.","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $992,638.00
Number of enrolled international undergraduates received aid:  52
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1150,18 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   2,189
Admitted :   1,834
Enrolled :   479
Less selective 84.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,976.00  | $1,976.00  | $1,976.00  
Transportation expenses:          | $1,200.00  | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $3,976.00  | $3,976.00  | $3,976.00  
Estimated Total Out-of-state:     | $3,976.00  | $3,976.00  | $3,976.00  ","Main Address
2200 Hickory St
Abilene, TX 79601-2345
https://www.hsutx.edu/"
Houston Baptist University,"Quick Facts
Percentage of students graduating within 6 years : 44.0%
Total undergraduates : 2,632
First-time degree-seeking freshmen : 727
Percentage of financial need met (average) : 74.0%
Average financial aid package : $30,589.00
In-State Tuition : $34,500.00
Out-of-State Tuition : $34,500.00","Setting
Very Large City (>500k)
Suburban
Commuter campus
Other Characteristics
Christian liberal arts university; Hispanic Serving Institution","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,641,755.00
Number of enrolled international undergraduates received aid:  102
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1020 - 1180,19 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   8,441
Admitted :   5,943
Enrolled :   727
Somewhat selective 70.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,500.00 | $34,500.00 | $34,500.00 
Out-of-state tuition and fees:    | $34,500.00 | $34,500.00 | $34,500.00 
Room and board:                   | $9,130.00  | $9,800.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,802.00  | $2,802.00  | $2,802.00  
Transportation expenses:          | $1,760.00  | $3,168.00  | $3,168.00  
Estimated Total In-state:         | $49,192.00 | $51,270.00 | $41,470.00 
Estimated Total Out-of-state:     | $49,192.00 | $51,270.00 | $41,470.00 ","Main Address
7502 Fondren Road
Houston, TX 77074-3298
https://hbu.edu/"
