Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bennington College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 76.0%
Total undergraduates : 733
First-time degree-seeking freshmen : 179
Percentage of financial need met (average) : 86.0%
Average financial aid package : $47,458.00
In-State Tuition : $58,699.00
Out-of-State Tuition : $58,699.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $5,422,671.00
Number of enrolled international undergraduates received aid:  118
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances",1250 - 1440,29 - 32,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,344
Admitted :   817
Enrolled :   179
Somewhat selective 61.0% of applicants admitted
Applied early admission :   59
Admitted early admission :   30
Applied early action :   439
Admitted early action :   295
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   132
Number accepting place :   75
Accepted from list :   26
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Mar 23
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 31
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 13
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   Feb 7","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $58,699.00 | $58,699.00 | $58,699.00 
Out-of-state tuition and fees:    | $58,699.00 | $58,699.00 | $58,699.00 
Room and board:                   | $16,840.00 | $16,840.00 | $7,700.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,800.00  | $2,800.00  | $2,800.00  
Transportation expenses:          |  $550.00   |  $550.00   |  $550.00   
Estimated Total In-state:         | $79,889.00 | $79,889.00 | $70,749.00 
Estimated Total Out-of-state:     | $79,889.00 | $79,889.00 | $70,749.00 ","Main Address
1 College Dr
Bennington, VT 05201-6003
www.bennington.edu"
Castleton University,"Quick Facts
Total undergraduates : 2,008
First-time degree-seeking freshmen : 397
In-State Tuition : $13,044.00
Out-of-State Tuition : $30,012.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid",910 - 1130,18 - 23,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,161
Admitted :   1,847
Enrolled :   424
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,044.00 | $13,044.00 | $13,044.00 
Out-of-state tuition and fees:    | $30,012.00 | $30,012.00 | $30,012.00 
Room and board:                   | $11,694.00 | $10,890.00 |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $720.00   |  $720.00   |  $720.00   
Transportation expenses:          |  $684.00   | $1,620.00  | $1,620.00  
Estimated Total In-state:         | $27,142.00 | $27,274.00 | $16,384.00 
Estimated Total Out-of-state:     | $44,110.00 | $44,242.00 | $33,352.00 ","Main Address
86 Seminary St
Castleton, VT 05735-4453
www.castleton.edu"
Champlain College,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 65.0%
Total undergraduates : 2,078
First-time degree-seeking freshmen : 524
Percentage of financial need met (average) : 79.0%
Average financial aid package : $33,229.00
In-State Tuition : $42,784.00
Out-of-State Tuition : $42,784.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid",1110 - 1320,24 - 29,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,629
Admitted :   3,090
Enrolled :   524
Less selective 85.0% of applicants admitted
Applied early admission :   274
Admitted early admission :   231
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   Nov 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $42,784.00 | $42,784.00 | $42,784.00 
Out-of-state tuition and fees:    | $42,784.00 | $42,784.00 | $42,784.00 
Room and board:                   | $15,854.00 | $11,738.00 | $2,508.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,010.00  | $1,010.00  | $1,010.00  
Transportation expenses:          | $1,424.00  | $1,424.00  | $1,424.00  
Estimated Total In-state:         | $62,072.00 | $57,956.00 | $48,726.00 
Estimated Total Out-of-state:     | $62,072.00 | $57,956.00 | $48,726.00 ","Main Address
163 S Willard St
Burlington, VT 05401-3902
www.champlain.edu"
Goddard College,"Quick Facts
Total undergraduates : 160
First-time degree-seeking freshmen : 8
Percentage of financial need met (average) : 31.0%
Average financial aid package : $8,422.00
In-State Tuition : $17,084.00
Out-of-State Tuition : $17,084.00","Setting
Rural Community (<2,500)
Rural
Commuter campus
Other Characteristics
All programs operate exclusively on a low-residency model entailing 8 days on campus at the beginning of each semester. Students study from home or elsewhere the rest of the term. This is neither a residential model nor an online approach, but blends aspects of both to provide maximum operational flexibility for students with other commitments, while maintaining academic depth and student engagement.","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $17,084.00 | $17,084.00 | $17,084.00 
Out-of-state tuition and fees:    | $17,084.00 | $17,084.00 | $17,084.00 
Room and board:                   | $1,752.00  |     --     |  $878.00   
Books and supplies:               |  $600.00   |  $600.00   |  $600.00   
Estimated personal expenses:      |     --     |     --     |     --     
Transportation expenses:          |     --     |     --     | $1,200.00  
Estimated Total In-state:         | $19,436.00 | $17,684.00 | $19,762.00 
Estimated Total Out-of-state:     | $19,436.00 | $17,684.00 | $19,762.00 ","Main Address
123 Pitkin Rd
Plainfield, VT 05667-9432
www.goddard.edu"
Landmark College,"Quick Facts
Total undergraduates : 401
First-time degree-seeking freshmen : 92
Percentage of financial need met (average) : 62.0%
Average financial aid package : $32,400.00
In-State Tuition : $60,280.00
Out-of-State Tuition : $60,280.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
College exclusively for bright students diagnosed with dyslexia, attention disorders, autism, specific learning disabilities, and other learning-related mental health challenges.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $35,000.00
Number of enrolled international undergraduates received aid:  4",No information,No information,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   419
Admitted :   197
Enrolled :   92
Very selective 47.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $60,280.00 | $60,280.00 | $60,280.00 
Out-of-state tuition and fees:    | $60,280.00 | $60,280.00 | $60,280.00 
Room and board:                   | $13,420.00 | $12,900.00 | $6,240.00  
Books and supplies:               | $1,400.00  | $1,400.00  | $1,400.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          |  $700.00   |  $700.00   |  $700.00   
Estimated Total In-state:         | $77,800.00 | $77,280.00 | $70,620.00 
Estimated Total Out-of-state:     | $77,800.00 | $77,280.00 | $70,620.00 ","Main Address
19 River Rd S
Putney, VT 05346-8517
www.landmark.edu"
Marlboro College,"Quick Facts
Total undergraduates : 146
Percentage of financial need met (average) : 86.0%
Average financial aid package : $39,044.00
In-State Tuition : $27,485.00
Out-of-State Tuition : $27,485.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,485.00 | $27,485.00 | $27,485.00 
Out-of-state tuition and fees:    | $27,485.00 | $27,485.00 | $27,485.00 
Room and board:                   | $12,595.00 | $8,910.00  | $3,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      |   $70.00   |   $70.00   |   $70.00   
Transportation expenses:          | $2,000.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $43,350.00 | $39,665.00 | $33,755.00 
Estimated Total Out-of-state:     | $43,350.00 | $39,665.00 | $33,755.00 ","Main Address
2582 South Rd
Marlboro, VT 05344-9801
www.marlboro.edu"
Middlebury College,"Quick Facts
Percentage of students graduating within 6 years : 93.0%
Total undergraduates : 2,580
First-time degree-seeking freshmen : 605
Percentage of financial need met (average) : 100.0%
Average financial aid package : $52,823.00
In-State Tuition : $58,316.00
Out-of-State Tuition : $58,316.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
Total Amount Awarded:  $8,961,114.00
Number of enrolled international undergraduates received aid:  141
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1350 - 1530,31 - 34,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,754
Admitted :   1,498
Enrolled :   605
Most selective 15.0% of applicants admitted
Applied early admission :   831
Admitted early admission :   372
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   1,576
Number accepting place :   584
Accepted from list :   111
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $58,316.00 | $58,316.00 | $58,316.00 
Out-of-state tuition and fees:    | $58,316.00 | $58,316.00 | $58,316.00 
Room and board:                   | $16,630.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,000.00  |     --     |     --     
Transportation expenses:          |     --     |  $200.00   |     --     
Estimated Total In-state:         | $76,946.00 | $59,516.00 | $59,316.00 
Estimated Total Out-of-state:     | $76,946.00 | $59,516.00 | $59,316.00 ","Main Address
Middlebury College
Middlebury, VT 05753-6200
www.middlebury.edu"
Northern Vermont University,"Quick Facts
Percentage of students graduating within 6 years : 36.0%
Total undergraduates : 2,065
In-State Tuition : $12,804.00
Out-of-State Tuition : $26,892.00","Setting
Small Town (2,500-10k)
Rural
Residential campus
Other Characteristics
Northern Vermont University has two campus locations in Johnson Vermont and Lyndon Vermont along with NVU Online programs along with certificate programs.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,997
Admitted :   2,339
Enrolled :   336
Less selective 78.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $12,804.00 | $12,804.00 | $12,804.00 
Out-of-state tuition and fees:    | $26,892.00 | $26,892.00 | $26,892.00 
Room and board:                   | $11,694.00 |     --     |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      |  $700.00   |  $700.00   |  $700.00   
Transportation expenses:          |  $650.00   |  $850.00   |  $850.00   
Estimated Total In-state:         | $26,848.00 | $15,354.00 | $15,354.00 
Estimated Total Out-of-state:     | $40,936.00 | $29,442.00 | $29,442.00 ","Main Address
337 College Hl
Johnson, VT 05656-9741
www.northernvermont.edu"
Norwich University,"Quick Facts
Percentage of students graduating within 6 years : 61.0%
Total undergraduates : 3,266
First-time degree-seeking freshmen : 663
Percentage of financial need met (average) : 87.0%
Average financial aid package : $41,785.00
In-State Tuition : $43,500.00
Out-of-State Tuition : $43,500.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $3,146,856.00
Number of enrolled international undergraduates received aid:  88
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1040 - 1230,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,831
Admitted :   2,877
Enrolled :   694
Less selective 75.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $43,500.00 | $43,500.00 | $43,500.00 
Out-of-state tuition and fees:    | $43,500.00 | $43,500.00 | $43,500.00 
Room and board:                   | $14,854.00 |     --     |     --     
Books and supplies:               |     --     |     --     |     --     
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          | $1,200.00  | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $61,054.00 | $46,200.00 | $46,200.00 
Estimated Total Out-of-state:     | $61,054.00 | $46,200.00 | $46,200.00 ","Main Address
158 Harmon Dr
Northfield, VT 05663-1000
www.norwich.edu"
Sterling College 1496,"Quick Facts
Total undergraduates : 130
First-time degree-seeking freshmen : 24
In-State Tuition : $39,200.00
Out-of-State Tuition : $39,200.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   91
Admitted :   77
Enrolled :   23
Less selective 85.0% of applicants admitted
Applied early admission :   4
Admitted early admission :   2
Applied early action :   70
Admitted early action :   45
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   4
Number accepting place :   4
Accepted from list :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 15
College will notify student of early action admission by :   Feb 1
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $39,200.00 | $39,200.00 | $39,200.00 
Out-of-state tuition and fees:    | $39,200.00 | $39,200.00 | $39,200.00 
Room and board:                   | $10,400.00 |     --     |     --     
Books and supplies:               | $1,500.00  | $1,500.00  | $1,500.00  
Estimated personal expenses:      | $1,200.00  | $1,200.00  | $1,200.00  
Transportation expenses:          |  $700.00   |  $700.00   |  $700.00   
Estimated Total In-state:         | $53,000.00 | $42,600.00 | $42,600.00 
Estimated Total Out-of-state:     | $53,000.00 | $42,600.00 | $42,600.00 ","Main Address
16 Sterling Dr
Craftsbury Common, VT 05827-9811
https://sterlingcollege.edu/"
