Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Averett University,"Quick Facts
Percentage of students graduating within 6 years : 41.0%
Total undergraduates : 903
First-time degree-seeking freshmen : 232
Percentage of financial need met (average) : 70.0%
Average financial aid package : $26,458.00
In-State Tuition : $36,670.00
Out-of-State Tuition : $36,670.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",860 - 1060,15 - 20,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   513
Admitted :   507
Enrolled :   232
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 29",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,670.00 | $36,670.00 | $36,670.00 
Out-of-state tuition and fees:    | $36,670.00 | $36,670.00 | $36,670.00 
Room and board:                   | $10,920.00 | $4,776.00  |  $916.00   
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,722.00  | $1,722.00  | $1,722.00  
Transportation expenses:          |  $734.00   | $1,442.00  | $1,542.00  
Estimated Total In-state:         | $51,046.00 | $45,610.00 | $41,850.00 
Estimated Total Out-of-state:     | $51,046.00 | $45,610.00 | $41,850.00 ","Main Address
420 W Main St
Danville, VA 24541-3612
https://www.averett.edu/"
Bluefield College,"Quick Facts
Total undergraduates : 952
First-time degree-seeking freshmen : 188
Percentage of financial need met (average) : 68.0%
Average financial aid package : $18,518.00
In-State Tuition : $27,550.00
Out-of-State Tuition : $27,550.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",900 - 1070,16 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,534
Admitted :   1,525
Enrolled :   188
Less selective 99.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,550.00 | $27,550.00 | $27,550.00 
Out-of-state tuition and fees:    | $27,550.00 | $27,550.00 | $27,550.00 
Room and board:                   | $9,536.00  | $7,700.00  | $4,100.00  
Books and supplies:               |  $440.00   |  $440.00   |  $440.00   
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          | $1,800.00  | $2,300.00  | $3,400.00  
Estimated Total In-state:         | $40,826.00 | $39,490.00 | $36,990.00 
Estimated Total Out-of-state:     | $40,826.00 | $39,490.00 | $36,990.00 ","Main Address
3000 College Ave
Bluefield, VA 24605-2050
www.bluefield.edu"
Bridgewater College,"Quick Facts
Regular Application Deadline : May 1
Percentage of students graduating within 6 years : 59.0%
Total undergraduates : 1,713
First-time degree-seeking freshmen : 487
Percentage of financial need met (average) : 85.0%
Average financial aid package : $34,825.00
In-State Tuition : $37,720.00
Out-of-State Tuition : $37,720.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $936,199.00
Number of enrolled international undergraduates received aid:  32
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",960 - 1180,18 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   6,279
Admitted :   4,225
Enrolled :   487
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   31
Number accepting place :   13
Accepted from list :   1
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   May 1
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $37,720.00 | $37,720.00 | $37,720.00 
Out-of-state tuition and fees:    | $37,720.00 | $37,720.00 | $37,720.00 
Room and board:                   | $13,360.00 | $9,720.00  | $4,050.00  
Books and supplies:               | $1,150.00  | $1,150.00  | $1,150.00  
Estimated personal expenses:      | $1,080.00  | $1,080.00  | $1,080.00  
Transportation expenses:          | $1,200.00  | $1,980.00  | $1,980.00  
Estimated Total In-state:         | $54,510.00 | $51,650.00 | $45,980.00 
Estimated Total Out-of-state:     | $54,510.00 | $51,650.00 | $45,980.00 ","Main Address
402 E College St
Bridgewater, VA 22812-1511
https://www.bridgewater.edu/"
Christopher Newport University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 78.0%
Total undergraduates : 4,837
First-time degree-seeking freshmen : 1,238
Percentage of financial need met (average) : 67.0%
Average financial aid package : $10,257.00
In-State Tuition : $14,924.00
Out-of-State Tuition : $27,390.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $24,100.00
Number of enrolled international undergraduates received aid:  4",1110 - 1280,22 - 27,"General Applying Information
Application Fee:   $65.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,204
Admitted :   5,179
Enrolled :   1,238
Somewhat selective 72.0% of applicants admitted
Applied early admission :   416
Admitted early admission :   354
Applied early action :   4,094
Admitted early action :   3,382
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   1,001
Number accepting place :   338
Accepted from list :   100
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   Feb 1
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 15
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $14,924.00 | $14,924.00 | $14,924.00 
Out-of-state tuition and fees:    | $27,390.00 | $27,390.00 | $27,390.00 
Room and board:                   | $11,760.00 | $12,424.00 | $4,500.00  
Books and supplies:               | $1,304.00  | $1,304.00  | $1,304.00  
Estimated personal expenses:      | $2,532.00  | $2,172.00  | $2,172.00  
Transportation expenses:          | $1,218.00  | $2,122.00  | $2,122.00  
Estimated Total In-state:         | $31,738.00 | $32,946.00 | $25,022.00 
Estimated Total Out-of-state:     | $44,204.00 | $45,412.00 | $37,488.00 ","Main Address
1 Avenue of the Arts
Newport News, VA 23606-3072
www.cnu.edu"
College of William and Mary,"Quick Facts
Regular Application Deadline : January 1
Total undergraduates : 6,256
First-time degree-seeking freshmen : 1,530
Percentage of financial need met (average) : 84.0%
Average financial aid package : $26,125.00
In-State Tuition : $23,628.00
Out-of-State Tuition : $46,283.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
Non-resident aliens must submit the following financial aid forms:
CSS/Financial Aid PROFILE",1320 - 1510,30 - 34,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   14,680
Admitted :   5,532
Enrolled :   1,530
Very selective 38.0% of applicants admitted
Applied early admission :   1,160
Admitted early admission :   571
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Offered place on waitlist :   3,937
Number accepting place :   1,989
Accepted from list :   186
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 1
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 10
Other early decision deadline :   Jan 1
College will notify student of other early decision by :   Feb 1","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $23,628.00 | $23,628.00 | $23,628.00 
Out-of-state tuition and fees:    | $46,283.00 | $46,283.00 | $46,283.00 
Room and board:                   | $13,356.00 | $13,356.00 | $5,118.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          |  $550.00   |  $550.00   | $1,050.00  
Estimated Total In-state:         | $40,034.00 | $40,034.00 | $32,296.00 
Estimated Total Out-of-state:     | $62,689.00 | $62,689.00 | $54,951.00 ","Main Address
PO Box 8795
Williamsburg, VA 23187-8795
https://www.wm.edu/"
Eastern Mennonite University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 980
First-time degree-seeking freshmen : 204
Percentage of financial need met (average) : 79.0%
Average financial aid package : $37,852.00
In-State Tuition : $39,220.00
Out-of-State Tuition : $39,220.00","Setting
Small City (50-250k)
Rural
Residential campus
Other Characteristics
Cross-cultural study (usually a semester in another country) and community service required of all students.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",980 - 1210,19 - 26,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,435
Admitted :   927
Enrolled :   204
Somewhat selective 65.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $39,220.00 | $39,220.00 | $39,220.00 
Out-of-state tuition and fees:    | $39,220.00 | $39,220.00 | $39,220.00 
Room and board:                   | $11,730.00 | $9,000.00  | $5,000.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,850.00  | $1,850.00  | $1,850.00  
Transportation expenses:          |  $700.00   |  $930.00   |  $930.00   
Estimated Total In-state:         | $54,500.00 | $52,000.00 | $48,000.00 
Estimated Total Out-of-state:     | $54,500.00 | $52,000.00 | $48,000.00 ","Main Address
1200 Park Rd
Harrisonburg, VA 22802-2404
https://emu.edu/"
Emory Henry College,"Quick Facts
Percentage of students graduating within 6 years : 54.0%
Total undergraduates : 1,019
First-time degree-seeking freshmen : 271
Percentage of financial need met (average) : 93.0%
Average financial aid package : $39,198.00
In-State Tuition : $35,300.00
Out-of-State Tuition : $35,300.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $35,000.00
Number of enrolled international undergraduates received aid:  2
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",960 - 1170,18 - 25,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,646
Admitted :   1,203
Enrolled :   271
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Aug 1
Regular application due:   No Regular Application Deadline
Priority application due :   Mar 15
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   Aug 1","Early Decision And Action
Early decision application due :   Nov 15
College will notify student of early decision by :   Dec 15
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $35,300.00 | $35,300.00 | $35,300.00 
Out-of-state tuition and fees:    | $35,300.00 | $35,300.00 | $35,300.00 
Room and board:                   | $13,450.00 | $8,500.00  | $2,000.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,550.00  | $1,550.00  | $1,550.00  
Transportation expenses:          | $1,000.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $52,500.00 | $47,950.00 | $41,450.00 
Estimated Total Out-of-state:     | $52,500.00 | $47,950.00 | $41,450.00 ","Main Address
30461 Garnand Drive
Emory, VA 24327
https://www.ehc.edu/"
Ferrum College,"Quick Facts
Total undergraduates : 1,137
In-State Tuition : $36,480.00
Out-of-State Tuition : $36,480.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $36,480.00 | $36,480.00 | $36,480.00 
Out-of-state tuition and fees:    | $36,480.00 | $36,480.00 | $36,480.00 
Room and board:                   | $12,400.00 | $10,320.00 |     --     
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $1,200.00  | $1,030.00  | $1,030.00  
Transportation expenses:          |  $475.00   |  $475.00   |  $695.00   
Estimated Total In-state:         | $51,355.00 | $49,105.00 | $39,005.00 
Estimated Total Out-of-state:     | $51,355.00 | $49,105.00 | $39,005.00 ","Main Address
215 Ferrum Mountain Rd
Ferrum, VA 24088-2611
www.ferrum.edu"
George Mason University,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 71.0%
Total undergraduates : 26,662
First-time degree-seeking freshmen : 3,763
Percentage of financial need met (average) : 61.0%
Average financial aid package : $16,141.00
In-State Tuition : $13,014.00
Out-of-State Tuition : $36,474.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $2,353,351.00
Number of enrolled international undergraduates received aid:  202",1110 - 1320,24 - 30,"General Applying Information
Application Fee:   $70.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   19,554
Admitted :   16,962
Enrolled :   3,763
Less selective 87.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   10,072
Admitted early action :   9,263
Plan Available for early admission :   Early action - not restrictive
Offered place on waitlist :   1,379
Number accepting place :   874
Accepted from list :   308
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   Nov 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 1
College will notify student of early action admission by :   Dec 15","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $13,014.00 | $13,014.00 | $13,014.00 
Out-of-state tuition and fees:    | $36,474.00 | $36,474.00 | $36,474.00 
Room and board:                   | $12,090.00 | $12,786.00 | $4,830.00  
Books and supplies:               | $1,278.00  | $1,278.00  | $1,278.00  
Estimated personal expenses:      | $2,236.00  | $4,238.00  | $2,236.00  
Transportation expenses:          | $1,260.00  | $2,334.00  | $2,334.00  
Estimated Total In-state:         | $29,878.00 | $33,650.00 | $23,692.00 
Estimated Total Out-of-state:     | $53,338.00 | $57,110.00 | $47,152.00 ","Main Address
4400 University Dr
Fairfax, VA 22030-4422
https://www2.gmu.edu/"
Hampden-Sydney College,"Quick Facts
Regular Application Deadline : March 1
Percentage of students graduating within 6 years : 68.0%
Total undergraduates : 993
First-time degree-seeking freshmen : 228
Percentage of financial need met (average) : 76.0%
Average financial aid package : $34,796.00
In-State Tuition : $48,110.00
Out-of-State Tuition : $48,110.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $101,500.00
Number of enrolled international undergraduates received aid:  3",1060 - 1320,20 - 27,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper application (no fee for online application)
Application Fee Waiver Available:   Yes
Total applicants :   3,056
Admitted :   1,755
Enrolled :   228
Somewhat selective 57.0% of applicants admitted
Applied early admission :   147
Admitted early admission :   53
Applied early action :   2,345
Admitted early action :   1,428
Plan Available for early admission :   Early action - not restrictive, Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Mar 1
Priority application due :   --
College will notify student of admission :  Apr 15
Student must reply to acceptance by :   May 1
Housing deposit due :   --","Early Decision And Action
Early action application due :   Jan 15
College will notify student of early action admission by :   Feb 15
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $48,110.00 | $48,110.00 | $48,110.00 
Out-of-state tuition and fees:    | $48,110.00 | $48,110.00 | $48,110.00 
Room and board:                   | $13,876.00 | $13,060.00 | $1,914.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,810.00  | $1,810.00  | $1,810.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $65,796.00 | $64,980.00 | $53,834.00 
Estimated Total Out-of-state:     | $65,796.00 | $64,980.00 | $53,834.00 ","Main Address
College Road
Hampden Sydney, VA 23943
www.hsc.edu"
