Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Bastyr University,"Quick Facts
Total undergraduates : 188
In-State Tuition : $27,120.00
Out-of-State Tuition : $27,120.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $75.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $27,120.00 | $27,120.00 | $27,120.00 
Out-of-state tuition and fees:    | $27,120.00 | $27,120.00 | $27,120.00 
Room and board:                   | $8,250.00  | $15,550.00 |     --     
Books and supplies:               | $2,250.00  | $2,250.00  | $2,250.00  
Estimated personal expenses:      | $3,050.00  | $3,050.00  | $3,050.00  
Transportation expenses:          | $3,000.00  | $3,000.00  | $3,000.00  
Estimated Total In-state:         | $43,670.00 | $50,970.00 | $35,420.00 
Estimated Total Out-of-state:     | $43,670.00 | $50,970.00 | $35,420.00 ","Main Address
14500 Juanita Dr NE
Kenmore, WA 98028-4966
www.bastyr.edu"
Bellevue College,"Quick Facts
Total undergraduates : 13,322
In-State Tuition : $4,461.00
Out-of-State Tuition : $9,918.00","Setting
Small City (50-250k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid",No information,No information,"General Applying Information
Application Fee:   $34.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $4,461.00  | $4,461.00  | $4,461.00  
Out-of-state tuition and fees:    | $9,918.00  | $9,918.00  | $9,918.00  
Room only:                        | $9,600.00  | $5,784.00  | $2,256.00  
Books and supplies:               |  $924.00   |  $924.00   |  $924.00   
Estimated personal expenses:      |     --     | $2,094.00  | $1,968.00  
Transportation expenses:          |     --     | $1,434.00  | $1,434.00  
Estimated Total In-state:         | $14,985.00 | $14,697.00 | $11,043.00 
Estimated Total Out-of-state:     | $20,442.00 | $20,154.00 | $16,500.00 ","Main Address
3000 Landerholm Cir SE
Bellevue, WA 98007-6406
www.bellevuecollege.edu"
Central Washington University,"Quick Facts
Percentage of students graduating within 6 years : 58.0%
Total undergraduates : 10,884
First-time degree-seeking freshmen : 2,294
Percentage of financial need met (average) : 57.0%
Average financial aid package : $10,014.00
In-State Tuition : $7,562.00
Out-of-State Tuition : $23,243.00","Setting
Large Town (10-50k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",930 - 1130,17 - 23,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   10,987
Admitted :   9,340
Enrolled :   2,170
Less selective 85.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Nov 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jun 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,562.00  | $7,562.00  | $7,562.00  
Out-of-state tuition and fees:    | $23,243.00 | $23,243.00 | $23,243.00 
Room and board:                   | $12,637.00 | $8,835.00  | $3,757.00  
Books and supplies:               | $1,002.00  | $1,002.00  | $1,002.00  
Estimated personal expenses:      | $1,752.00  | $1,752.00  | $1,752.00  
Transportation expenses:          | $1,260.00  | $1,260.00  | $1,260.00  
Estimated Total In-state:         | $24,213.00 | $20,411.00 | $15,333.00 
Estimated Total Out-of-state:     | $39,894.00 | $36,092.00 | $31,014.00 ","Main Address
400 East University Way
Ellensburg, WA 98926-7502
www.cwu.edu"
Centralia College,"Quick Facts
Total undergraduates : 3,122
In-State Tuition : $4,677.00
Out-of-State Tuition : $5,138.00","Setting
Large Town (10-50k)
Rural
Commuter campus
Other Characteristics
Home to the Pacific Northwest Center of Excellence for Clean Energy.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $4,677.00  | $4,677.00  | $4,677.00  
Out-of-state tuition and fees:    | $5,138.00  | $5,138.00  | $5,138.00  
Room only:                        | $4,725.00  | $8,052.00  |     --     
Books and supplies:               | $1,002.00  | $1,002.00  | $1,002.00  
Estimated personal expenses:      |     --     | $3,381.00  | $3,030.00  
Transportation expenses:          |     --     |     --     |     --     
Estimated Total In-state:         | $10,404.00 | $17,112.00 | $8,709.00  
Estimated Total Out-of-state:     | $10,865.00 | $17,573.00 | $9,170.00  ","Main Address
600 Centralia College Blvd
Centralia, WA 98531-4035
www.centralia.edu"
City University of Seattle,"Quick Facts
Total undergraduates : 928","Setting
Very Large City (>500k)
Urban
Commuter campus
Other Characteristics
University maintains satellite sites in Renton, Everett, North Seattle, Tacoma, and Vancouver, Washington; Victoria, Vancouver, Edmonton, and Calgary, Canada; Trencin and Bratislava, Slovakia; Prague, Czech Republic; Sofia and Pratvetz, Bulgaria; Athens, Greece; Zurich, Switzerland; and Beijing, China; partnership in Queensland, Australia.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        |     --     |     --     |     --     
Out-of-state tuition and fees:    |     --     |     --     |     --     
Room only:                        |     --     | $9,492.00  | $7,392.00  
Books and supplies:               | $1,026.00  | $1,026.00  | $1,026.00  
Estimated personal expenses:      |     --     | $1,794.00  | $1,932.00  
Transportation expenses:          |     --     | $1,296.00  | $1,572.00  
Estimated Total In-state:         | $1,026.00  | $13,608.00 | $11,922.00 
Estimated Total Out-of-state:     | $1,026.00  | $13,608.00 | $11,922.00 ","Main Address
521 Wall Street
Seattle, WA 98121-1851
www.cityu.edu"
Columbia Basin College,"Quick Facts
Total undergraduates : 6,708
In-State Tuition : $5,000.00
Out-of-State Tuition : $10,456.00","Setting
Small City (50-250k)
Suburban
Commuter campus",Financial Aid,No information,No information,"General Applying Information
Application Fee:   $29.00
Application Fee Waiver Available:   No
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $5,000.00  | $5,000.00  | $5,000.00  
Out-of-state tuition and fees:    | $10,456.00 | $10,456.00 | $10,456.00 
Room only:                        | $4,698.00  | $9,492.00  | $2,520.00  
Books and supplies:               | $1,026.00  | $1,026.00  | $1,026.00  
Estimated personal expenses:      |     --     | $1,794.00  | $1,614.00  
Transportation expenses:          |     --     | $1,296.00  | $1,344.00  
Estimated Total In-state:         | $10,724.00 | $18,608.00 | $11,504.00 
Estimated Total Out-of-state:     | $16,180.00 | $24,064.00 | $16,960.00 ","Main Address
2600 N 20th Ave
Pasco, WA 99301-3379
www.columbiabasin.edu"
Cornish College of the Arts,"Quick Facts
Percentage of students graduating within 6 years : 55.0%
Total undergraduates : 597
First-time degree-seeking freshmen : 130
Percentage of financial need met (average) : 55.0%
Average financial aid package : $23,728.00
In-State Tuition : $34,340.00
Out-of-State Tuition : $34,340.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   686
Admitted :   504
Enrolled :   130
Somewhat selective 73.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $34,340.00 | $34,340.00 | $34,340.00 
Out-of-state tuition and fees:    | $34,340.00 | $34,340.00 | $34,340.00 
Room and board:                   | $13,036.00 | $12,664.00 |     --     
Books and supplies:               | $1,800.00  | $1,800.00  | $1,800.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          |  $800.00   |  $800.00   |  $800.00   
Estimated Total In-state:         | $51,976.00 | $51,604.00 | $38,940.00 
Estimated Total Out-of-state:     | $51,976.00 | $51,604.00 | $38,940.00 ","Main Address
1000 Lenora Street
Seattle, WA 98121-2951
www.cornish.edu"
Eastern Washington University,"Quick Facts
Regular Application Deadline : September 1
Percentage of students graduating within 6 years : 53.0%
Total undergraduates : 10,671
First-time degree-seeking freshmen : 1,810
Percentage of financial need met (average) : 83.0%
Average financial aid package : $12,419.00
In-State Tuition : $7,733.00
Out-of-State Tuition : $25,702.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
The College of Business and the College of Health Science and Public Health are located at the Spokane campus.",Financial Aid,880 - 1100,17 - 24,"General Applying Information
Application Fee:   $60.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   5,299
Admitted :   5,069
Enrolled :   1,817
Less selective 96.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   Sep 1
Priority application due :   Feb 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 4 week(s) if notified after May 1st)
Housing deposit due :   Sep 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,733.00  | $7,733.00  | $7,733.00  
Out-of-state tuition and fees:    | $25,702.00 | $25,702.00 | $25,702.00 
Room and board:                   | $12,406.00 | $10,500.00 |     --     
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      | $1,800.00  | $2,160.00  | $1,920.00  
Transportation expenses:          |  $900.00   | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $23,739.00 | $22,493.00 | $11,753.00 
Estimated Total Out-of-state:     | $41,708.00 | $40,462.00 | $29,722.00 ","Main Address
526 5th St
Cheney, WA 99004-1619
www.ewu.edu"
Gonzaga University,"Quick Facts
Regular Application Deadline : February 1
Percentage of students graduating within 6 years : 85.0%
Total undergraduates : 5,238
First-time degree-seeking freshmen : 1,248
Percentage of financial need met (average) : 78.0%
Average financial aid package : $30,533.00
In-State Tuition : $46,920.00
Out-of-State Tuition : $46,920.00","Setting
Large City (250-500k)
Urban
Residential campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $1,740,679.00
Number of enrolled international undergraduates received aid:  57",1200 - 1360,25 - 30,"General Applying Information
Application Fee:   $50.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   9,279
Admitted :   5,744
Enrolled :   1,248
Somewhat selective 62.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Offered place on waitlist :   807
Number accepting place :   184
Accepted from list :   53
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Feb 1
Priority application due :   Dec 1
College will notify student of admission :  Mar 15
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   May 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $46,920.00 | $46,920.00 | $46,920.00 
Out-of-state tuition and fees:    | $46,920.00 | $46,920.00 | $46,920.00 
Room and board:                   | $12,951.00 | $12,951.00 | $3,368.00  
Books and supplies:               | $1,196.00  | $1,196.00  | $1,196.00  
Estimated personal expenses:      | $2,125.00  | $2,124.00  | $2,125.00  
Transportation expenses:          | $1,610.00  | $1,610.00  | $1,610.00  
Estimated Total In-state:         | $64,802.00 | $64,801.00 | $55,219.00 
Estimated Total Out-of-state:     | $64,802.00 | $64,801.00 | $55,219.00 ","Main Address
502 E Boone Ave
Spokane, WA 99258-1774
www.gonzaga.edu"
Heritage University,"Quick Facts
Total undergraduates : 827
First-time degree-seeking freshmen : 123
In-State Tuition : $19,278.00
Out-of-State Tuition : $19,278.00","Setting
Small Town (2,500-10k)
Rural
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   527
Admitted :   236
Enrolled :   123
Very selective 45.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   Apr 17
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $19,278.00 | $19,278.00 | $19,278.00 
Out-of-state tuition and fees:    | $19,278.00 | $19,278.00 | $19,278.00 
Room only:                        |     --     | $9,690.00  |     --     
Books and supplies:               |  $870.00   |  $870.00   |  $870.00   
Estimated personal expenses:      |     --     | $2,070.00  | $1,890.00  
Transportation expenses:          |     --     | $1,690.00  | $1,690.00  
Estimated Total In-state:         | $20,148.00 | $33,598.00 | $23,728.00 
Estimated Total Out-of-state:     | $20,148.00 | $33,598.00 | $23,728.00 ","Main Address
3240 Fort Rd
Toppenish, WA 98948-9562
www.heritage.edu"
