Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Alderson Broaddus University,"Quick Facts
Percentage of students graduating within 6 years : 38.0%
Total undergraduates : 836
First-time degree-seeking freshmen : 271
Percentage of financial need met (average) : 91.0%
Average financial aid package : $23,507.00
In-State Tuition : $29,220.00
Out-of-State Tuition : $29,220.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",860 - 1060,18 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,915
Admitted :   1,846
Enrolled :   271
Very selective 47.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $29,220.00 | $29,220.00 | $29,220.00 
Out-of-state tuition and fees:    | $29,220.00 | $29,220.00 | $29,220.00 
Room and board:                   | $9,400.00  | $11,895.00 | $1,880.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,800.00  | $1,800.00  | $1,800.00  
Transportation expenses:          | $1,092.00  | $1,710.00  | $1,710.00  
Estimated Total In-state:         | $42,712.00 | $45,825.00 | $35,810.00 
Estimated Total Out-of-state:     | $42,712.00 | $45,825.00 | $35,810.00 ","Main Address
101 College Hill Dr
Philippi, WV 26416-4600
www.ab.edu"
Appalachian Bible College,"Quick Facts
Percentage of students graduating within 6 years : 53.0%
Total undergraduates : 225
First-time degree-seeking freshmen : 33
In-State Tuition : $15,536.00
Out-of-State Tuition : $15,536.00","Setting
Large Town (10-50k)
Rural
Residential campus
Other Characteristics
Accreditation by both the Higher Learning Commission and The Association for Biblical Higher Education.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",950 - 1180,18 - 23,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   143
Admitted :   57
Enrolled :   41
Very selective 40.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   40
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early decision
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --","Early Decision And Action
Early decision application due :   Mar 1
College will notify student of early decision by :   --
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $15,536.00 | $15,536.00 | $15,536.00 
Out-of-state tuition and fees:    | $15,536.00 | $15,536.00 | $15,536.00 
Room and board:                   | $8,400.00  |     --     |     --     
Books and supplies:               | $1,138.00  | $1,138.00  | $1,138.00  
Estimated personal expenses:      | $1,632.00  |     --     |     --     
Transportation expenses:          |  $894.00   |     --     |     --     
Estimated Total In-state:         | $27,600.00 | $16,674.00 | $16,674.00 
Estimated Total Out-of-state:     | $27,600.00 | $16,674.00 | $16,674.00 ","Main Address
161 College Dr
Mount Hope, WV 25880-9554
https://abc.edu"
Bethany College 4029,"Quick Facts
Total undergraduates : 515
First-time degree-seeking freshmen : 189
In-State Tuition : $32,040.00
Out-of-State Tuition : $32,040.00","Setting
Rural Community (<2,500)
Rural
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,149
Admitted :   1,096
Enrolled :   189
Less selective 95.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   May 1
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   Aug 20",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $32,040.00 | $32,040.00 | $32,040.00 
Out-of-state tuition and fees:    | $32,040.00 | $32,040.00 | $32,040.00 
Room and board:                   | $11,120.00 | $3,500.00  |     --     
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,200.00  | $1,300.00  | $1,300.00  
Transportation expenses:          | $1,000.00  | $1,300.00  | $1,300.00  
Estimated Total In-state:         | $46,360.00 | $39,140.00 | $35,640.00 
Estimated Total Out-of-state:     | $46,360.00 | $39,140.00 | $35,640.00 ","Main Address
1 Main Street
Bethany, WV 26032
www.bethanywv.edu"
Bluefield State College,"Quick Facts
Total undergraduates : 1,379
In-State Tuition : $7,584.00
Out-of-State Tuition : $14,448.00","Setting
Large Town (10-50k)
Suburban
Commuter campus
Other Characteristics
Off-campus locations in Lewisburg, Welch, and Beckley.","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,584.00  | $7,584.00  | $7,584.00  
Out-of-state tuition and fees:    | $14,448.00 | $14,448.00 | $14,448.00 
Room only:                        |     --     | $10,300.00 |     --     
Books and supplies:               | $2,000.00  | $2,000.00  | $2,000.00  
Estimated personal expenses:      |     --     | $1,400.00  | $1,400.00  
Transportation expenses:          |     --     | $2,600.00  | $2,600.00  
Estimated Total In-state:         | $9,584.00  | $23,884.00 | $13,584.00 
Estimated Total Out-of-state:     | $16,448.00 | $30,748.00 | $20,448.00 ","Main Address
219 Rock St
Bluefield, WV 24701-2100
www.bluefieldstate.edu"
Concord University,"Quick Facts
Percentage of students graduating within 6 years : 40.0%
Total undergraduates : 1,570
First-time degree-seeking freshmen : 372
Percentage of financial need met (average) : 85.0%
Average financial aid package : $8,929.00
In-State Tuition : $8,385.00
Out-of-State Tuition : $18,037.00","Setting
Small Town (2,500-10k)
Rural
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $730,381.00
Number of enrolled international undergraduates received aid:  70
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",900 - 1100,17 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,886
Admitted :   1,543
Enrolled :   372
Less selective 82.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $8,385.00  | $8,385.00  | $8,385.00  
Out-of-state tuition and fees:    | $18,037.00 | $18,037.00 | $18,037.00 
Room and board:                   | $9,304.00  | $7,386.00  | $3,624.00  
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $2,169.00  | $2,277.00  | $2,277.00  
Transportation expenses:          | $1,650.00  | $1,650.00  | $1,650.00  
Estimated Total In-state:         | $22,608.00 | $20,798.00 | $17,036.00 
Estimated Total Out-of-state:     | $32,260.00 | $30,450.00 | $26,688.00 ","Main Address
Vermillion Street
Athens, WV 24712
www.concord.edu"
Fairmont State University,"Quick Facts
Total undergraduates : 3,661
In-State Tuition : $7,738.00
Out-of-State Tuition : $16,814.00","Setting
Large Town (10-50k)
Suburban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $25.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   Jul 18",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,738.00  | $7,738.00  | $7,738.00  
Out-of-state tuition and fees:    | $16,814.00 | $16,814.00 | $16,814.00 
Room and board:                   | $9,730.00  | $9,100.00  | $3,650.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,500.00  | $1,500.00  | $1,500.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $20,968.00 | $20,338.00 | $14,888.00 
Estimated Total Out-of-state:     | $30,044.00 | $29,414.00 | $23,964.00 ","Main Address
1201 Locust Ave
Fairmont, WV 26554-2451
www.fairmontstate.edu"
Glenville State College,"Quick Facts
Percentage of students graduating within 6 years : 47.0%
Total undergraduates : 1,577
First-time degree-seeking freshmen : 352
Percentage of financial need met (average) : 30.0%
Average financial aid package : $13,056.00
In-State Tuition : $7,886.00
Out-of-State Tuition : $9,514.00","Setting
Rural Community (<2,500)
Rural
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",860 - 1060,16 - 22,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   2,550
Admitted :   2,548
Enrolled :   341
Less selective 100.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $7,886.00  | $7,886.00  | $7,886.00  
Out-of-state tuition and fees:    | $9,514.00  | $9,514.00  | $9,514.00  
Room and board:                   | $10,382.00 | $10,182.00 | $4,400.00  
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $2,373.00  | $2,375.00  | $2,124.00  
Transportation expenses:          | $2,375.00  | $2,375.00  | $2,758.00  
Estimated Total In-state:         | $24,216.00 | $24,018.00 | $18,368.00 
Estimated Total Out-of-state:     | $25,844.00 | $25,646.00 | $19,996.00 ","Main Address
200 High St
Glenville, WV 26351-1200
www.glenville.edu"
Marshall University,"Quick Facts
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 9,415
First-time degree-seeking freshmen : 1,769
Percentage of financial need met (average) : 50.0%
Average financial aid package : $13,317.00
In-State Tuition : $8,632.00
Out-of-State Tuition : $19,486.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $964,790.00
Number of enrolled international undergraduates received aid:  77",940 - 1150,19 - 25,"General Applying Information
Application Fee:   $40.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   6,451
Admitted :   5,605
Enrolled :   1,769
Less selective 87.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   May 15",,"Cost Category                     | On Campus  | Off Campus |  At Home   
Comprehensive Fee (tuition, fees, room and board):|     --     |     --     |     --     
Books and supplies:               | $1,100.00  | $1,100.00  | $1,100.00  
Estimated personal expenses:      | $1,087.00  | $1,087.00  | $1,087.00  
Transportation expenses:          | $1,200.00  | $2,000.00  | $2,000.00  
Estimated Total In-state:         | $3,387.00  | $4,187.00  | $4,187.00  
Estimated Total Out-of-state:     | $3,387.00  | $4,187.00  | $4,187.00  ","Main Address
1 John Marshall Dr
Huntington, WV 25755-0002
www.marshall.edu"
Ohio Valley University,"Quick Facts
Regular Application Deadline : August 15
Percentage of students graduating within 6 years : 30.0%
Total undergraduates : 304
First-time degree-seeking freshmen : 58
Percentage of financial need met (average) : 100.0%
Average financial aid package : $14,876.00
In-State Tuition : $22,550.00
Out-of-State Tuition : $22,550.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",890 - 1200,17 - 23,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   740
Admitted :   318
Enrolled :   78
Very selective 43.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Aug 15
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Aug 10",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $22,550.00 | $22,550.00 | $22,550.00 
Out-of-state tuition and fees:    | $22,550.00 | $22,550.00 | $22,550.00 
Room and board:                   | $8,090.00  | $7,700.00  | $3,850.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $1,600.00  | $1,600.00  | $1,600.00  
Transportation expenses:          | $1,400.00  | $1,400.00  | $1,400.00  
Estimated Total In-state:         | $34,640.00 | $34,250.00 | $30,400.00 
Estimated Total Out-of-state:     | $34,640.00 | $34,250.00 | $30,400.00 ","Main Address
1 Campus View Dr
Vienna, WV 26105-8000
www.ovu.edu"
Salem University,"Quick Facts
Total undergraduates : 764
In-State Tuition : $16,900.00
Out-of-State Tuition : $16,900.00","Setting
Rural Community (<2,500)
Rural
Residential campus
Other Characteristics
Established in 1888 as Salem College, Salem University has a strong tradition of academic excellence and innovation. Our beautiful 100-acre campus is nestled in the Appalachian mountains of West Virginia.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $16,900.00 | $16,900.00 | $16,900.00 
Out-of-state tuition and fees:    | $16,900.00 | $16,900.00 | $16,900.00 
Room and board:                   | $8,400.00  | $8,400.00  | $5,520.00  
Books and supplies:               | $1,000.00  | $1,000.00  | $1,000.00  
Estimated personal expenses:      | $2,000.00  | $2,000.00  | $2,000.00  
Transportation expenses:          | $1,000.00  | $1,000.00  | $1,000.00  
Estimated Total In-state:         | $29,300.00 | $29,300.00 | $26,420.00 
Estimated Total Out-of-state:     | $29,300.00 | $29,300.00 | $26,420.00 ","Main Address
223 W Main St
Salem, WV 26426-1227
www.salemu.edu"
