Name,Quick facts,Setting,International Fin Aid,SAT range,ACT range,Admission,RD deadlines,EA/ED deadlines,Costs,Address
Alverno College,"Quick Facts
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 1,104
First-time degree-seeking freshmen : 170
Average financial aid package : $24,506.00
In-State Tuition : $30,658.00
Out-of-State Tuition : $30,658.00","Setting
Very Large City (>500k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,18 - 21,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   800
Admitted :   539
Enrolled :   170
Somewhat selective 67.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 1
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   Jul 1",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,658.00 | $30,658.00 | $30,658.00 
Out-of-state tuition and fees:    | $30,658.00 | $30,658.00 | $30,658.00 
Room and board:                   | $8,620.00  | $7,120.00  |     --     
Books and supplies:               |  $768.00   |  $768.00   |  $768.00   
Estimated personal expenses:      | $4,245.00  | $4,245.00  | $4,245.00  
Transportation expenses:          |  $775.00   | $1,680.00  | $1,680.00  
Estimated Total In-state:         | $45,066.00 | $44,471.00 | $37,351.00 
Estimated Total Out-of-state:     | $45,066.00 | $44,471.00 | $37,351.00 ","Main Address
3400 S 43rd St
Milwaukee, WI 53219-4844
www.alverno.edu"
Bellin College,"Quick Facts
Total undergraduates : 381
Percentage of financial need met (average) : 24.0%
Average financial aid package : $3,770.00
In-State Tuition : $11,729.00
Out-of-State Tuition : $11,729.00","Setting
Small City (50-250k)
Urban
Commuter campus
Other Characteristics
Associated with a health system and hospital.",Financial Aid,No information,20 - 24,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   No
Total applicants :   59
Admitted :   52
Enrolled :   48
Less selective 88.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1 (or within 3 week(s) if notified after May 1st)
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $11,729.00 | $11,729.00 | $11,729.00 
Out-of-state tuition and fees:    | $11,729.00 | $11,729.00 | $11,729.00 
Room only:                        |     --     | $7,200.00  | $2,700.00  
Books and supplies:               | $1,650.00  | $1,650.00  | $1,650.00  
Estimated personal expenses:      |     --     | $1,800.00  | $1,800.00  
Transportation expenses:          |     --     | $2,400.00  | $2,400.00  
Estimated Total In-state:         | $13,379.00 | $24,779.00 | $20,279.00 
Estimated Total Out-of-state:     | $13,379.00 | $24,779.00 | $20,279.00 ","Main Address
3201 Eaton Rd
Green Bay, WI 54311-6830
www.bellincollege.edu"
Beloit College,"Quick Facts
Regular Application Deadline : July 1
Percentage of students graduating within 6 years : 75.0%
Total undergraduates : 1,143
First-time degree-seeking freshmen : 259
Percentage of financial need met (average) : 96.0%
Average financial aid package : $49,825.00
In-State Tuition : $53,348.00
Out-of-State Tuition : $53,348.00","Setting
Large Town (10-50k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $6,765,790.00
Number of enrolled international undergraduates received aid:  193
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",1080 - 1380,24 - 30,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,657
Admitted :   2,269
Enrolled :   259
Somewhat selective 62.0% of applicants admitted
Applied early admission :   16
Admitted early admission :   9
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   40
Number accepting place :   0
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Feb 1
Regular application due:   Jul 1
Priority application due :   Jan 15
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   Dec 1
College will notify student of early action admission by :   Jan 1
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   Jan 15
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $53,348.00 | $53,348.00 | $53,348.00 
Out-of-state tuition and fees:    | $53,348.00 | $53,348.00 | $53,348.00 
Room and board:                   | $9,688.00  | $10,438.00 | $2,238.00  
Books and supplies:               | $1,018.00  | $1,018.00  | $1,018.00  
Estimated personal expenses:      | $1,376.00  | $1,376.00  | $1,376.00  
Transportation expenses:          | $1,067.00  | $1,067.00  | $1,067.00  
Estimated Total In-state:         | $66,497.00 | $67,247.00 | $59,047.00 
Estimated Total Out-of-state:     | $66,497.00 | $67,247.00 | $59,047.00 ","Main Address
700 College St
Beloit, WI 53511-5509
www.beloit.edu"
Cardinal Stritch University,"Quick Facts
Percentage of students graduating within 6 years : 49.0%
Total undergraduates : 1,249
First-time degree-seeking freshmen : 139
Percentage of financial need met (average) : 81.0%
Average financial aid package : $27,011.00
In-State Tuition : $33,770.00
Out-of-State Tuition : $33,770.00","Setting
Very Large City (>500k)
Suburban
Commuter campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",980 - 1130,18 - 22,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   1,969
Admitted :   931
Enrolled :   163
Very selective 47.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,770.00 | $33,770.00 | $33,770.00 
Out-of-state tuition and fees:    | $33,770.00 | $33,770.00 | $33,770.00 
Room and board:                   | $9,488.00  | $6,517.00  | $1,629.00  
Books and supplies:               |  $700.00   |  $700.00   |  $700.00   
Estimated personal expenses:      | $3,318.00  | $3,318.00  | $3,318.00  
Transportation expenses:          | $1,674.00  | $2,014.00  | $2,014.00  
Estimated Total In-state:         | $48,950.00 | $46,319.00 | $41,431.00 
Estimated Total Out-of-state:     | $48,950.00 | $46,319.00 | $41,431.00 ","Main Address
6801 N Yates Rd
Milwaukee, WI 53217-3945
www.stritch.edu"
Carroll University,"Quick Facts
Total undergraduates : 2,981
In-State Tuition : $33,990.00
Out-of-State Tuition : $33,990.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",No information,No information,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $33,990.00 | $33,990.00 | $33,990.00 
Out-of-state tuition and fees:    | $33,990.00 | $33,990.00 | $33,990.00 
Room and board:                   | $10,120.00 | $6,854.00  |     --     
Books and supplies:               | $1,098.00  | $1,098.00  | $1,098.00  
Estimated personal expenses:      | $1,462.00  | $3,178.00  | $1,956.00  
Transportation expenses:          |  $986.00   | $1,702.00  | $1,808.00  
Estimated Total In-state:         | $47,656.00 | $46,822.00 | $38,852.00 
Estimated Total Out-of-state:     | $47,656.00 | $46,822.00 | $38,852.00 ","Main Address
100 N East Ave
Waukesha, WI 53186-3103
www.carrollu.edu"
Carthage College,"Quick Facts
Percentage of students graduating within 6 years : 66.0%
Total undergraduates : 2,654
First-time degree-seeking freshmen : 687
Percentage of financial need met (average) : 65.0%
Average financial aid package : $34,386.00
In-State Tuition : $31,500.00
Out-of-State Tuition : $31,500.00","Setting
Small City (50-250k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $122,150.00
Number of enrolled international undergraduates received aid:  7
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",860 - 930,20 - 27,"General Applying Information
Application Fee:   $35.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   7,018
Admitted :   4,772
Enrolled :   682
Somewhat selective 68.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Plan Available for early admission :   Early action - not restrictive
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   May 1
Housing deposit due :   May 1","Early Decision And Action
Early action application due :   Nov 15
College will notify student of early action admission by :   Nov 22","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,500.00 | $31,500.00 | $31,500.00 
Out-of-state tuition and fees:    | $31,500.00 | $31,500.00 | $31,500.00 
Room and board:                   | $12,400.00 |     --     |     --     
Books and supplies:               | $1,200.00  | $1,200.00  | $1,200.00  
Estimated personal expenses:      | $1,700.00  | $1,700.00  | $1,700.00  
Transportation expenses:          | $1,200.00  | $1,200.00  | $1,200.00  
Estimated Total In-state:         | $48,000.00 | $35,600.00 | $35,600.00 
Estimated Total Out-of-state:     | $48,000.00 | $35,600.00 | $35,600.00 ","Main Address
2001 Alford Park Drive
Kenosha, WI 53140-1929
www.carthage.edu"
Concordia University Wisconsin,"Quick Facts
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 3,308
First-time degree-seeking freshmen : 578
Percentage of financial need met (average) : 83.0%
Average financial aid package : $28,774.00
In-State Tuition : $31,182.00
Out-of-State Tuition : $31,182.00","Setting
Large Town (10-50k)
Suburban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid",No information,21 - 26,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,772
Admitted :   2,419
Enrolled :   578
Somewhat selective 64.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,182.00 | $31,182.00 | $31,182.00 
Out-of-state tuition and fees:    | $31,182.00 | $31,182.00 | $31,182.00 
Room and board:                   | $11,470.00 | $3,500.00  | $2,870.00  
Books and supplies:               | $1,900.00  | $1,900.00  | $1,900.00  
Estimated personal expenses:      | $2,900.00  | $1,450.00  | $2,900.00  
Transportation expenses:          |  $620.00   | $3,600.00  |  $620.00   
Estimated Total In-state:         | $48,072.00 | $41,632.00 | $39,472.00 
Estimated Total Out-of-state:     | $48,072.00 | $41,632.00 | $39,472.00 ","Main Address
12800 N Lake Shore Dr
Mequon, WI 53097-2418
www.cuw.edu"
Edgewood College,"Quick Facts
Regular Application Deadline : August 1
Percentage of students graduating within 6 years : 64.0%
Total undergraduates : 1,407
First-time degree-seeking freshmen : 239
Percentage of financial need met (average) : 79.0%
Average financial aid package : $25,066.00
In-State Tuition : $31,700.00
Out-of-State Tuition : $31,700.00","Setting
Small City (50-250k)
Urban
Commuter campus","Financial Aid
International students eligible for non-need based aid
Total Amount Awarded:  $504,519.00
Number of enrolled international undergraduates received aid:  28",950 - 1210,20 - 25,"General Applying Information
Application Fee:   $30.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Total applicants :   1,397
Admitted :   1,011
Enrolled :   239
Somewhat selective 72.0% of applicants admitted
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Application rolling begin :   Sep 15
Regular application due:   Aug 1
Priority application due :   Mar 1
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $31,700.00 | $31,700.00 | $31,700.00 
Out-of-state tuition and fees:    | $31,700.00 | $31,700.00 | $31,700.00 
Room and board:                   | $11,700.00 | $10,575.00 | $3,789.00  
Books and supplies:               |  $800.00   |  $800.00   |  $800.00   
Estimated personal expenses:      | $2,350.00  | $2,350.00  | $2,350.00  
Transportation expenses:          |  $562.00   |  $960.00   |  $960.00   
Estimated Total In-state:         | $47,112.00 | $46,385.00 | $39,599.00 
Estimated Total Out-of-state:     | $47,112.00 | $46,385.00 | $39,599.00 ","Main Address
1000 Edgewood College Dr
Madison, WI 53711-1997
www.edgewood.edu"
Lakeland College,"Quick Facts
Total undergraduates : 1,988
In-State Tuition : $30,393.00
Out-of-State Tuition : $30,393.00","Setting
Small City (50-250k)
Rural
Residential campus
Other Characteristics
Evening, online, and graduate classes offered for nontraditional students at 7 in-state sites. Associate of Arts degree program and study abroad opportunities available at our Tokyo, Japan campus.","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances
Foreign Student Financial Aid Application",No information,No information,"General Applying Information
Application Fee:   $20.00
Application fee notes:   Paper/Online
Application Fee Waiver Available:   Yes
Applied early admission :   --
Admitted early admission :   --
Applied early action :   --
Admitted early action :   --
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   No Regular Application Deadline
Priority application due :   --
College will notify student of admission :  --
Student must reply to acceptance by :   --
Housing deposit due :   --",,"Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $30,393.00 | $30,393.00 | $30,393.00 
Out-of-state tuition and fees:    | $30,393.00 | $30,393.00 | $30,393.00 
Room and board:                   | $9,748.00  | $5,664.00  |  $350.00   
Books and supplies:               |  $950.00   |  $950.00   |  $950.00   
Estimated personal expenses:      | $1,540.00  | $1,540.00  | $1,540.00  
Transportation expenses:          | $1,888.00  | $1,888.00  | $1,888.00  
Estimated Total In-state:         | $44,519.00 | $40,435.00 | $35,121.00 
Estimated Total Out-of-state:     | $44,519.00 | $40,435.00 | $35,121.00 ","Main Address
W3718 South Dr
Plymouth, WI 53073-4878
www.lakeland.edu"
Lawrence University,"Quick Facts
Regular Application Deadline : January 15
Percentage of students graduating within 6 years : 79.0%
Total undergraduates : 1,445
First-time degree-seeking freshmen : 386
Percentage of financial need met (average) : 94.0%
Average financial aid package : $45,058.00
In-State Tuition : $50,958.00
Out-of-State Tuition : $50,958.00","Setting
Small City (50-250k)
Urban
Residential campus","Financial Aid
International students eligible for need based aid
International students eligible for non-need based aid
Total Amount Awarded:  $5,237,783.00
Number of enrolled international undergraduates received aid:  174
Non-resident aliens must submit the following financial aid forms:
Foreign Student Certification of Finances",1200 - 1430,25 - 32,"General Applying Information
Application Fee:   $0.00
Application Fee Waiver Available:   Yes
Total applicants :   3,463
Admitted :   2,150
Enrolled :   386
Somewhat selective 62.0% of applicants admitted
Applied early admission :   49
Admitted early admission :   35
Applied early action :   1,192
Admitted early action :   1,026
Plan Available for early admission :   Early action - not restrictive, Early decision
Offered place on waitlist :   145
Number accepting place :   41
Accepted from list :   7
Admission stats are based on first-time, degree seeking freshmen from Fall 2016 and Fall 2017.","Admission
Regular application due:   Jan 15
Priority application due :   --
College will notify student of admission :  Apr 1
Student must reply to acceptance by :   May 1 (or within 2 week(s) if notified after May 1st)
Housing deposit due :   --","Early Decision And Action
Early action application due :   --
College will notify student of early action admission by :   --
Early decision application due :   Nov 1
College will notify student of early decision by :   Dec 1
Other early decision deadline :   --
College will notify student of other early decision by :   --","Cost Category                     | On Campus  | Off Campus |  At Home   
In-state tuition and fees:        | $50,958.00 | $50,958.00 | $50,958.00 
Out-of-state tuition and fees:    | $50,958.00 | $50,958.00 | $50,958.00 
Room and board:                   | $10,977.00 | $7,809.00  | $2,649.00  
Books and supplies:               |  $900.00   |  $900.00   |  $900.00   
Estimated personal expenses:      |  $975.00   | $2,325.00  |  $975.00   
Transportation expenses:          |  $450.00   | $1,461.00  | $1,461.00  
Estimated Total In-state:         | $64,260.00 | $63,453.00 | $56,943.00 
Estimated Total Out-of-state:     | $64,260.00 | $63,453.00 | $56,943.00 ","Main Address
711 E Boldt Way Spc 22
Appleton, WI 54911-5699
www.lawrence.edu"
